config_id,repeat_seed,split,sample,condition,wrongref_mode,encoding_mode,psnr_db,mse
2,1,train,box,common_path,edge_echo_decoy,edge_guarded,11.255729,0.07489057
2,1,train,bars,common_path,edge_echo_decoy,edge_guarded,11.686745,0.06781496
2,1,train,ring,common_path,edge_echo_decoy,edge_guarded,11.479058,0.07113678
2,1,train,chevron,common_path,edge_echo_decoy,edge_guarded,10.229291,0.09485733
2,1,train,cross,noncommon_path,edge_echo_decoy,edge_guarded,12.467395,0.0566579
2,1,train,diag,noncommon_path,edge_echo_decoy,edge_guarded,11.136457,0.07697582
2,1,train,box,noncommon_path,edge_echo_decoy,edge_guarded,11.280638,0.07446225
2,1,train,bars,noncommon_path,edge_echo_decoy,edge_guarded,12.165082,0.06074238
2,1,train,ring,noncommon_path,edge_echo_decoy,edge_guarded,11.642942,0.0685024
2,1,train,chevron,noncommon_path,edge_echo_decoy,edge_guarded,11.296039,0.07419866
2,1,train,cross,wrong_reference,edge_echo_decoy,edge_guarded,13.106162,0.04890843
2,1,train,diag,wrong_reference,edge_echo_decoy,edge_guarded,11.504395,0.07072297
2,1,train,box,wrong_reference,edge_echo_decoy,edge_guarded,12.1192,0.0613875
2,1,train,bars,wrong_reference,edge_echo_decoy,edge_guarded,13.26923,0.04710609
2,1,train,ring,wrong_reference,edge_echo_decoy,edge_guarded,12.643055,0.05441198
2,1,train,chevron,wrong_reference,edge_echo_decoy,edge_guarded,11.469471,0.07129399
2,1,ood,disk,ordinary,edge_echo_decoy,edge_guarded,13.38628,0.04585345
2,1,ood,two_spots,ordinary,edge_echo_decoy,edge_guarded,13.536731,0.04429217
2,1,ood,frame,ordinary,edge_echo_decoy,edge_guarded,9.347503,0.11621166
2,1,ood,disk,common_path,edge_echo_decoy,edge_guarded,13.820051,0.04149491
2,1,ood,two_spots,common_path,edge_echo_decoy,edge_guarded,13.646796,0.04318375
2,1,ood,frame,common_path,edge_echo_decoy,edge_guarded,9.097476,0.12309841
2,1,ood,disk,noncommon_path,edge_echo_decoy,edge_guarded,13.065406,0.04936958
2,1,ood,two_spots,noncommon_path,edge_echo_decoy,edge_guarded,13.575422,0.04389932
2,1,ood,frame,noncommon_path,edge_echo_decoy,edge_guarded,8.94127,0.12760656
2,1,ood,disk,wrong_reference,edge_echo_decoy,edge_guarded,13.301648,0.04675577
2,1,ood,two_spots,wrong_reference,edge_echo_decoy,edge_guarded,14.531297,0.03522657
2,1,ood,frame,wrong_reference,edge_echo_decoy,edge_guarded,9.672656,0.1078287
2,2,train,cross,ordinary,edge_echo_decoy,edge_guarded,13.145449,0.048468
2,2,train,diag,ordinary,edge_echo_decoy,edge_guarded,13.11166,0.04884656
2,2,train,box,ordinary,edge_echo_decoy,edge_guarded,12.184249,0.06047489
2,2,train,bars,ordinary,edge_echo_decoy,edge_guarded,13.204257,0.04781611
2,2,train,ring,ordinary,edge_echo_decoy,edge_guarded,13.560352,0.04405192
2,2,train,chevron,ordinary,edge_echo_decoy,edge_guarded,13.656117,0.04309117
2,2,train,cross,common_path,edge_echo_decoy,edge_guarded,12.407698,0.05744208
2,2,train,diag,common_path,edge_echo_decoy,edge_guarded,10.224424,0.09496369
2,2,train,box,common_path,edge_echo_decoy,edge_guarded,11.247204,0.07503772
2,2,train,bars,common_path,edge_echo_decoy,edge_guarded,11.900676,0.06455538
2,2,train,ring,common_path,edge_echo_decoy,edge_guarded,11.272178,0.07460745
2,2,train,chevron,common_path,edge_echo_decoy,edge_guarded,10.593119,0.08723447
2,2,train,cross,noncommon_path,edge_echo_decoy,edge_guarded,12.294808,0.05895481
2,2,train,diag,noncommon_path,edge_echo_decoy,edge_guarded,9.922154,0.10180864
2,2,train,box,noncommon_path,edge_echo_decoy,edge_guarded,11.329893,0.07362253
2,2,train,bars,noncommon_path,edge_echo_decoy,edge_guarded,11.731787,0.06711526
2,2,train,ring,noncommon_path,edge_echo_decoy,edge_guarded,11.40546,0.07235258
2,2,train,chevron,noncommon_path,edge_echo_decoy,edge_guarded,10.552183,0.08806061
2,2,train,cross,wrong_reference,edge_echo_decoy,edge_guarded,12.997533,0.05014721
2,2,train,diag,wrong_reference,edge_echo_decoy,edge_guarded,11.797788,0.066103
2,2,train,box,wrong_reference,edge_echo_decoy,edge_guarded,12.233187,0.05979726
2,2,train,bars,wrong_reference,edge_echo_decoy,edge_guarded,13.204484,0.04781362
2,2,train,ring,wrong_reference,edge_echo_decoy,edge_guarded,12.943532,0.05077463
2,2,train,chevron,wrong_reference,edge_echo_decoy,edge_guarded,11.879843,0.06486579
2,2,ood,disk,ordinary,edge_echo_decoy,edge_guarded,13.314785,0.04661455
2,2,ood,two_spots,ordinary,edge_echo_decoy,edge_guarded,13.366889,0.04605864
2,2,ood,frame,ordinary,edge_echo_decoy,edge_guarded,9.31586,0.11706148
2,2,ood,disk,common_path,edge_echo_decoy,edge_guarded,13.962889,0.04015237
2,2,ood,two_spots,common_path,edge_echo_decoy,edge_guarded,13.446542,0.04522158
2,2,ood,frame,common_path,edge_echo_decoy,edge_guarded,9.19674,0.12031672
2,2,ood,disk,noncommon_path,edge_echo_decoy,edge_guarded,13.481992,0.04485397
2,2,ood,two_spots,noncommon_path,edge_echo_decoy,edge_guarded,13.729642,0.04236779
2,2,ood,frame,noncommon_path,edge_echo_decoy,edge_guarded,8.9886,0.12622342
2,2,ood,disk,wrong_reference,edge_echo_decoy,edge_guarded,14.008367,0.03973409
2,2,ood,two_spots,wrong_reference,edge_echo_decoy,edge_guarded,14.234126,0.03772137
2,2,ood,frame,wrong_reference,edge_echo_decoy,edge_guarded,9.631754,0.10884903
2,3,train,cross,ordinary,edge_echo_decoy,edge_guarded,13.335336,0.04639449
2,3,train,diag,ordinary,edge_echo_decoy,edge_guarded,13.864257,0.04107469
2,3,train,box,ordinary,edge_echo_decoy,edge_guarded,11.796158,0.06612781
2,3,train,bars,ordinary,edge_echo_decoy,edge_guarded,13.251676,0.04729687
2,3,train,ring,ordinary,edge_echo_decoy,edge_guarded,13.434872,0.04534326
2,3,train,chevron,ordinary,edge_echo_decoy,edge_guarded,13.60476,0.04360377
2,3,train,cross,common_path,edge_echo_decoy,edge_guarded,12.416813,0.05732166
2,3,train,diag,common_path,edge_echo_decoy,edge_guarded,10.666708,0.08576876
2,3,train,box,common_path,edge_echo_decoy,edge_guarded,11.29789,0.07416705
2,3,train,bars,common_path,edge_echo_decoy,edge_guarded,11.720137,0.06729554
