config_id,repeat_seed,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,risk_pair_q10_db_repeat,risk_pair_min_db_repeat,risk_pair_positive_fraction_repeat
16,3,1,0.16,0.17,0.9,anti_phase_plus_decoy,12.037011,12.530979,12.538336,12.676557,0.493968,-0.007357,-0.145579,-0.356875,-0.391895,0.0
16,4,1,0.16,0.17,0.9,anti_phase_plus_decoy,11.936996,12.613391,12.578305,12.449281,0.676395,0.035086,0.164111,-0.282138,-0.324431,0.5
16,5,1,0.16,0.17,0.9,anti_phase_plus_decoy,11.905544,12.447283,12.444728,12.542488,0.541738,0.002555,-0.095205,-0.113687,-0.134418,0.5
16,6,1,0.16,0.17,0.9,anti_phase_plus_decoy,12.059014,12.349386,12.457903,12.405552,0.290372,-0.108517,-0.056166,-0.294334,-0.296101,0.0
16,7,1,0.16,0.17,0.9,anti_phase_plus_decoy,11.975352,12.377976,12.261744,12.377586,0.402624,0.116232,0.00039,-0.077323,-0.080266,0.0
17,0,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.045039,12.582839,12.485752,12.540341,0.537799,0.097086,0.042497,-0.211091,-0.217306,0.0
17,1,1,0.16,0.17,1.0,anti_phase_plus_decoy,11.965136,12.531669,12.725774,12.557895,0.566533,-0.194106,-0.026227,-0.156641,-0.173466,0.0
17,2,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.132388,12.430629,12.571079,12.466688,0.298241,-0.14045,-0.036058,-0.136257,-0.171519,0.5
17,3,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.024498,12.391597,12.424999,12.316635,0.3671,-0.033402,0.074963,0.032909,0.020078,1.0
17,4,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.148061,12.601664,12.282398,12.403146,0.453603,0.319266,0.198518,-0.200347,-0.217052,0.0
17,5,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.095412,12.636226,12.529969,12.435328,0.540814,0.106257,0.200898,-0.086653,-0.135322,0.5
17,6,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.031957,12.572283,12.589971,12.408169,0.540325,-0.017688,0.164113,-0.117663,-0.121473,0.0
17,7,1,0.16,0.17,1.0,anti_phase_plus_decoy,12.249273,12.455534,12.606728,12.458009,0.206261,-0.151193,-0.002475,-0.13834,-0.144729,0.0
18,0,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.116737,12.686948,12.58502,12.643518,0.570211,0.101928,0.04343,0.056583,0.036921,1.0
18,1,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.195859,12.323138,12.570405,12.513266,0.127279,-0.247267,-0.190128,-0.108088,-0.111225,0.0
18,2,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.141325,12.226488,12.428885,12.531606,0.085163,-0.202396,-0.305118,-0.538414,-0.569887,0.0
