config_id,repeat_seed,split,sample,condition,phase_mix,wrongref_mode,psnr_db,mse
2,2,train,cross,noncommon_path,0.125,existing_amp_only,12.897315,0.05131785
2,2,train,diag,noncommon_path,0.125,existing_amp_only,10.6012,0.08707231
2,2,train,box,noncommon_path,0.125,existing_amp_only,11.726321,0.06719979
2,2,train,bars,noncommon_path,0.125,existing_amp_only,12.314802,0.05868401
2,2,train,ring,noncommon_path,0.125,existing_amp_only,12.001643,0.06307188
2,2,train,chevron,noncommon_path,0.125,existing_amp_only,10.580021,0.08749796
2,2,train,cross,wrong_reference,0.125,existing_amp_only,12.898258,0.05130672
2,2,train,diag,wrong_reference,0.125,existing_amp_only,11.636355,0.06860638
2,2,train,box,wrong_reference,0.125,existing_amp_only,12.098272,0.06168404
2,2,train,bars,wrong_reference,0.125,existing_amp_only,12.771597,0.0528251
2,2,train,ring,wrong_reference,0.125,existing_amp_only,12.239304,0.0597131
2,2,train,chevron,wrong_reference,0.125,existing_amp_only,11.084794,0.07789698
2,2,ood,disk,ordinary,0.125,existing_amp_only,13.280637,0.04698252
2,2,ood,two_spots,ordinary,0.125,existing_amp_only,13.4853,0.04481981
2,2,ood,frame,ordinary,0.125,existing_amp_only,9.35931,0.11589614
2,2,ood,disk,common_path,0.125,existing_amp_only,14.318386,0.03699656
2,2,ood,two_spots,common_path,0.125,existing_amp_only,14.541398,0.03514473
2,2,ood,frame,common_path,0.125,existing_amp_only,9.532012,0.11137785
2,2,ood,disk,noncommon_path,0.125,existing_amp_only,14.194591,0.03806632
2,2,ood,two_spots,noncommon_path,0.125,existing_amp_only,13.745617,0.04221223
2,2,ood,frame,noncommon_path,0.125,existing_amp_only,9.488893,0.11248917
2,2,ood,disk,wrong_reference,0.125,existing_amp_only,14.374995,0.03651745
2,2,ood,two_spots,wrong_reference,0.125,existing_amp_only,13.955307,0.04022252
2,2,ood,frame,wrong_reference,0.125,existing_amp_only,9.419143,0.1143104
2,3,train,cross,ordinary,0.125,existing_amp_only,13.045041,0.04960163
2,3,train,diag,ordinary,0.125,existing_amp_only,12.787463,0.05263246
2,3,train,box,ordinary,0.125,existing_amp_only,12.08045,0.0619377
2,3,train,bars,ordinary,0.125,existing_amp_only,13.288673,0.04689566
2,3,train,ring,ordinary,0.125,existing_amp_only,13.794626,0.04173855
2,3,train,chevron,ordinary,0.125,existing_amp_only,13.557504,0.04408081
2,3,train,cross,common_path,0.125,existing_amp_only,12.923513,0.05100922
2,3,train,diag,common_path,0.125,existing_amp_only,10.323358,0.09282485
2,3,train,box,common_path,0.125,existing_amp_only,11.902175,0.0645331
2,3,train,bars,common_path,0.125,existing_amp_only,12.507561,0.05613632
2,3,train,ring,common_path,0.125,existing_amp_only,12.26486,0.05936274
2,3,train,chevron,common_path,0.125,existing_amp_only,10.774328,0.08366951
2,3,train,cross,noncommon_path,0.125,existing_amp_only,12.845906,0.05192893
2,3,train,diag,noncommon_path,0.125,existing_amp_only,10.377937,0.09166559
2,3,train,box,noncommon_path,0.125,existing_amp_only,11.88594,0.06477479
2,3,train,bars,noncommon_path,0.125,existing_amp_only,12.534619,0.05578766
2,3,train,ring,noncommon_path,0.125,existing_amp_only,12.18024,0.06053074
2,3,train,chevron,noncommon_path,0.125,existing_amp_only,10.508526,0.0889503
2,3,train,cross,wrong_reference,0.125,existing_amp_only,12.983484,0.05030968
2,3,train,diag,wrong_reference,0.125,existing_amp_only,11.534914,0.07022773
2,3,train,box,wrong_reference,0.125,existing_amp_only,12.164897,0.06074497
2,3,train,bars,wrong_reference,0.125,existing_amp_only,12.874402,0.05158931
2,3,train,ring,wrong_reference,0.125,existing_amp_only,12.528269,0.05586929
2,3,train,chevron,wrong_reference,0.125,existing_amp_only,11.601093,0.06916569
2,3,ood,disk,ordinary,0.125,existing_amp_only,13.167822,0.04821895
2,3,ood,two_spots,ordinary,0.125,existing_amp_only,13.369072,0.0460355
2,3,ood,frame,ordinary,0.125,existing_amp_only,9.378589,0.11538281
2,3,ood,disk,common_path,0.125,existing_amp_only,14.067024,0.03920104
2,3,ood,two_spots,common_path,0.125,existing_amp_only,14.25645,0.03752797
2,3,ood,frame,common_path,0.125,existing_amp_only,9.267405,0.11837487
2,3,ood,disk,noncommon_path,0.125,existing_amp_only,14.1945,0.03806712
2,3,ood,two_spots,noncommon_path,0.125,existing_amp_only,14.292705,0.03721599
2,3,ood,frame,noncommon_path,0.125,existing_amp_only,9.473079,0.11289952
2,3,ood,disk,wrong_reference,0.125,existing_amp_only,13.670122,0.04295243
2,3,ood,two_spots,wrong_reference,0.125,existing_amp_only,14.104938,0.03886031
2,3,ood,frame,wrong_reference,0.125,existing_amp_only,9.567879,0.11046179
3,0,train,cross,ordinary,0.15,existing_amp_only,13.122704,0.04872251
3,0,train,diag,ordinary,0.15,existing_amp_only,13.296705,0.04680901
3,0,train,box,ordinary,0.15,existing_amp_only,12.029278,0.0626718
3,0,train,bars,ordinary,0.15,existing_amp_only,13.201757,0.04784365
3,0,train,ring,ordinary,0.15,existing_amp_only,13.542756,0.04423076
3,0,train,chevron,ordinary,0.15,existing_amp_only,13.628997,0.0433611
3,0,train,cross,common_path,0.15,existing_amp_only,12.870598,0.05163453
3,0,train,diag,common_path,0.15,existing_amp_only,10.780333,0.08355389
