config_id,repeat_seed,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
36,0,2,0.16,0.05,11.876998,12.506195,12.422996,12.738181,0.629197,0.083199,-0.231986
36,1,2,0.16,0.05,12.003004,12.562293,12.272621,12.726675,0.559289,0.289672,-0.164382
36,2,2,0.16,0.05,12.029665,12.59866,12.250923,12.524639,0.568995,0.347737,0.07402
36,3,2,0.16,0.05,11.888649,12.463162,12.27667,12.749549,0.574513,0.186492,-0.286387
37,0,2,0.16,0.1,11.939499,12.536766,12.51248,12.710482,0.597268,0.024286,-0.173716
37,1,2,0.16,0.1,12.083533,12.515042,12.421475,12.343285,0.431509,0.093567,0.171756
37,2,2,0.16,0.1,12.12363,12.556127,12.593456,12.5415,0.432497,-0.037329,0.014627
37,3,2,0.16,0.1,12.041,12.367201,12.463724,12.636282,0.326201,-0.096523,-0.269081
38,0,2,0.16,0.15,12.263688,12.663247,12.586372,12.608948,0.399559,0.076875,0.054298
38,1,2,0.16,0.15,12.21532,12.403141,12.478669,12.706861,0.187821,-0.075528,-0.30372
38,2,2,0.16,0.15,12.06232,12.345511,12.608759,12.547636,0.283191,-0.263247,-0.202124
38,3,2,0.16,0.15,12.055148,12.476544,12.661545,12.604868,0.421396,-0.185001,-0.128324
39,0,2,0.16,0.2,12.029156,12.367379,12.288151,12.625862,0.338224,0.079229,-0.258483
39,1,2,0.16,0.2,12.13611,12.475983,12.491479,12.54941,0.339873,-0.015496,-0.073427
39,2,2,0.16,0.2,11.859256,12.603351,12.658302,12.626765,0.744095,-0.054952,-0.023414
39,3,2,0.16,0.2,12.063107,12.612263,12.675093,12.761126,0.549156,-0.06283,-0.148863
40,0,2,0.16,0.25,12.194775,12.590364,12.488635,12.542397,0.395589,0.101729,0.047966
40,1,2,0.16,0.25,11.984548,12.551294,12.517609,12.520149,0.566746,0.033685,0.031144
40,2,2,0.16,0.25,12.329013,12.277416,12.419968,12.478333,-0.051597,-0.142552,-0.200917
40,3,2,0.16,0.25,12.203674,12.336794,12.27033,12.519589,0.13312,0.066464,-0.182795
41,0,2,0.2,0.05,12.165772,12.44264,12.50893,12.712995,0.276867,-0.06629,-0.270356
41,1,2,0.2,0.05,12.087006,12.340291,12.472806,12.53377,0.253285,-0.132515,-0.193479
41,2,2,0.2,0.05,11.966169,12.605991,12.513645,12.531341,0.639823,0.092346,0.074651
41,3,2,0.2,0.05,12.004178,12.643982,12.438048,12.500509,0.639804,0.205934,0.143473
42,0,2,0.2,0.1,11.947094,12.439418,12.70584,12.552865,0.492324,-0.266422,-0.113448
42,1,2,0.2,0.1,12.090688,12.465113,12.585938,12.651385,0.374425,-0.120826,-0.186273
42,2,2,0.2,0.1,12.117251,12.370784,12.646448,12.569002,0.253533,-0.275664,-0.198218
42,3,2,0.2,0.1,11.821294,12.453686,12.51811,12.725559,0.632392,-0.064424,-0.271873
43,0,2,0.2,0.15,12.128938,12.602205,12.411136,12.709573,0.473267,0.191069,-0.107368
43,1,2,0.2,0.15,12.092772,12.589936,12.53509,12.646745,0.497164,0.054846,-0.056809
43,2,2,0.2,0.15,12.018451,12.43027,12.599876,12.548618,0.411819,-0.169606,-0.118348
43,3,2,0.2,0.15,11.946878,12.478379,12.549623,12.408567,0.531501,-0.071244,0.069813
44,0,2,0.2,0.2,12.119078,12.623502,12.502521,12.632338,0.504424,0.120981,-0.008837
44,1,2,0.2,0.2,12.156153,12.396068,12.338933,12.496718,0.239915,0.057136,-0.100649
44,2,2,0.2,0.2,12.193219,12.383746,12.491898,12.501721,0.190527,-0.108153,-0.117975
44,3,2,0.2,0.2,12.195788,12.584476,12.459829,12.608214,0.388688,0.124647,-0.023738
45,0,2,0.2,0.25,12.037275,12.335307,12.520194,12.496719,0.298032,-0.184887,-0.161411
45,1,2,0.2,0.25,11.907971,12.480064,12.407164,12.754875,0.572093,0.0729,-0.27481
45,2,2,0.2,0.25,11.918154,12.570594,12.477925,12.744992,0.652439,0.092669,-0.174398
45,3,2,0.2,0.25,12.037217,12.435549,12.507872,12.433836,0.398332,-0.072324,0.001713
46,0,2,0.24,0.05,12.005532,12.383161,12.384438,12.701805,0.377629,-0.001276,-0.318643
46,1,2,0.24,0.05,12.012531,12.233857,12.547364,12.518928,0.221325,-0.313507,-0.285071
46,2,2,0.24,0.05,11.918112,12.263038,12.307598,12.477175,0.344927,-0.04456,-0.214137
46,3,2,0.24,0.05,11.985059,12.219246,12.316174,12.458974,0.234187,-0.096928,-0.239728
47,0,2,0.24,0.1,12.104733,12.375278,12.284952,12.622172,0.270545,0.090326,-0.246894
47,1,2,0.24,0.1,12.067263,12.231368,12.378802,12.601387,0.164104,-0.147434,-0.370019
47,2,2,0.24,0.1,12.127003,12.504038,12.383417,12.374557,0.377035,0.120621,0.129481
47,3,2,0.24,0.1,12.009029,12.327807,12.199273,12.452542,0.318778,0.128533,-0.124736
48,0,2,0.24,0.15,12.062813,12.399935,12.473529,12.364706,0.337121,-0.073594,0.035228
48,1,2,0.24,0.15,12.130959,12.383048,12.464239,12.489239,0.252089,-0.081192,-0.106192
48,2,2,0.24,0.15,11.945113,12.504556,12.412278,12.511791,0.559444,0.092279,-0.007235
48,3,2,0.24,0.15,11.911864,12.28897,12.336375,12.531931,0.377106,-0.047405,-0.242961
49,0,2,0.24,0.2,12.152819,12.295944,12.562666,12.502384,0.143125,-0.266721,-0.20644
49,1,2,0.24,0.2,11.946963,12.257595,12.252276,12.553684,0.310632,0.005319,-0.296089
49,2,2,0.24,0.2,11.970861,12.473918,12.484771,12.492937,0.503057,-0.010853,-0.019019
49,3,2,0.24,0.2,12.125803,12.463743,12.442953,12.503831,0.337939,0.02079,-0.040088
50,0,2,0.24,0.25,12.077927,12.344938,12.252636,12.329443,0.26701,0.092302,0.015495
50,1,2,0.24,0.25,11.868642,12.094205,12.433106,12.569404,0.225563,-0.338901,-0.475199
50,2,2,0.24,0.25,11.958818,12.311859,12.296356,12.735742,0.353041,0.015503,-0.423883
50,3,2,0.24,0.25,12.129096,12.239936,12.343522,12.451028,0.11084,-0.103586,-0.211092
51,0,2,0.28,0.05,12.182112,12.229939,12.182545,12.28299,0.047827,0.047394,-0.053051
51,1,2,0.28,0.05,12.027675,12.329819,12.280405,12.518868,0.302144,0.049413,-0.189049
51,2,2,0.28,0.05,12.116728,12.282556,12.335062,12.421221,0.165829,-0.052505,-0.138665
51,3,2,0.28,0.05,11.965228,12.356551,12.268684,12.530181,0.391323,0.087867,-0.17363
52,0,2,0.28,0.1,11.946149,12.201596,12.329269,12.464505,0.255448,-0.127673,-0.262909
52,1,2,0.28,0.1,12.193038,12.137791,12.254593,12.558547,-0.055247,-0.116802,-0.420757
52,2,2,0.28,0.1,11.92857,12.345964,12.396009,12.361342,0.417395,-0.050044,-0.015378
52,3,2,0.28,0.1,12.112171,12.192702,12.302549,12.671359,0.08053,-0.109847,-0.478658
53,0,2,0.28,0.15,12.177072,12.3231,12.272703,12.39455,0.146027,0.050397,-0.071451
53,1,2,0.28,0.15,11.951556,12.097887,12.391318,12.324523,0.146332,-0.29343,-0.226635
53,2,2,0.28,0.15,12.112537,12.333416,12.260463,12.360514,0.220879,0.072953,-0.027098
53,3,2,0.28,0.15,12.199778,12.41842,12.106546,12.32925,0.218642,0.311874,0.08917
54,0,2,0.28,0.2,11.988563,12.288953,12.338766,12.283446,0.30039,-0.049813,0.005507
54,1,2,0.28,0.2,12.004316,12.180336,12.445024,12.529289,0.17602,-0.264688,-0.348953
54,2,2,0.28,0.2,12.12836,12.354636,12.283575,12.4584,0.226276,0.071061,-0.103764
54,3,2,0.28,0.2,11.973513,12.207007,12.395724,12.573641,0.233495,-0.188717,-0.366633
55,0,2,0.28,0.25,12.018014,12.170187,12.153893,12.413638,0.152173,0.016294,-0.243451
55,1,2,0.28,0.25,11.953558,12.144224,12.210652,12.268635,0.190666,-0.066428,-0.124411
55,2,2,0.28,0.25,12.031386,12.187303,12.389034,12.402231,0.155916,-0.201731,-0.214929
55,3,2,0.28,0.25,12.022819,12.168513,12.356721,12.36982,0.145695,-0.188207,-0.201307
56,0,2,0.32,0.05,12.020491,12.220426,12.075264,12.431333,0.199935,0.145162,-0.210907
56,1,2,0.32,0.05,11.966281,12.360695,12.131767,12.374158,0.394414,0.228928,-0.013463
56,2,2,0.32,0.05,11.962941,12.169098,12.12688,12.426555,0.206156,0.042218,-0.257458
