repeat_seed,sample,condition,psnr_db,mse
10,offcenter_disk,wrong_reference,13.181091,0.04807185
10,zigzag,wrong_reference,11.555507,0.06989551
11,disk,ordinary,13.374164,0.04598154
11,two_spots,ordinary,13.509187,0.04457397
11,frame,ordinary,9.281063,0.11800318
11,diamond,ordinary,13.201517,0.0478463
11,corner_dots,ordinary,14.069765,0.03917631
11,half_ring,ordinary,15.922643,0.02557029
11,triple_bars,ordinary,13.102491,0.0489498
11,offcenter_disk,ordinary,12.494687,0.05630297
11,zigzag,ordinary,11.393713,0.07254854
11,disk,common_path,14.19683,0.0380467
11,two_spots,common_path,13.540079,0.04425804
11,frame,common_path,9.719761,0.10666548
11,diamond,common_path,14.520969,0.03531043
11,corner_dots,common_path,14.531644,0.03522375
11,half_ring,common_path,16.242206,0.02375633
11,triple_bars,common_path,13.012865,0.04997048
11,offcenter_disk,common_path,13.330979,0.04644106
11,zigzag,common_path,11.207929,0.0757194
11,disk,noncommon_path,13.947608,0.04029389
11,two_spots,noncommon_path,13.973831,0.04005133
11,frame,noncommon_path,9.850488,0.10350258
11,diamond,noncommon_path,14.431081,0.03604889
11,corner_dots,noncommon_path,14.313221,0.03704059
11,half_ring,noncommon_path,16.292195,0.02348446
11,triple_bars,noncommon_path,13.142286,0.04850332
11,offcenter_disk,noncommon_path,13.521047,0.04445241
11,zigzag,noncommon_path,11.435209,0.07185865
11,disk,wrong_reference,13.695928,0.04269797
11,two_spots,wrong_reference,13.529722,0.04436371
11,frame,wrong_reference,9.588463,0.10993949
11,diamond,wrong_reference,14.245571,0.03762209
11,corner_dots,wrong_reference,14.356005,0.03667748
11,half_ring,wrong_reference,16.075683,0.02468492
11,triple_bars,wrong_reference,13.268106,0.04711827
11,offcenter_disk,wrong_reference,13.414219,0.04555941
11,zigzag,wrong_reference,11.731643,0.06711749
12,disk,ordinary,13.582279,0.04383007
12,two_spots,ordinary,13.369622,0.04602966
12,frame,ordinary,9.319923,0.116952
12,diamond,ordinary,13.575866,0.04389484
12,corner_dots,ordinary,14.205135,0.03797402
12,half_ring,ordinary,16.002136,0.02510651
12,triple_bars,ordinary,13.05524,0.04948527
12,offcenter_disk,ordinary,13.205323,0.04780438
12,zigzag,ordinary,11.400878,0.07242896
12,disk,common_path,14.152568,0.03843644
12,two_spots,common_path,14.103135,0.03887644
12,frame,common_path,9.842371,0.1036962
12,diamond,common_path,14.690398,0.03395942
12,corner_dots,common_path,14.106704,0.0388445
12,half_ring,common_path,15.891145,0.02575642
12,triple_bars,common_path,13.166668,0.04823177
12,offcenter_disk,common_path,13.697938,0.04267821
12,zigzag,common_path,11.200373,0.07585125
12,disk,noncommon_path,14.377039,0.03650027
12,two_spots,noncommon_path,13.728724,0.04237675
12,frame,noncommon_path,9.63507,0.10876596
12,diamond,noncommon_path,14.377292,0.03649814
12,corner_dots,noncommon_path,14.556032,0.03502651
12,half_ring,noncommon_path,16.451054,0.02264095
12,triple_bars,noncommon_path,12.907673,0.0511956
12,offcenter_disk,noncommon_path,13.743695,0.04223092
12,zigzag,noncommon_path,10.762254,0.08390245
12,disk,wrong_reference,14.006643,0.03974987
12,two_spots,wrong_reference,13.529585,0.04436511
12,frame,wrong_reference,9.546408,0.11100925
12,diamond,wrong_reference,14.074993,0.03912918
12,corner_dots,wrong_reference,14.349159,0.03673534
12,half_ring,wrong_reference,16.319652,0.02333645
12,triple_bars,wrong_reference,13.357786,0.04615528
12,offcenter_disk,wrong_reference,13.507028,0.04459613
12,zigzag,wrong_reference,11.704283,0.06754166
13,disk,ordinary,13.207601,0.04777932
13,two_spots,ordinary,13.501176,0.04465626
13,frame,ordinary,9.364206,0.11576557
13,diamond,ordinary,13.530702,0.04435369
13,corner_dots,ordinary,14.065962,0.03921063
13,half_ring,ordinary,15.742725,0.02665186
13,triple_bars,ordinary,13.171021,0.04818345
13,offcenter_disk,ordinary,12.183942,0.06047917
13,zigzag,ordinary,11.625307,0.06878112
13,disk,common_path,13.861798,0.04109795
13,two_spots,common_path,14.136317,0.03858054
13,frame,common_path,9.745752,0.10602902
13,diamond,common_path,14.33696,0.03683867
13,corner_dots,common_path,14.358793,0.03665394
13,half_ring,common_path,16.174789,0.02412799
13,triple_bars,common_path,13.22717,0.0475645
13,offcenter_disk,common_path,13.272209,0.04707379
13,zigzag,common_path,11.135467,0.07699336
13,disk,noncommon_path,14.174708,0.03824099
13,two_spots,noncommon_path,14.084831,0.03904064
13,frame,noncommon_path,9.738415,0.1062083
13,diamond,noncommon_path,14.019676,0.03963076
13,corner_dots,noncommon_path,14.65994,0.03419842
13,half_ring,noncommon_path,16.014134,0.02503725
13,triple_bars,noncommon_path,12.887931,0.05142886
13,offcenter_disk,noncommon_path,13.305304,0.04671643
13,zigzag,noncommon_path,11.591017,0.06932634
13,disk,wrong_reference,14.265775,0.03744747
13,two_spots,wrong_reference,13.66673,0.042986
13,frame,wrong_reference,9.545059,0.11104374
13,diamond,wrong_reference,14.678423,0.03405319
13,corner_dots,wrong_reference,14.243633,0.03763888
13,half_ring,wrong_reference,16.260967,0.02365393
13,triple_bars,wrong_reference,13.27982,0.04699136
13,offcenter_disk,wrong_reference,13.504486,0.04462224
13,zigzag,wrong_reference,11.833558,0.0655608
