config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
19,3,two_spots,0.18,0.17,0.9,-0.506554,0.453128
19,4,frame,0.18,0.17,0.9,0.078153,0.224172
19,4,two_spots,0.18,0.17,0.9,-0.086233,0.566042
19,5,frame,0.18,0.17,0.9,-0.192626,-0.052389
19,5,two_spots,0.18,0.17,0.9,-0.198328,0.582005
19,6,frame,0.18,0.17,0.9,-0.249357,0.071127
19,6,two_spots,0.18,0.17,0.9,0.021336,0.868371
19,7,frame,0.18,0.17,0.9,0.051433,0.281492
19,7,two_spots,0.18,0.17,0.9,-0.1231,0.734777
20,0,frame,0.18,0.17,1.0,-0.117913,0.084234
20,0,two_spots,0.18,0.17,1.0,0.173286,0.836298
20,1,frame,0.18,0.17,1.0,0.03273,0.17388
20,1,two_spots,0.18,0.17,1.0,-0.315608,0.675658
20,2,frame,0.18,0.17,1.0,-0.043634,0.004521
20,2,two_spots,0.18,0.17,1.0,0.101339,0.816572
20,3,frame,0.18,0.17,1.0,0.044213,0.091182
20,3,two_spots,0.18,0.17,1.0,-0.04109,0.459023
20,4,frame,0.18,0.17,1.0,-0.048896,-0.075602
20,4,two_spots,0.18,0.17,1.0,-0.304233,0.417952
20,5,frame,0.18,0.17,1.0,-0.006998,0.072845
20,5,two_spots,0.18,0.17,1.0,0.260977,0.750794
20,6,frame,0.18,0.17,1.0,0.164169,0.264345
20,6,two_spots,0.18,0.17,1.0,0.056347,0.761425
20,7,frame,0.18,0.17,1.0,-0.07659,-0.015023
20,7,two_spots,0.18,0.17,1.0,-0.105252,0.553989
21,0,frame,0.18,0.17,1.1,-0.178642,-0.100695
21,0,two_spots,0.18,0.17,1.1,-0.038829,0.517704
21,1,frame,0.18,0.17,1.1,-0.038728,0.077299
21,1,two_spots,0.18,0.17,1.1,0.015551,0.737582
21,2,frame,0.18,0.17,1.1,-0.001239,0.074445
21,2,two_spots,0.18,0.17,1.1,0.221073,0.479728
21,3,frame,0.18,0.17,1.1,0.134725,0.099802
21,3,two_spots,0.18,0.17,1.1,-0.248842,0.805159
21,4,frame,0.18,0.17,1.1,-0.223428,0.06169
21,4,two_spots,0.18,0.17,1.1,-0.054159,0.579639
21,5,frame,0.18,0.17,1.1,0.017553,0.029749
21,5,two_spots,0.18,0.17,1.1,0.048099,0.780636
21,6,frame,0.18,0.17,1.1,-0.077599,0.173806
21,6,two_spots,0.18,0.17,1.1,0.360953,1.032746
21,7,frame,0.18,0.17,1.1,0.005543,0.2007
21,7,two_spots,0.18,0.17,1.1,-0.011479,0.44121
22,0,frame,0.2,0.17,0.9,-0.052811,-0.006458
22,0,two_spots,0.2,0.17,0.9,0.186382,0.824233
22,1,frame,0.2,0.17,0.9,-0.053743,0.066141
22,1,two_spots,0.2,0.17,0.9,-0.12535,0.931163
22,2,frame,0.2,0.17,0.9,-0.239095,-0.006037
22,2,two_spots,0.2,0.17,0.9,-0.258692,0.642515
22,3,frame,0.2,0.17,0.9,0.075352,0.139879
22,3,two_spots,0.2,0.17,0.9,0.562005,0.828146
22,4,frame,0.2,0.17,0.9,-0.018783,-0.00844
22,4,two_spots,0.2,0.17,0.9,0.093262,1.033542
22,5,frame,0.2,0.17,0.9,-0.316622,-0.087595
22,5,two_spots,0.2,0.17,0.9,-0.081257,0.91601
22,6,frame,0.2,0.17,0.9,-0.164047,0.010717
22,6,two_spots,0.2,0.17,0.9,0.336243,0.632593
22,7,frame,0.2,0.17,0.9,-0.185324,-0.224696
22,7,two_spots,0.2,0.17,0.9,0.38927,0.832725
23,0,frame,0.2,0.17,1.0,-0.114801,-0.053721
23,0,two_spots,0.2,0.17,1.0,-0.335865,0.413564
23,1,frame,0.2,0.17,1.0,-0.239227,-0.157393
23,1,two_spots,0.2,0.17,1.0,-0.397925,0.436432
23,2,frame,0.2,0.17,1.0,-0.343887,-0.187706
23,2,two_spots,0.2,0.17,1.0,-0.319738,0.697114
23,3,frame,0.2,0.17,1.0,-0.078774,0.036055
23,3,two_spots,0.2,0.17,1.0,-0.061497,0.301003
23,4,frame,0.2,0.17,1.0,-0.174689,-0.002903
23,4,two_spots,0.2,0.17,1.0,0.018421,0.78666
23,5,frame,0.2,0.17,1.0,-0.301966,-0.000209
