config_id,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
6,ood,two_spots,wrong_reference,1,0.4,0.55,13.903224,0.0407078
6,ood,frame,wrong_reference,1,0.4,0.55,8.861922,0.12995942
7,train,cross,ordinary,1,0.65,0.15,13.189937,0.04797404
7,train,diag,ordinary,1,0.65,0.15,12.702171,0.05367634
7,train,box,ordinary,1,0.65,0.15,12.149821,0.0609562
7,train,bars,ordinary,1,0.65,0.15,13.259353,0.04721334
7,train,ring,ordinary,1,0.65,0.15,13.616165,0.04348941
7,train,chevron,ordinary,1,0.65,0.15,13.565626,0.04399845
7,train,cross,common_path,1,0.65,0.15,10.05033,0.09884779
7,train,diag,common_path,1,0.65,0.15,7.95184,0.16025661
7,train,box,common_path,1,0.65,0.15,8.589205,0.13838196
7,train,bars,common_path,1,0.65,0.15,8.701545,0.13484829
7,train,ring,common_path,1,0.65,0.15,9.035656,0.12486319
7,train,chevron,common_path,1,0.65,0.15,7.282815,0.18694699
7,train,cross,noncommon_path,1,0.65,0.15,10.21193,0.09523728
7,train,diag,noncommon_path,1,0.65,0.15,7.787024,0.16645528
7,train,box,noncommon_path,1,0.65,0.15,8.838059,0.13067548
7,train,bars,noncommon_path,1,0.65,0.15,9.274276,0.11818775
7,train,ring,noncommon_path,1,0.65,0.15,8.976806,0.12656669
7,train,chevron,noncommon_path,1,0.65,0.15,8.374305,0.14540169
7,train,cross,wrong_reference,1,0.65,0.15,10.871761,0.08181329
7,train,diag,wrong_reference,1,0.65,0.15,9.049587,0.12446329
7,train,box,wrong_reference,1,0.65,0.15,9.963255,0.10084967
7,train,bars,wrong_reference,1,0.65,0.15,10.266095,0.09405687
7,train,ring,wrong_reference,1,0.65,0.15,10.360666,0.09203085
7,train,chevron,wrong_reference,1,0.65,0.15,8.549073,0.13966665
7,ood,disk,ordinary,1,0.65,0.15,13.472526,0.04495183
7,ood,two_spots,ordinary,1,0.65,0.15,13.340851,0.04633561
7,ood,frame,ordinary,1,0.65,0.15,9.432201,0.11396722
7,ood,disk,common_path,1,0.65,0.15,11.437474,0.07182119
7,ood,two_spots,common_path,1,0.65,0.15,12.609898,0.05482899
7,ood,frame,common_path,1,0.65,0.15,7.934912,0.1608825
7,ood,disk,noncommon_path,1,0.65,0.15,11.740972,0.06697347
7,ood,two_spots,noncommon_path,1,0.65,0.15,12.854777,0.05182297
7,ood,frame,noncommon_path,1,0.65,0.15,7.867888,0.16338463
7,ood,disk,wrong_reference,1,0.65,0.15,11.987839,0.06327266
7,ood,two_spots,wrong_reference,1,0.65,0.15,13.152045,0.04839444
7,ood,frame,wrong_reference,1,0.65,0.15,7.992767,0.15875348
8,train,cross,ordinary,1,0.65,0.35,12.948621,0.05071517
8,train,diag,ordinary,1,0.65,0.35,12.800336,0.05247669
8,train,box,ordinary,1,0.65,0.35,12.132624,0.06119806
8,train,bars,ordinary,1,0.65,0.35,13.113579,0.04882498
8,train,ring,ordinary,1,0.65,0.35,13.41015,0.04560212
8,train,chevron,ordinary,1,0.65,0.35,13.607552,0.04357575
8,train,cross,common_path,1,0.65,0.35,9.912916,0.10202542
8,train,diag,common_path,1,0.65,0.35,9.124225,0.12234254
8,train,box,common_path,1,0.65,0.35,8.864571,0.12988019
8,train,bars,common_path,1,0.65,0.35,9.091879,0.12325716
8,train,ring,common_path,1,0.65,0.35,8.405536,0.14435985
8,train,chevron,common_path,1,0.65,0.35,8.060304,0.15630381
8,train,cross,noncommon_path,1,0.65,0.35,10.5485,0.08813532
8,train,diag,noncommon_path,1,0.65,0.35,7.857762,0.16376602
8,train,box,noncommon_path,1,0.65,0.35,9.195874,0.12034072
8,train,bars,noncommon_path,1,0.65,0.35,9.667439,0.10795831
8,train,ring,noncommon_path,1,0.65,0.35,9.274079,0.1181931
8,train,chevron,noncommon_path,1,0.65,0.35,8.910587,0.12851131
8,train,cross,wrong_reference,1,0.65,0.35,10.519156,0.08873285
8,train,diag,wrong_reference,1,0.65,0.35,8.244209,0.14982322
8,train,box,wrong_reference,1,0.65,0.35,10.332809,0.09262305
8,train,bars,wrong_reference,1,0.65,0.35,10.57251,0.08764942
8,train,ring,wrong_reference,1,0.65,0.35,9.699245,0.10717057
8,train,chevron,wrong_reference,1,0.65,0.35,7.961254,0.15990962
8,ood,disk,ordinary,1,0.65,0.35,13.854677,0.0411654
8,ood,two_spots,ordinary,1,0.65,0.35,13.279853,0.046991
8,ood,frame,ordinary,1,0.65,0.35,9.346518,0.11623802
8,ood,disk,common_path,1,0.65,0.35,11.259505,0.07482548
8,ood,two_spots,common_path,1,0.65,0.35,12.698441,0.05372246
8,ood,frame,common_path,1,0.65,0.35,8.395077,0.14470792
8,ood,disk,noncommon_path,1,0.65,0.35,11.758204,0.06670827
8,ood,two_spots,noncommon_path,1,0.65,0.35,12.637079,0.0544869
8,ood,frame,noncommon_path,1,0.65,0.35,7.496506,0.17797105
8,ood,disk,wrong_reference,1,0.65,0.35,11.876961,0.06490885
8,ood,two_spots,wrong_reference,1,0.65,0.35,13.309115,0.04667544
8,ood,frame,wrong_reference,1,0.65,0.35,8.059871,0.1563194
9,train,cross,ordinary,1,0.65,0.55,13.307728,0.04669036
9,train,diag,ordinary,1,0.65,0.55,13.258708,0.04722035
9,train,box,ordinary,1,0.65,0.55,12.160767,0.06080277
9,train,bars,ordinary,1,0.65,0.55,13.191758,0.04795393
9,train,ring,ordinary,1,0.65,0.55,13.686678,0.042789
9,train,chevron,ordinary,1,0.65,0.55,13.680115,0.04285371
9,train,cross,common_path,1,0.65,0.55,9.733629,0.10632542
9,train,diag,common_path,1,0.65,0.55,9.136626,0.1219937
9,train,box,common_path,1,0.65,0.55,9.162067,0.12128114
9,train,bars,common_path,1,0.65,0.55,9.337617,0.11647651
9,train,ring,common_path,1,0.65,0.55,8.447911,0.14295815
9,train,chevron,common_path,1,0.65,0.55,8.177812,0.15213139
9,train,cross,noncommon_path,1,0.65,0.55,10.314324,0.09301814
9,train,diag,noncommon_path,1,0.65,0.55,8.496111,0.1413803
9,train,box,noncommon_path,1,0.65,0.55,9.215643,0.11979417
9,train,bars,noncommon_path,1,0.65,0.55,9.040996,0.12470976
9,train,ring,noncommon_path,1,0.65,0.55,8.798002,0.13188634
9,train,chevron,noncommon_path,1,0.65,0.55,7.48885,0.17828508
9,train,cross,wrong_reference,1,0.65,0.55,10.053388,0.09877823
9,train,diag,wrong_reference,1,0.65,0.55,9.115248,0.1225957
9,train,box,wrong_reference,1,0.65,0.55,9.914421,0.10199007
9,train,bars,wrong_reference,1,0.65,0.55,10.166469,0.09623944
9,train,ring,wrong_reference,1,0.65,0.55,9.797218,0.10477996
9,train,chevron,wrong_reference,1,0.65,0.55,8.760607,0.13302685
9,ood,disk,ordinary,1,0.65,0.55,12.921034,0.05103834
9,ood,two_spots,ordinary,1,0.65,0.55,13.435048,0.04534142
9,ood,frame,ordinary,1,0.65,0.55,9.323752,0.11684894
9,ood,disk,common_path,1,0.65,0.55,11.250977,0.07497255
9,ood,two_spots,common_path,1,0.65,0.55,12.61235,0.05479804
9,ood,frame,common_path,1,0.65,0.55,9.104171,0.12290876
9,ood,disk,noncommon_path,1,0.65,0.55,11.57429,0.06959387
9,ood,two_spots,noncommon_path,1,0.65,0.55,12.729026,0.05334545
9,ood,frame,noncommon_path,1,0.65,0.55,7.442939,0.18017981
9,ood,disk,wrong_reference,1,0.65,0.55,11.524735,0.07039251
9,ood,two_spots,wrong_reference,1,0.65,0.55,13.253878,0.04727289
9,ood,frame,wrong_reference,1,0.65,0.55,8.018394,0.15781949
10,train,cross,ordinary,1,0.9,0.15,12.908939,0.05118069
10,train,diag,ordinary,1,0.9,0.15,13.100966,0.04896699
10,train,box,ordinary,1,0.9,0.15,12.115646,0.06143776
10,train,bars,ordinary,1,0.9,0.15,13.268593,0.04711299
10,train,ring,ordinary,1,0.9,0.15,13.434932,0.04534264
10,train,chevron,ordinary,1,0.9,0.15,13.593303,0.04371895
10,train,cross,common_path,1,0.9,0.15,9.248162,0.11890054
10,train,diag,common_path,1,0.9,0.15,8.26715,0.14903389
10,train,box,common_path,1,0.9,0.15,7.758284,0.1675605
10,train,bars,common_path,1,0.9,0.15,7.78837,0.16640372
10,train,ring,common_path,1,0.9,0.15,8.288585,0.14830013
10,train,chevron,common_path,1,0.9,0.15,6.502921,0.22372161
10,train,cross,noncommon_path,1,0.9,0.15,9.073139,0.12379017
10,train,diag,noncommon_path,1,0.9,0.15,7.630247,0.17257397
10,train,box,noncommon_path,1,0.9,0.15,8.153664,0.15297962
10,train,bars,noncommon_path,1,0.9,0.15,9.019766,0.12532086
10,train,ring,noncommon_path,1,0.9,0.15,8.43697,0.14331874
10,train,chevron,noncommon_path,1,0.9,0.15,7.836722,0.16456134
10,train,cross,wrong_reference,1,0.9,0.15,9.138764,0.12193366
10,train,diag,wrong_reference,1,0.9,0.15,8.58327,0.1385712
10,train,box,wrong_reference,1,0.9,0.15,9.681242,0.10761574
10,train,bars,wrong_reference,1,0.9,0.15,9.154337,0.1214972
10,train,ring,wrong_reference,1,0.9,0.15,9.438259,0.11380835
10,train,chevron,wrong_reference,1,0.9,0.15,8.527969,0.14034698
10,ood,disk,ordinary,1,0.9,0.15,13.673806,0.04291602
10,ood,two_spots,ordinary,1,0.9,0.15,13.421337,0.0454848
10,ood,frame,ordinary,1,0.9,0.15,9.376041,0.11545053
10,ood,disk,common_path,1,0.9,0.15,10.212084,0.09523391
10,ood,two_spots,common_path,1,0.9,0.15,11.609374,0.06903393
10,ood,frame,common_path,1,0.9,0.15,8.418729,0.14392196
10,ood,disk,noncommon_path,1,0.9,0.15,10.801561,0.08314649
10,ood,two_spots,noncommon_path,1,0.9,0.15,11.134545,0.07700972
10,ood,frame,noncommon_path,1,0.9,0.15,7.741855,0.16819554
10,ood,disk,wrong_reference,1,0.9,0.15,10.671558,0.08567304
10,ood,two_spots,wrong_reference,1,0.9,0.15,12.429025,0.0571607
10,ood,frame,wrong_reference,1,0.9,0.15,8.089929,0.15524124
11,train,cross,ordinary,1,0.9,0.35,12.964853,0.05052598
11,train,diag,ordinary,1,0.9,0.35,14.175656,0.03823265
11,train,box,ordinary,1,0.9,0.35,12.26816,0.05931766
11,train,bars,ordinary,1,0.9,0.35,13.312126,0.0466431
11,train,ring,ordinary,1,0.9,0.35,13.419191,0.04550728
11,train,chevron,ordinary,1,0.9,0.35,13.597425,0.04367747
11,train,cross,common_path,1,0.9,0.35,9.050414,0.12443959
11,train,diag,common_path,1,0.9,0.35,9.42486,0.11416
11,train,box,common_path,1,0.9,0.35,8.385654,0.14502222
11,train,bars,common_path,1,0.9,0.35,8.049052,0.15670933
11,train,ring,common_path,1,0.9,0.35,7.740246,0.16825788
11,train,chevron,common_path,1,0.9,0.35,6.939081,0.20234473
11,train,cross,noncommon_path,1,0.9,0.35,8.810381,0.13151095
11,train,diag,noncommon_path,1,0.9,0.35,7.442736,0.18018821
11,train,box,noncommon_path,1,0.9,0.35,8.177619,0.15213814
11,train,bars,noncommon_path,1,0.9,0.35,8.160684,0.15273255
11,train,ring,noncommon_path,1,0.9,0.35,8.128359,0.15387361
11,train,chevron,noncommon_path,1,0.9,0.35,7.886545,0.16268426
11,train,cross,wrong_reference,1,0.9,0.35,8.870644,0.12969868
11,train,diag,wrong_reference,1,0.9,0.35,8.006122,0.15826605
11,train,box,wrong_reference,1,0.9,0.35,9.023028,0.12522678
11,train,bars,wrong_reference,1,0.9,0.35,9.494401,0.1123466
11,train,ring,wrong_reference,1,0.9,0.35,8.874214,0.12959214
11,train,chevron,wrong_reference,1,0.9,0.35,8.197668,0.15143741
11,ood,disk,ordinary,1,0.9,0.35,13.650497,0.04314697
11,ood,two_spots,ordinary,1,0.9,0.35,13.479421,0.04488052
11,ood,frame,ordinary,1,0.9,0.35,9.370311,0.11560296
11,ood,disk,common_path,1,0.9,0.35,9.939569,0.10140119
11,ood,two_spots,common_path,1,0.9,0.35,11.167512,0.07642735
11,ood,frame,common_path,1,0.9,0.35,8.364649,0.14572535
11,ood,disk,noncommon_path,1,0.9,0.35,10.473655,0.08966738
11,ood,two_spots,noncommon_path,1,0.9,0.35,11.698002,0.0676394
11,ood,frame,noncommon_path,1,0.9,0.35,7.615868,0.17314629
11,ood,disk,wrong_reference,1,0.9,0.35,10.575322,0.08759267
11,ood,two_spots,wrong_reference,1,0.9,0.35,12.315666,0.05867234
11,ood,frame,wrong_reference,1,0.9,0.35,7.736191,0.16841504
12,train,cross,ordinary,1,0.9,0.55,13.088626,0.04910632
12,train,diag,ordinary,1,0.9,0.55,13.557749,0.04407832
12,train,box,ordinary,1,0.9,0.55,12.116781,0.0614217
12,train,bars,ordinary,1,0.9,0.55,13.102878,0.04894544
12,train,ring,ordinary,1,0.9,0.55,13.416316,0.04553742
12,train,chevron,ordinary,1,0.9,0.55,13.654922,0.04310303
12,train,cross,common_path,1,0.9,0.55,9.712263,0.1068498
12,train,diag,common_path,1,0.9,0.55,9.720016,0.10665922
