point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
215,13.86972997460036,-35.31633899229745,-50.14958317506736,4.390272782878041,-20.899040271574076,-55.30662262097613
216,13.82158126333598,-35.14537790677878,-50.26962329515758,4.44896699417662,-20.880910652068348,-55.407097218636885
217,13.77070930937633,-34.96327671124015,-50.39785256523565,4.502281149314998,-20.86129425296139,-55.503885430091145
218,13.71719679090408,-34.77031933896301,-50.53406717065911,4.549978192615235,-20.84055522528888,-55.59630635126226
219,13.66113204768338,-34.5668241347311,-50.67803511229219,4.591857129467899,-20.819032592762294,-55.683738329498865
220,13.60260889168033,-34.35313894650721,-50.82950092036076,4.627755245061239,-20.797040349238966,-55.765621397905434
221,13.54172640184807,-34.12963643142906,-50.98819013752947,4.657549986505357,-20.774867844475374,-55.84145909389791
222,13.4785887037279,-33.89670967095073,-51.15381347703432,4.681160488658575,-20.75278037978728,-55.91081971936168
223,13.4133047345138,-33.65476815902323,-51.32607059263663,4.698548725111106,-20.73101993674409,-55.97333709939963
224,13.34598799422628,-33.40423419952042,-51.50465342484851,4.70972026704359,-20.70980596484627,-56.02871089506968
225,13.27675628363361,-33.14553972575954,-51.68924911123057,4.714724634124113,-20.689336158050367,-56.076706523019965
226,13.20573142954978,-32.87912353636742,-51.87954246715314,4.713655223327687,-20.669787154865528,-56.11715473177249
227,13.13303899812746,-32.60542892783703,-52.07521805730664,4.706648803652435,-20.651315102474108,-56.14995088075595
228,13.05880799675234,-32.32490169450433,-52.27596188785252,4.6938845672788725,-20.634056031913296,-56.175053964171454
229,12.98317056513066,-32.03798846074228,-52.48146275502219,4.675582730885722,-20.618125998827672,-56.19248541746714
230,12.90626165614798,-31.74513530724041,-52.69141328889015,4.652002684710434,-20.603620952737735,-56.20232773964414
231,12.82821870706277,-31.44678665262891,-52.90551073163908,4.623440691625393,-20.59061630724583,-56.20472295983277
232,12.74918130158418,-31.14338435279469,-53.12345748853647,4.590227144074548,-20.57916619420692,-56.19987097156391
233,12.66929082337093,-30.83536698248363,-53.34496148758021,4.552723393227816,-20.569302396677,-56.18802775290864
234,12.58869010147765,-30.52316926675134,-53.56973638079456,4.51131817216539,-20.561032968436614,-56.169503485158415
235,12.50752304826688,-30.20722163316964,-53.79750161680434,4.46642364324814,-20.554340562010918,-56.14466057697156
236,12.42593429030141,-29.88794985916357,-54.02798241084474,4.41847110894034,-20.549180502233064,-56.113911594934294
237,12.34406879273251,-29.56577479226315,-54.26090963495572,4.367906435023198,-20.54547865828032,-56.07771709531919
238,12.26207147770588,-29.24111212428672,-54.49601964788508,4.315185245089019,-20.543129183388274,-56.03658334554703
239,12.18008683732251,-28.91437220345416,-54.73305408125648,4.260767955065449,-20.541992207637122,-55.99105991758267
240,12.09825854171213,-28.58595987112659,-54.97175959588391,4.205114725842746,-20.541891584693538,-55.94173712938868
241,12.01672904281066,-28.25627431226802,-55.21188761974665,4.148680420366777,-20.542612807468,-55.88924330483472
242,11.93563917447449,-27.92570891083598,-55.45319407707076,4.091909658275701,-20.543901219499922,-55.83424181738992
243,11.85512774961927,-27.59465110314662,-55.69543911617923,4.035232065771136,-20.54546065765266,-55.77742787884112
244,11.77533115513878,-27.26348222385111,-55.93838684224934,3.979057820430909,-20.54695266650836,-55.71952503155801
245,11.69638294544045,-26.93257734053243,-56.18180505982512,3.923773589679234,-20.54799642487117,-55.661281301897795
246,11.6184134355305,-26.60230507411231,-56.42546502884936,3.869738957354123,-20.54816951928048,-55.60346497364863
247,11.54154929469322,-26.27302740327385,-56.66914123707379,3.8172834251238177,-20.547009687839026,-55.54685994440596
248,11.46591314193484,-25.94509945198359,-56.91261119095633,3.7667040644736813,-20.544017639628155,-55.49226063486004
249,11.391623144505,-25.61886925995749,-57.1556552265338,3.7182638808716115,-20.53866103045534,-55.44046643147544
250,11.31879262096399,-25.29467753658022,-57.39805634125128,3.6721909349732944,-20.530379644919215,-55.392275657143685
251,11.24752965043387,-24.97285739937193,-57.63960004731248,3.6286782469644847,-20.518591798418864,-55.34847908207486
252,11.17793668985079,-24.65373409861454,-57.88007424677811,3.587884490084594,-20.502701931776116,-55.309853008189194
253,11.11011020122587,-24.33762473021298,-58.11926912836574,3.5499354588388408,-20.482109326968757,-55.27715198399448
254,11.0441402911149,-24.02483793928143,-58.35697708568262,3.514926277184637,-20.456217826809155,-55.25110123246888
255,10.98011036469355,-23.71567361731719,-58.59299265644687,3.482924292821561,-20.424446396260393,-55.23238890054494
256,10.91809679702604,-23.41042259615904,-58.82711248211017,3.45397258625888,-20.386240320668108,-55.22165826384037
257,10.85816862429838,-23.10936634222123,-59.05913528718241,3.428094008062868,-20.34108279878235,-55.21950004250287
258,10.80038725795483,-22.81277665475214,-59.28886187747025,3.405295644905431,-20.2885066582524,-55.22644500153451
259,10.74480622482226,-22.52091537208032,-59.51609515637193,3.3855736048656304,-20.22810590024988,-55.242957019907145
260,10.69147093642387,-22.23403408998193,-59.74064015831731,3.368918004828759,-20.159546769521253,-55.26942681561057
261,10.64041849076362,-21.95237389642455,-59.96230409840075,3.355318037586819,-20.0825780473997,-55.30616650739
262,10.59167750990048,-21.67616512700863,-60.18089643722492,3.3447669930763726,-19.997040278288193,-55.35340517785791
263,10.54526801661633,-21.40562714543575,-60.39622895995149,3.337267106744285,-19.902873664223495,-55.41128557719985
264,10.50120135341116,-21.14096815327507,-60.60811586854085,3.332834107962049,-19.80012439591964,-55.479862072908986
265,10.45948014692312,-20.88238503317318,-60.81637388615403,3.3315013424293993,-19.68894923006069,-55.55909991070241
266,10.4200983206708,-20.63006322945341,-61.02082237268732,3.3333233444334924,-19.569618168972973,-55.64887580740508
