point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
206,14.16987510610083,-36.32984261598762,-49.45163451996704,3.664083189829639,-11.979273917282699,-63.167721559028315
207,14.14895048622023,-36.26400491247242,-49.49561464082225,3.698133161953498,-11.99921800649761,-63.176864386108484
208,14.12483588366223,-36.18673099800883,-49.5476622724719,3.7299687185690056,-12.019924778218284,-63.18295675596879
209,14.09755742542056,-36.09781973389059,-49.60799691033414,3.759594807317531,-12.041420826907482,-63.185979219875236
210,14.06714778879544,-35.99713053120934,-49.67678463214961,3.7870185152320595,-12.06373296262746,-63.18591431741308
211,14.0336461821344,-35.88458422214581,-49.75413720830016,3.812249083403393,-12.086888172491753,-63.18274662777528
212,13.9970983044618,-35.76016264923507,-49.84011247235848,3.8352979192050425,-12.110913580085,-63.17646282061726
213,13.95755628448071,-35.62390705916315,-49.93471586579816,3.8561786059371332,-12.135836402709826,-63.16705170647861
214,13.91507859946579,-35.4759154414738,-50.03790301700955,3.8749069097476094,-12.161683906319709,-63.15450428677465
215,13.86972997460036,-35.31633899229745,-50.14958317506736,3.8915007836905873,-12.188483357995642,-63.13881380335831
216,13.82158126333598,-35.14537790677878,-50.26962329515758,3.9059803687808374,-12.216261975826283,-63.11997578765474
217,13.77070930937633,-34.96327671124015,-50.39785256523565,3.9183679919057997,-12.245046876052674,-63.09798810936918
218,13.71719679090408,-34.77031933896301,-50.53406717065911,3.928688160457877,-12.274865017341568,-63.07285102476837
219,13.66113204768338,-34.5668241347311,-50.67803511229219,3.9369675535536905,-12.30574314205497,-63.04456722453467
220,13.60260889168033,-34.35313894650721,-50.82950092036076,3.9432350097099964,-12.33770771438997,-63.013141881191395
221,13.54172640184807,-34.12963643142906,-50.98819013752947,3.9475215108528396,-12.370784855269013,-62.978582696095344
222,13.4785887037279,-33.89670967095073,-51.15381347703432,3.949860162541318,-12.405000273868634,-62.940899945991916
223,13.4133047345138,-33.65476815902323,-51.32607059263663,3.9502861702966507,-12.440379195686427,-62.90010652912444
224,13.34598799422628,-33.40423419952042,-51.50465342484851,3.948836811935666,-12.47694628705567,-62.85621801088895
225,13.27675628363361,-33.14553972575954,-51.68924911123057,3.9455514058188914,-12.51472557603271,-62.809252669020246
226,13.20573142954978,-32.87912353636742,-51.87954246715314,3.9404712749357684,-12.553740369596296,-62.75923153829399
227,13.13303899812746,-32.60542892783703,-52.07521805730664,3.93363970676361,-12.594013167117163,-62.706178454724395
228,13.05880799675234,-32.32490169450433,-52.27596188785252,3.925101908852146,-12.63556557007534,-62.650120099232936
229,12.98317056513066,-32.03798846074228,-52.48146275502219,3.914904960103668,-12.678418188024752,-62.59108604075914
230,12.90626165614798,-31.74513530724041,-52.69141328889015,3.9030977577365347,-12.722590540829769,-62.52910877877915
231,12.82821870706277,-31.44678665262891,-52.90551073163908,3.889730959942047,-12.768100957224762,-62.46422378519075
232,12.74918130158418,-31.14338435279469,-53.12345748853647,3.874856924265773,-12.81496646977621,-62.39646954551793
233,12.66929082337093,-30.83536698248363,-53.34496148758021,3.858529641768733,-12.863202706359441,-62.32588759938041
234,12.58869010147765,-30.52316926675134,-53.56973638079456,3.840804667049594,-12.912823778294088,-62.252522580164765
235,12.50752304826688,-30.20722163316964,-53.79750161680434,3.8217390442347785,-12.963842165319136,-62.176422253825905
236,12.42593429030141,-29.88794985916357,-54.02798241084474,3.8013912290718954,-13.016268597625505,-62.09763755673632
237,12.34406879273251,-29.56577479226315,-54.26090963495572,3.7798210072901437,-13.070111935203432,-62.01622263249151
238,12.26207147770588,-29.24111212428672,-54.49601964788508,3.757089409420677,-13.125379044803058,-61.93223486756686
239,12.18008683732251,-28.91437220345416,-54.73305408125648,3.7332586222999766,-13.182074674849607,-61.84573492570863
240,12.09825854171213,-28.58595987112659,-54.97175959588391,3.7083918975082097,-13.240201328697042,-61.7567867809293
241,12.01672904281066,-28.25627431226802,-55.21188761974665,3.682553457025248,-13.299759136649941,-61.66545774895975
242,11.93563917447449,-27.92570891083598,-55.45319407707076,3.655808396414738,-13.360745727227249,-61.571818516997396
243,11.85512774961927,-27.59465110314662,-55.69543911617923,3.628222585874897,-13.42315609818744,-61.475943171570606
244,11.77533115513878,-27.26348222385111,-55.93838684224934,3.5998625695214206,-13.486982487879446,-61.377909224320106
245,11.69638294544045,-26.93257734053243,-56.18180505982512,3.57079546329136,-13.55221424752818,-61.27779763548044
246,11.6184134355305,-26.60230507411231,-56.42546502884936,3.541088851880176,-13.618837715107256,-61.17569283482124
247,11.54154929469322,-26.27302740327385,-56.66914123707379,3.5108106851428924,-13.686836091493255,-61.07168273978502
