point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_kspace_sparse,E_tb_2_kspace_sparse,E_tb_3_kspace_sparse
146,11.16268103888705,-32.279379262852,-50.77654300306618,-0.5106377715807621,-11.971212773842163,-59.13090539836443,10.569775007600812,-31.175658183206377,-51.46148373530826
147,11.25765692766164,-32.40136929962325,-50.72986651090578,-0.5352411015431844,-11.845747317093629,-59.23224524080345,10.964387881539006,-31.29344568406848,-51.65824960956549
148,11.35115887734487,-32.52106586899354,-50.68491929618122,-0.5558323104999373,-11.72712653104871,-59.3306544058718,11.309057266844116,-31.38219297073867,-51.83357135854272
149,11.44324828450197,-32.63846976202323,-50.64174331719647,-0.5719936231576591,-11.615741176029033,-59.426128145620254,11.55361003266679,-31.419921356409503,-51.979220821549035
150,11.53398272275912,-32.75359526973187,-50.60036279610351,-0.5833143776698326,-11.511973368492484,-59.51866485091885,11.657712035527709,-31.38501216076723,-52.09050033279163
151,11.62341567195651,-32.86646981369691,-50.56078434065977,-0.5990074876330285,-11.614590891751266,-59.40018354618511,11.80576350556987,-31.664208716868927,-52.00886358613016
152,11.71159626210732,-32.97713343527905,-50.52299722234108,-0.6118268818751448,-11.726620005431188,-59.27480253473475,11.83589197963394,-31.911100637690264,-51.887325695265744
153,11.79856903401812,-33.08563814454213,-50.48697381157356,-0.6217376500622648,-11.847424974748362,-59.143165583379655,11.808124313873796,-32.129705235224,-51.736181582142216
154,11.88437371839075,-33.19204713224413,-50.45267016850472,-0.6287175551236859,-11.976337110773832,-59.00594192246322,11.792620859687625,-32.31987992944571,-51.57100563875131
155,11.96904503517055,-33.29643385052874,-50.42002678542518,-0.6327576807412977,-12.112658649529838,-58.863821720241305,11.840498760933855,-32.47499007830733,-51.409299093867645
156,12.05261251482824,-33.39888097006407,-50.38896947475762,-0.6338628338195698,-12.255667234649664,-58.717511175677345,11.966039532925327,-32.58418795600198,-51.265935829750795
157,12.13510034316645,-33.49947922328726,-50.35941039452219,-0.6320517168824931,-12.404620965733383,-58.567727252812205,12.14592431165451,-32.637774741367856,-51.149341185525884
158,12.21652723112338,-33.59832614505272,-50.33124920142848,-0.6273568933304011,-12.5587639583683,-58.415192088137715,12.332603284972825,-32.632132272496214,-51.06056349241715
159,12.29690631090865,-33.69552472329801,-50.30437432029122,-0.6198245736090037,-12.717332347578383,-58.26062711157856,12.47394348855017,-32.571843708385146,-50.99580935372104
160,12.37624505965045,-33.79118197329486,-50.2786643173594,-0.609514252702078,-12.879560654253105,-58.10474693162666,12.531054975905068,-32.46932879748466,-50.95060844587344
161,12.4545452515583,-33.88540744962207,-50.25398936440011,-0.5964982292695219,-13.044688423787326,-57.94825304566919,12.489182285079295,-32.343699883536026,-50.92288219372176
162,12.53180293941733,-33.97831171017783,-50.23021278001533,-0.5808610346501981,-13.211967037599438,-57.79182744729681,12.360379602611857,-32.219681561723576,-50.91353758961431
163,12.60800846602671,-34.07000474635051,-50.20719263465836,-0.562698796333121,-13.380666591271229,-57.63612621300297,12.179446267738996,-32.125844872511784,-50.925191738563015
164,12.68314650598065,-34.16059439291899,-50.18478340615764,-0.5421185558610887,-13.55008272773332,-57.48177316071539,11.995596776928545,-32.09082408327646,-50.96050171534446
165,12.75719613796855,-34.25018473039281,-50.1628376731889,-0.5192375559273991,-13.719543310282305,-57.329353681520146,11.862050346392838,-32.137061539850286,-51.02104389466518
166,12.83013094754238,-34.33887449138212,-50.14120783503252,-0.494182506037899,-13.888414818442383,-57.17940885316622,11.825071388115639,-32.27334260123127,-51.106594280286785
167,12.90191916006904,-34.42675548126685,-50.11974784704132,-0.4670888308504535,-14.056108350057366,-57.032429948892755,11.913649634545736,-32.48896456590631,-51.21396250791052
168,12.97252380335543,-34.51391102197636,-50.09831496247311,-0.43809990040008334,-14.222085115846173,-56.888853457238525,12.13116885965369,-32.75286283397094,-51.3348038287899
169,13.04190289920692,-34.60041442616692,-50.07677147264,-0.40736623703723235,-14.38586131830402,-56.74905672728036,12.450869907109759,-33.019633852391536,-51.45317354142739
170,13.11000968296059,-34.68632750755954,-50.05498643863151,-0.37504469015792896,-14.547012315552157,-56.61335434882897,12.817172577724504,-33.241239790542764,-51.545286135568794
171,13.17679284982306,-34.77169913174657,-50.03283740911131,-0.3412975667555803,-14.705175982671648,-56.481995368271996,13.154365354182422,-33.38001509297674,-51.58419181917056
172,13.24219682664526,-34.85656381045684,-50.01021211980976,-0.3062917035182467,-14.860055198179976,-56.355161427979425,13.38246370668514,-33.41804773676068,-51.549305547305416
173,13.30616206758158,-34.94094034115126,-49.98701017126725,-0.27019746465240063,-15.011419401388538,-56.23296590068637,13.437524299421767,-33.36062276268663,-51.436332369175105
174,13.36862537191455,-35.02483049296426,-49.96314468207356,-0.23318764884956178,-15.159105186959469,-56.11545407048335,13.29137532608641,-33.23445668104882,-51.26147149615518
175,13.42952022217681,-35.10821773947349,-49.93854391523344,-0.19543628883014608,-15.303015925392708,-56.002604389639515,12.964709087739475,-33.0822762297949,-51.0572468412768
176,13.48877714057409,-35.19106603862629,-49.91315287531405,-0.1571173277035884,-15.443120421566409,-55.894330816306315,12.528479409292883,-32.95452517779349,-50.862950694100746
177,13.54632406160574,-35.27331866043727,-49.88693487363768,-0.11840315797076795,-15.57945064683997,-55.790486213191656,12.091492926155516,-32.898813748642155,-50.715433982530904
178,13.60208671869282,-35.35489706384979,-49.85987305791829,-0.07946301135547358,-15.712098602567737,-55.69086676260207,11.776071284511378,-32.94866165678436,-50.644014913322536
179,13.6559890425619,-35.43569982548816,-49.83197190134617,-0.04046119076612701,-15.841212393131263,-55.59521732987954,11.687161786062859,-33.113915156189286,-50.6689375135666
180,13.70795356909001,-35.51560162496089,-49.80325864414744,-0.0015551395235506086,-15.966991603850063,-55.50323768616924,11.881993716076359,-33.37536619556801,-50.799402336658275
181,13.75790185429815,-35.59445229397099,-49.77378467803351,0.03710665250225051,-16.089682092609642,-55.41458948346032,12.347440866387432,-33.68614402624901,-51.02690247695002
182,13.80575489418121,-35.67207593977666,-49.74362686066834,0.07538690109343134,-16.209570313211817,-55.32890386054977,12.99194840085199,-33.98176063606583,-51.313927582525714
183,13.8514335470842,-35.74827015756004,-49.71288874329076,0.11316192784301875,-16.326977293027504,-55.24578954835766,13.658252725997704,-34.19696152211084,-51.586558759279114
184,13.89485895637512,-35.82280535099732,-49.68170168993199,0.15032419185399887,-16.44225238750643,-55.16484133698407,14.159876479826789,-34.28211308929005,-51.74536794068008
185,13.93595297122212,-35.89542418575198,-49.65022586130133,0.18678493024032305,-16.555766929729124,-55.085648764915064,14.33693081855037,-34.21212759289627,-51.701999824292685
186,13.9746385633548,-35.96584120663618,-49.61865103045977,0.2224768782280009,-16.66790788495334,-55.00780489251842,14.117129210920004,-33.989445803162546,-51.428945071672494
187,14.01084023777854,-36.03374265564879,-49.58719719102844,0.25735703320381215,-16.77907160868234,-54.93091502690085,13.560493184915298,-33.64994027662013,-50.99277233096811
188,14.04448443550683,-36.0987865347374,-49.55611491213726,0.29140942078445176,-16.889657792955617,-54.854605272705825,12.865390152855486,-33.27571829410134,-50.54335327068417
189,14.07549992648788,-36.16060296357239,-49.52568538798902,0.32464781505354995,-17.000063670198465,-54.77853079281469,12.322770138965629,-32.999544470472905,-50.259664180206464
190,14.10381819101704,-36.21879488834595,-49.4962201243065,0.35711835970628564,-17.110678527938894,-54.702383673482075,12.224105021890896,-32.9698087303234,-50.288012195876014
191,14.12937378805142,-36.27293920195248,-49.46806019971119,0.38890203212819546,-17.221878571839817,-54.62590029951885,12.745904869079492,-33.26832108878366,-50.70419264728728
192,14.15210470897037,-36.32258833804529,-49.44157503807228,0.420116888581188,-17.334022159562743,-54.54886815615258,13.83958422409525,-33.8316015392695,-51.48034007806703
193,14.17195271545623,-36.36727240045406,-49.41716062900608,0.450920025842662,-17.447445414620404,-54.47113198465594,15.166196851601557,-34.45116607925167,-52.42400884055206
194,14.18886366030317,-36.40650188426328,-49.3952371390247,0.48150919299841916,-17.562458218119335,-54.39259922837438,16.1382451125085,-34.861451749257334,-53.14544971435192
195,14.2027877900925,-36.43977103448736,-49.37624586632806,0.5121239867785109,-17.67934056752704,-54.31324471416145,16.108895305238356,-34.821614579279995,-53.18597139889149
196,14.21368002880584,-36.46656187188893,-49.36064550875664,0.5430465649846757,-17.79833928558264,-54.233114521328616,14.656994839911745,-34.12268248367517,-52.317972258058845
197,14.22150024157357,-36.48634889254878,-49.348907737487,0.5746018153180168,-17.91966505932846,-54.15232899603542,11.828175475265423,-32.594878762332826,-50.791959811266686
198,14.22621347788311,-36.49860441833076,-49.34151209864534,0.6071569213835251,-18.043489788972174,-54.07108487369796,8.181821082497912,-30.26979578454219,-49.21637900998728
199,14.22779019369044,-36.50280454014818,-49.33894030036957,0.6411202739120011,-18.169944228779478,-53.989656475682175,4.5715177625370815,-27.615870787070183,-48.07714426240279
200,14.22779019369044,-36.50280454014818,-49.33894030036957,0.6769396833542319,-18.299115907201465,-53.90839594957022,1.7243237735921522,-25.35277003082852,-47.464862737186074
201,14.22619039876601,-36.49839089108794,-49.34169802211166,0.715099859980487,-18.431047320618568,-53.82773252500038,-0.1351797994668716,-23.88395334994759,-47.23269653584345
202,14.22137973442918,-36.48481717552979,-49.35028492778327,0.7561191394223425,-18.565734403968413,-53.74817075991052,-1.2656680637853586,-23.096841396250618,-47.20186688308012
203,14.21334585230362,-36.46160369598757,-49.36515716217517,0.8005454451224381,-18.70312529155331,-53.670287755422514,-1.9883779022068813,-22.71386272083915,-47.244488755951075
204,14.20208260570028,-36.42830237869182,-49.38674601016404,0.8489514942350049,-18.843119391824118,-53.59472932209415,-2.251869018706105,-22.73412871995455,-47.31037407363277
205,14.18759016432582,-36.38450362103874,-49.41545116898382,0.9019292698916639,-18.985566810148278,-53.52220508633216,-1.4862471697916817,-23.590746980965612,-47.452730399923304
206,14.16987510610083,-36.32984261598762,-49.45163451996704,0.9600838000716204,-19.130268162656943,-53.453482533908726,0.8219870512171776,-25.603216751418536,-47.82587824284967
207,14.14895048622023,-36.26400491247242,-49.49561464082225,1.0240263011711128,-19.276974831352536,-53.38937999820415,4.344730381733033,-28.27644937474584,-48.6054652914795
208,14.12483588366223,-36.18673099800883,-49.5476622724719,1.094366762255164,-19.425389714866395,-53.33075861439011,8.16745166450274,-30.72235844006793,-49.80830269992862
