case,phi,phi_frac_pi,voltage,observable,abs_glr,gll_proxy,grr_proxy,glr_proxy
positive_control,0.8482300164692442,0.27,-0.18,4.3015355846138126e-05,8.608045810915184e-05,1.928144486802885,2.063841364315951,8.608045810915184e-05
positive_control,0.8482300164692442,0.27,-0.17,0.0016639189290354338,0.0033369050693112,1.7685909462022882,2.0498949455740263,0.0033369050693112
positive_control,0.8482300164692442,0.27,-0.16,0.0001369774043852888,0.0002741676110378,1.9072351516744968,2.0636575396153125,0.0002741676110378
positive_control,0.8482300164692442,0.27,-0.15,0.0002021187138981455,0.0004046150192655,1.8906724131376769,2.061369159626782,0.0004046150192655
positive_control,0.8482300164692442,0.27,-0.14,1.21684966876417e-06,2.4352680917064477e-06,1.9292212362130456,2.072847425989316,2.4352680917064477e-06
positive_control,0.8482300164692442,0.27,-0.13,8.222401074824282e-07,1.6454314704785975e-06,1.9420295577087945,2.078729705858282,-1.6454314704785975e-06
positive_control,0.8482300164692442,0.27,-0.12,1.0751063992334284e-06,2.151377544236253e-06,1.9508421405054852,2.0835799975554026,-2.151377544236253e-06
positive_control,0.8482300164692442,0.27,-0.11,1.1906958372797817e-06,2.3826214637052272e-06,1.95783399675123,2.087801106818485,-2.3826214637052272e-06
positive_control,0.8482300164692442,0.27,-0.1,1.309256997393321e-06,2.61981295047741e-06,1.9636983748948849,2.091378189319333,-2.61981295047741e-06
positive_control,0.8482300164692442,0.27,-0.09,1.45799631390946e-06,2.9173822765968125e-06,1.9687258673568448,2.094111735830161,-2.9173822765968125e-06
positive_control,0.8482300164692442,0.27,-0.08,1.647729556159286e-06,3.2969565502479165e-06,1.973019191424436,2.095631447102769,-3.2969565502479165e-06
positive_control,0.8482300164692442,0.27,-0.07,1.8840978588416716e-06,3.7698010270750314e-06,1.9765446886832727,2.095363976650307,-3.7698010270750314e-06
positive_control,0.8482300164692442,0.27,-0.06,2.1650651416163616e-06,4.331809671550727e-06,1.9791269794979025,2.092492494280826,-4.331809671550727e-06
positive_control,0.8482300164692442,0.27,-0.05,2.4708715425237398e-06,4.943408139267839e-06,1.9804161357938628,2.085948508144428,-4.943408139267839e-06
positive_control,0.8482300164692442,0.27,-0.04,2.7457387963307515e-06,5.492974718002516e-06,1.979858357898809,2.074511279825138,-5.492974718002516e-06
positive_control,0.8482300164692442,0.27,-0.03,2.8764078546765015e-06,5.753958101179413e-06,1.9767504525017967,2.057129075176137,-5.753958101179413e-06
positive_control,0.8482300164692442,0.27,-0.02,2.6948634532299158e-06,5.390394138263868e-06,1.9705430685188088,2.0335419673687376,-5.390394138263868e-06
positive_control,0.8482300164692442,0.27,-0.01,2.059834978074169e-06,4.119917990221459e-06,1.961518671696977,2.005043200715872,-4.119917990221459e-06
positive_control,0.8482300164692442,0.27,0.0,1.0201492345382402e-06,2.040334556580553e-06,1.951436882736122,1.974788449546233,-2.040334556580553e-06
positive_control,0.8482300164692442,0.27,0.0099999999999999,1.2035002501621663e-07,2.407001742518713e-07,1.9430410428995597,1.9469931147000092,2.407001742518713e-07
positive_control,0.8482300164692442,0.27,0.0199999999999999,1.0093411939723778e-06,2.018693947219876e-06,1.938315856423857,1.9252411558627855,2.018693947219876e-06
positive_control,0.8482300164692442,0.27,0.03,1.4989132976713456e-06,2.997896391522731e-06,1.9374232036069472,1.9111616117760124,2.997896391522731e-06
positive_control,0.8482300164692442,0.27,0.0399999999999999,1.6532559459738495e-06,3.306648409488979e-06,1.93930420236396,1.904377454885039,3.306648409488979e-06
positive_control,0.8482300164692442,0.27,0.0499999999999999,1.6082629904105983e-06,3.2166944711927407e-06,1.942729119006524,1.9033639844386576,3.2166944711927407e-06
positive_control,0.8482300164692442,0.27,0.06,1.4752787347504935e-06,2.950720090506561e-06,1.9468068255069408,1.9063538522992207,2.950720090506561e-06
positive_control,0.8482300164692442,0.27,0.07,1.3200929986656466e-06,2.640321768285185e-06,1.9510234179600876,1.9118496936450864,2.640321768285185e-06
positive_control,0.8482300164692442,0.27,0.08,1.1744861939338417e-06,2.349075813611933e-06,1.9551275016539025,1.9187757952377644,2.349075813611933e-06
positive_control,0.8482300164692442,0.27,0.0899999999999999,1.0513811930818506e-06,2.1028362929736063e-06,1.9590205754010088,1.926444877516004,2.1028362929736063e-06
positive_control,0.8482300164692442,0.27,0.0999999999999999,9.556440867629898e-07,1.911338263495464e-06,1.9626872323451712,1.934473078648828,1.911338263495464e-06
positive_control,0.8482300164692442,0.27,0.1099999999999999,8.915748289079533e-07,1.7831817460532265e-06,1.9661597375421576,1.942709926030185,1.7831817460532265e-06
