method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
phase_only_stack,natural_object_eval_object_06,25.297320107535942,27.44533767997678,24.243048481737674,-1.0542716257982683,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_07,20.820290889204514,22.74187348673245,20.85177278737696,0.03148189817244429,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,22.953347925725645,25.587807455905786,22.849774198656156,-0.10357372706948809,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,24.19164094993334,26.5075663197983,23.255385886973098,-0.9362550629602424,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,25.160801960568733,27.430938323395225,24.725644490473357,-0.4351574700953762,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_11,19.81548289244387,21.42879620259208,21.89767317121991,2.0821902787760393,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_00,26.761397083260086,28.203795996094097,24.248748176563296,-2.512648906696789,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_01,29.280019767186864,29.88855062261497,26.799605285964706,-2.4804144812221587,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_02,23.729149713734806,25.041307899826077,21.314854485186196,-2.4142952285486103,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_03,25.281016212952807,26.383786520111812,22.714830405309215,-2.566185807643592,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_04,26.228848875267026,27.30693974945074,24.144556544270515,-2.0842923309965116,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_05,24.11596052223843,25.65806263156493,22.213645719805314,-1.9023148024331178,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_06,25.70490625102257,27.008338821399818,23.648099284810932,-2.0568069662116386,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_07,21.605922750868988,23.16890919384299,20.309576953530758,-1.2963457973382297,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_08,24.574931648663846,25.27960817232838,23.162292710828872,-1.4126389378349735,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
