epsilon,route,eta,n_bar,ratio_to_lb
0.02217746740832167,homodyne,0.99,1.0209593262249643,1.6704100858931386
0.02217746740832167,on-off,0.99,0.786750329947911,1.2872164957677925
0.02217746740832167,homodyne,0.7,1.4439281899467353,2.3624371214774387
0.02217746740832167,on-off,0.7,1.1126897523549029,1.8204919011573069
0.02217746740832167,homodyne,0.5,2.0214994659254293,3.307411970068414
0.02217746740832167,on-off,0.5,1.5577656532968638,2.548688661620229
0.02250097089301335,lower-bound,,0.607665109786573,1.0
0.02250097089301335,homodyne,0.99,1.014789580864909,1.6699816469985058
0.02250097089301335,on-off,0.99,0.7830933432682305,1.2886922922780153
0.02250097089301335,homodyne,0.7,1.4352024072232288,2.361831186469316
0.02250097089301335,on-off,0.7,1.1075177283364976,1.8225790990789077
0.02250097089301335,homodyne,0.5,2.00928337011252,3.306563661057042
0.02250097089301335,on-off,0.5,1.5505248196710966,2.5516107387104703
