ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
const,const,cyc,cyc,False,10.425174771459263,4.680000000000007,4.687913177568985,16.15256960233417,15.168374882157178,6.246781642754278
const,const,cyc,cyc,True,10.425174771459263,4.680000000000007,4.687913177568985,16.15256960233417,15.168374882157178,6.246781642754278
anti,anti,anti,const,False,10.425826260890005,5.849999999999998,5.739733240504979,11.64331442395913,15.475349659842333,6.1817045803581205
anti,anti,anti,const,True,10.425826260890005,5.849999999999998,5.739733240504979,11.64331442395913,15.475349659842333,6.1817045803581205
const,anti,const,anti,False,10.42613607667588,4.440000000000005,4.367822769601819,14.307803736617764,14.785976215286862,7.672356736313531
const,anti,const,anti,True,10.42613607667588,4.440000000000005,4.367822769601819,14.307803736617764,14.785976215286862,7.672356736313531
anti,cyc,anti,anti,False,10.436402191228856,8.189999999999998,8.095352595027752,10.789820352822277,15.491219706873883,6.093728475815913
anti,cyc,anti,anti,True,10.436402191228856,8.189999999999998,8.095352595027752,10.789820352822277,15.491219706873883,6.093728475815913
anti,cyc,anti,const,False,10.46339923086492,5.849999999999998,5.807370347250227,10.789820355244073,16.14313048121807,6.181704450741756
anti,cyc,anti,const,True,10.46339923086492,5.849999999999998,5.807370347250227,10.789820355244073,16.14313048121807,6.181704450741756
anti,anti,const,cyc,False,10.471399374829922,5.849999999999998,5.739734749325592,11.643313916020784,15.475349670721155,6.216453299519766
anti,anti,const,cyc,True,10.471399374829922,5.849999999999998,5.739734749325592,11.643313916020784,15.475349670721155,6.216453299519766
anti,cyc,cyc,cyc,False,10.472621711770529,8.189999999999998,8.095354963226939,10.789819911554506,15.912221135160033,6.093728472841249
anti,cyc,cyc,cyc,True,10.472621711770529,8.189999999999998,8.095354963226939,10.789819911554506,15.912221135160033,6.093728472841249
const,anti,const,const,False,10.484304699731737,2.1000000000000085,2.078913538131225,14.307803719148335,15.475343756049567,7.119167530318614
const,anti,const,const,True,10.484304699731737,2.1000000000000085,2.078913538131225,14.307803719148335,15.475343756049567,7.119167530318614
anti,anti,anti,cyc,False,10.496140372793096,8.189999999999998,8.121885203692745,11.341824069029725,15.475349676083454,6.093728469968545
anti,anti,anti,cyc,True,10.496140372793096,8.189999999999998,8.121885203692745,11.341824069029725,15.475349676083454,6.093728469968545
