point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_corrected,E_tb_2_corrected,E_tb_3_corrected
81,-1.083253106339191,-25.51463125255074,-48.87257038431645,1.5886929984700262,-25.965096195750508,-49.09661254726659,-0.9564441166585027,-25.614028445338246,-48.89998218088135
82,-0.7939206866189217,-25.51000152768911,-49.08168503812585,1.6027031615515945,-25.732589159355182,-49.260447229001926,-0.7939206866189057,-25.51000152768912,-49.08168503812585
83,-0.5066687968955925,-25.50999789786786,-49.28459008557431,1.6118187196546587,-25.49780991721198,-49.423625982031055,-0.506668796889203,-25.50999789787287,-49.28459008557569
84,-0.221613666390418,-25.51467154105131,-49.48115183704157,1.61632002626013,-25.260902813758705,-49.586308966467485,-0.22161366639042868,-25.514671541051307,-49.48115183704155
85,0.06113168929341484,-25.52406529205513,-49.67124746813847,1.6164872928603469,-25.02201921230843,-49.748646223533605,0.06113168929340773,-25.52406529205513,-49.671247468138475
86,0.3414576248175685,-25.53821374034383,-49.85476505868151,1.6125995678318252,-24.781316944957485,-49.91077721269879,0.34145762487466236,-25.538213740389647,-49.854765058692806
87,0.6192580148664852,-25.55714331975209,-50.03160363354879,1.6049337099737404,-24.538959684198716,-50.07283042623115,0.6192580148743332,-25.557143319759764,-50.03160363354894
88,0.8944303969082288,-25.58087239137102,-50.20167320408271,1.593763361035546,-24.295116241667294,-50.23492308001135,0.8944303969082348,-25.580872391371017,-50.201673204082724
89,1.166876106862753,-25.60941132076996,-50.3648948087875,1.5793579219606853,-24.049959800345462,-50.3971608789541,1.1668761068627527,-25.609411320769954,-50.3648948087875
90,1.436500407594815,-25.64276255066269,-50.52120055214154,1.5619815379871556,-23.803667087419683,-50.55963785492216,1.4365004075948176,-25.642762550662695,-50.52120055214154
91,1.703212610157086,-25.68092067007249,-50.67053364041007,1.54189209816741,-23.55641749580658,-50.722436274610686,1.7032126101570881,-25.680920670072474,-50.670533640410085
92,1.966926187717595,-25.72387248100345,-50.81284841339416,1.519340255289075,-23.308392163133924,-50.8856266145208,1.9669261877175952,-25.723872481003465,-50.81284841339414
