point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
259,10.74480622482226,-22.52091537208032,-59.51609515637193,2.2554227085000704,-20.028298775007595,-54.31261324878388
260,10.69147093642387,-22.23403408998193,-59.74064015831731,2.010710142749573,-19.923372055119945,-54.14739366793269
261,10.64041849076362,-21.95237389642455,-59.96230409840075,1.7775756000803766,-19.81432999369085,-53.99667212359242
262,10.59167750990048,-21.67616512700863,-60.18089643722492,1.5564145378563363,-19.70146776541439,-53.86062523551168
263,10.54526801661633,-21.40562714543575,-60.39622895995149,1.347535670103484,-19.58514573813465,-53.73928206664789
264,10.50120135341116,-21.14096815327507,-60.60811586854085,1.151163928158958,-19.465789302882524,-53.632526986143
265,10.45948014692312,-20.88238503317318,-60.81637388615403,0.9674443824894751,-19.343887087172224,-53.540105093650965
266,10.4200983206708,-20.63006322945341,-61.02082237268732,0.7964469696951095,-19.219987515849628,-53.461630085790006
267,10.38304115874041,-20.3841766697769,-61.22128345041092,0.6381718478237095,-19.094693744857288,-53.396594363591234
268,10.34828542269778,-20.14488773118773,-61.41758213868695,0.49255518992011577,-18.968657051087195,-53.344381108866045
269,10.31579952358739,-19.91234725344048,-61.60954649675175,0.35947522076875044,-18.842568812543906,-53.30427800145141
270,10.28554375039811,-19.68669460201284,-61.79700777355649,0.23875830517233862,-18.717151254844172,-53.27549221092154
271,10.257470555826,-19.46805778264515,-61.97980056367427,0.13018490753982725,-18.593147171350896,-53.25716627655541
272,10.23152489956164,-19.25655360862705,-62.15776296829864,0.03349526136182892,-18.471308844874923,-53.24839448756046
273,10.20764464867861,-19.05228792138494,-62.33073676037365,-0.051605387657925744,-18.352386409796726,-53.248239389855264
274,10.18576103401345,-18.85535586421561,-62.49856755291881,-0.12544207073548067,-18.2371158962875,-53.25574807322636
275,10.16579916071906,-18.66584220828224,-62.66110496963026,-0.18836598937797874,-18.126207195028652,-53.26996792992492
276,10.14767857045655,-18.48382172924721,-62.81820281686594,-0.24075104905719016,-18.020332173400803,-53.28996161912144
277,10.13131385197968,-18.3093596321818,-62.96971925614487,-0.28299103317496893,-17.92011316419769,-53.31482101763973
278,10.11661529617762,-18.14251202167565,-63.11551697631774,-0.3154973829408526,-17.826112036657733,-53.34367998302737
279,10.10348959098846,-17.98332641338977,-63.25546336459398,-0.3386975179639724,-17.738820047552984,-53.375725797891775
280,10.09184055099469,-17.83184228266535,-63.38943067563736,-0.3530336068078644,-17.658648657241162,-53.41020920281066
281,10.08156987597202,-17.68809164523029,-63.51729619797414,-0.3589616779159012,-17.58592148157366,-53.44645295797029
282,10.07257793219819,-17.55209966455103,-63.6389424169864,-0.3569509502240068,-17.520867534752703,-53.48385890055377
283,10.06476454994664,-17.42388527996118,-63.75425717379581,-0.3474832599483585,-17.46361590006165,-53.521913485881825
284,10.05802983029642,-17.30346184937378,-63.86313381937568,-0.33105246535580657,-17.41419194446677,-53.560191815880486
285,10.05227495419084,-17.19083780015085,-63.96547136326123,-0.30816372404420717,-17.37251516937816,-53.59836016940986
286,10.04740298657261,-17.08601728156449,-64.06117461626255,-0.2793325560341297,-17.338398763712064,-53.636177056319895
