case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
impurity_candidate,0.5969026041820606,0.18999999999999997,0.01999999999999999,7.748229263049951e-07,1.1851915819011805e-06,-4.1036865559618544e-07,2.0821760021424494,2.0706920583602426,0.11671350767591887,0.11654308114742556,0.03453709516481392,0.04585061241852757
impurity_candidate,0.5969026041820606,0.18999999999999997,0.03,4.22554537147311e-07,4.446049542336928e-07,-2.205041708638179e-08,2.0851028343913183,2.067140499049937,0.11796252576362545,0.1179159132926409,0.03285966932189019,0.050775392192286564
impurity_candidate,0.5969026041820606,0.18999999999999997,0.03999999999999998,2.755531822411622e-07,2.447079219092203e-07,3.084526033194189e-08,2.0880291043954244,2.0634576718732855,0.11981893835745523,0.11981595113501355,0.03178986480729101,0.056358310106988115
impurity_candidate,0.5969026041820606,0.18999999999999997,0.04999999999999999,2.0138829371394155e-07,1.6351576689526064e-07,3.7872526818680914e-08,2.090985801573384,2.059532868870598,0.12228893597484916,0.12230867191915276,0.03130317227399222,0.06277584092108145
impurity_candidate,0.5969026041820606,0.18999999999999997,0.06,1.5981048895987676e-07,1.2343523963841512e-07,3.637524932146164e-08,2.094009918064593,2.055287409007602,0.12541713908676017,0.1254525687990244,0.031407257397416205,0.07016519616667145
impurity_candidate,0.5969026041820606,0.18999999999999997,0.07,1.352437294404897e-07,1.016540420309985e-07,3.35896874094912e-08,2.097140452015073,2.050641665569609,0.1292692454786784,0.12931824209814113,0.03212882705329283,0.0786766101182195
impurity_candidate,0.5969026041820606,0.18999999999999997,0.08000000000000002,1.2071703001008923e-07,8.957710726586621e-08,3.113992274422302e-08,2.1004196991182553,2.0455054329364226,0.13393168605546749,0.13399450762149284,0.03351201807713536,0.08848910582499322
impurity_candidate,0.5969026041820606,0.18999999999999997,0.08999999999999997,1.1283692693088498e-07,8.347997270287311e-08,2.9356954228011867e-08,2.1038950942437005,2.039771986056346,0.13951495353460847,0.1395934703645633,0.03561988864786192,0.09982151366517168
impurity_candidate,0.5969026041820606,0.18999999999999997,0.09999999999999998,1.0992514319822424e-07,8.167221530758218e-08,2.8252927890642063e-08,2.1076213742058525,2.0333122359170366,0.14615896663226777,0.1462565396735339,0.03853762067934311,0.11294433200942515
impurity_candidate,0.5969026041820606,0.18999999999999997,0.10999999999999999,1.112558310401915e-07,8.348526359987335e-08,2.7770567440318148e-08,2.111663222652334,2.0259677562334666,0.15404049708753173,0.1541622111824508,0.042377302205765126,0.1281944827195518
impurity_candidate,0.5969026041820606,0.18999999999999997,0.12,1.1674157544024096e-07,8.889564995319688e-08,2.784592548704408e-08,2.1160986292373454,2.0175418765511437,0.16338316462662672,0.16353636472342947,0.047284563235207126,0.14599451601821128
impurity_candidate,0.5969026041820606,0.18999999999999997,0.13,1.2684090673375748e-07,9.842675230261819e-08,2.841415443113929e-08,2.1210232568258873,2.0077880103074426,0.1744708055974217,0.17466599754608836,0.053447577185689085,0.16687801565280025
impurity_candidate,0.5969026041820606,0.18999999999999997,0.14,1.426129759258496e-07,1.1322434714368977e-07,2.9388628782159832e-08,2.1265561939931343,1.9963942031317092,0.18766532107234746,0.18791759215051992,0.06110915646784204,0.19152341840743925
impurity_candidate,0.5969026041820606,0.18999999999999997,0.15000000000000002,1.659178975577093e-07,1.3530699685681093e-07,3.0610900700898366e-08,2.132847572025956,1.9829626374788945,0.20343042770423164,0.20376166026696757,0.0705828862891768,0.2207990533989738
impurity_candidate,0.5969026041820606,0.18999999999999997,0.15999999999999998,1.9981819627519245e-07,1.6807215501385053e-07,3.174604126134192e-08,2.140088620425749,1.966982612841272,0.2223629909995975,0.2228053193447369,0.08227440231988979,0.2558227382495059
impurity_candidate,0.5969026041820606,0.18999999999999997,0.16999999999999998,2.493125241442794e-07,2.172513708056031e-07,3.2061153338676314e-08,2.148524745691493,1.9477955730018301,0.2452335563826748,0.24583478847149165,0.09670884275233513,0.2980392475308146
impurity_candidate,0.5969026041820606,0.18999999999999997,0.18,3.226666733138132e-07,2.927218121882872e-07,2.994486112552596e-08,2.158471940439623,1.9245516829215177,0.2730366236589779,0.27386874829919194,0.11456471316421615,0.3493170953225355
impurity_candidate,0.5969026041820606,0.18999999999999997,0.19,4.338698141509225e-07,4.1203170970090565e-07,2.1838104450016846e-08,2.1703357544025086,1.8961607781163823,0.3070474560352672,0.3082198605750486,0.13671172347086336,0.4120591042967707
impurity_candidate,0.5969026041820606,0.18999999999999997,0.2,6.072830534118614e-07,6.074897860108947e-07,-2.0673259903321836e-10,2.184628979908632,1.861249803009224,0.34887185783803465,0.35055122685599843,0.16424287772267024,0.4893014236400419
impurity_candidate,0.7225663103256524,0.23,-0.2,2.1675049613880473e-05,1.7098949294641963e-05,4.57610031923851e-06,1.5910462308581022,2.3171071352920127,0.6803328360051497,0.6952478126214685,1.0892911812473667,0.3781452534297749
impurity_candidate,0.7225663103256524,0.23,-0.19,1.08829482284113e-05,9.290984862647006e-06,1.5919633657642932e-06,1.6699011168200626,2.2824229000171976,0.5816896129705622,0.5934061433950272,0.9117900881138653,0.31098483534119514
impurity_candidate,0.7225663103256524,0.23,-0.18000000000000002,5.679558741644776e-06,5.229564100869521e-06,4.499946407752545e-07,1.739188114597826,2.2514461346869927,0.4959829336006498,0.5046897230171847,0.7567952689974646,0.2532440383248328
impurity_candidate,0.7225663103256524,0.23,-0.17,3.129947558620507e-06,3.086040637350219e-06,4.3906921270287924e-08,1.7972193998084622,2.2251076445698925,0.4248518324884577,0.4312019393680389,0.6276324765869169,0.20609433870506771
