k,band_index,energy
-1.9634954084936207,2,0.716293197715457
-1.9634954084936207,3,2.3524324621406705
-1.9242255003237483,0,-2.281688438052232
-1.9242255003237483,1,-0.7800819582855566
-1.9242255003237483,2,0.7800819582855556
-1.9242255003237483,3,2.2816884380522326
-1.8849555921538759,0,-2.2113752229295693
-1.8849555921538759,1,-0.8441004252684761
-1.8849555921538759,2,0.8441004252684761
-1.8849555921538759,3,2.21137522292957
-1.8456856839840035,0,-2.142046761858595
-1.8456856839840035,1,-0.9078130608375643
-1.8456856839840035,2,0.9078130608375637
-1.8456856839840035,3,2.142046761858594
-1.806415775814131,0,-2.0744557401797747
-1.806415775814131,1,-0.9704869584769812
-1.806415775814131,2,0.9704869584769812
-1.806415775814131,3,2.0744557401797734
-1.7671458676442586,0,-2.009669267680268
-1.7671458676442586,1,-1.0310745233940386
-1.7671458676442586,2,1.0310745233940382
-1.7671458676442586,3,2.009669267680268
-1.7278759594743862,0,-1.949253594326312
-1.7278759594743862,1,-1.0880275795948746
-1.7278759594743862,2,1.0880275795948746
-1.7278759594743862,3,1.9492535943263125
-1.6886060513045138,0,-1.8955429737943104
-1.6886060513045138,1,-1.139027647410348
-1.6886060513045138,2,1.1390276474103485
-1.6886060513045138,3,1.8955429737943104
-1.6493361431346414,0,-1.851925138157499
-1.6493361431346414,1,-1.1806998423246813
-1.6493361431346414,2,1.1806998423246808
-1.6493361431346414,3,1.8519251381574984
-1.610066234964769,0,-1.8227973591106046
-1.610066234964769,1,-1.2086563666083778
-1.610066234964769,2,1.2086563666083772
-1.610066234964769,3,1.822797359110605
-1.5707963267948966,0,-1.8124568960391858
-1.5707963267948966,1,-1.2186057606953942
-1.5707963267948966,2,1.218605760695394
-1.5707963267948966,3,1.8124568960391862
-1.5315264186250241,0,-1.8227973591106053
-1.5315264186250241,1,-1.2086563666083774
-1.5315264186250241,2,1.2086563666083783
-1.5315264186250241,3,1.8227973591106055
-1.4922565104551517,0,-1.8519251381574988
-1.4922565104551517,1,-1.1806998423246813
-1.4922565104551517,2,1.180699842324681
-1.4922565104551517,3,1.8519251381574986
-1.4529866022852793,0,-1.8955429737943108
-1.4529866022852793,1,-1.1390276474103478
-1.4529866022852793,2,1.1390276474103476
-1.4529866022852793,3,1.8955429737943108
-1.413716694115407,0,-1.9492535943263127
-1.413716694115407,1,-1.0880275795948744
-1.413716694115407,2,1.0880275795948746
-1.413716694115407,3,1.949253594326313
-1.3744467859455345,0,-2.009669267680268
-1.3744467859455345,1,-1.0310745233940382
-1.3744467859455345,2,1.031074523394038
-1.3744467859455345,3,2.009669267680268
-1.335176877775662,0,-2.0744557401797734
-1.335176877775662,1,-0.9704869584769806
-1.335176877775662,2,0.9704869584769807
-1.335176877775662,3,2.0744557401797743
-1.2959069696057897,0,-2.142046761858594
-1.2959069696057897,1,-0.9078130608375637
-1.2959069696057897,2,0.9078130608375642
-1.2959069696057897,3,2.142046761858596
-1.2566370614359172,0,-2.211375222929571
-1.2566370614359172,1,-0.8441004252684751
-1.2566370614359172,2,0.8441004252684762
-1.2566370614359172,3,2.2113752229295702
-1.2173671532660448,0,-2.2816884380522326
-1.2173671532660448,1,-0.780081958285556
-1.2173671532660448,2,0.7800819582855563
-1.2173671532660448,3,2.2816884380522318
-1.1780972450961724,0,-2.352432462140671
-1.1780972450961724,1,-0.7162931977154563
-1.1780972450961724,2,0.7162931977154566
-1.1780972450961724,3,2.352432462140671
-1.1388273369263002,0,-2.4231812844531335
-1.1388273369263002,1,-0.6531454447184495
-1.1388273369263002,2,0.6531454447184488
-1.1388273369263002,3,2.423181284453134
-1.0995574287564276,0,-2.493593304250855
-1.0995574287564276,1,-0.590972700723241
-1.0995574287564276,2,0.5909727007232405
-1.0995574287564276,3,2.493593304250853
-1.060287520586555,0,-2.563384167157458
