kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13
dot,0.2,0.6283185307179586,1.8499999999999999,0.005510007408909279,0.7019844162950089,1,-3.074378822518464e-07,2.0142461569855814,2.3119651317456053e-09,2.0430205406192274,1.9948102951189566
dot,0.2,0.6283185307179586,1.9,0.004618048148944907,0.6862689186424048,1,-2.8560143358331673e-07,2.0089411562909163,8.02388009516326e-09,2.040928769099619,1.9948102925417515
dot,0.2,0.6283185307179586,1.95,0.0038529328681025615,0.671542810681729,1,-2.380049806566038e-07,2.004309260045208,7.974593442872198e-09,2.0388164162367453,1.994810315478274
dot,0.2,0.6283185307179586,2.0,0.0031912497948390945,0.6578849910960022,-1,-1.754090018472159e-07,2.000398034616887,2.5929157332168702e-09,2.036665669217156,1.9948103688221013
dot,0.2,0.6283185307179586,2.05,0.002613121125292236,0.6453350618280809,-1,-1.0861633635173559e-07,1.9971805577887325,-7.175016058495859e-09,2.0344602317466878,1.994810456582455
dot,0.2,0.6283185307179586,2.1,0.0021016927467399776,0.6338914948079617,-1,-4.59523383870828e-08,1.9945747168991934,-1.9932820128755883e-08,2.032185514715411,1.9948105811864751
dot,0.2,0.6283185307179586,2.15,0.001642699555579424,0.6235111066065417,-1,8.061329087103559e-09,1.9924667783586472,-3.396472645217239e-08,2.029829026120597,1.9948107428533937
dot,0.21,0.6597344572538565,1.7,0.008562630989369522,0.7396515183911724,1,-2.5772709534875376e-07,2.030148956598412,-1.1517037138661873e-07,2.050523347756446,1.9796771994406293
dot,0.21,0.6597344572538565,1.75,0.007253671853624186,0.7217042362569148,1,-3.3945073766401476e-07,2.0236906154227903,-9.005198409294491e-08,2.04834262558674,1.9796773621519335
dot,0.21,0.6597344572538565,1.8,0.006149715304688054,0.7043206164021125,1,-3.75220562319755e-07,2.017519050670609,-6.423682312837233e-08,2.0462019663044853,1.9796775260368606
dot,0.21,0.6597344572538565,1.8499999999999999,0.005216000608271592,0.6876747925217043,1,-3.6221152732910586e-07,2.0118606808517416,-3.9843470072702114e-08,2.044080087373355,1.979677686343549
dot,0.21,0.6597344572538565,1.9,0.00442289257014282,0.6719158946641185,1,-3.0661714314457814e-07,2.0068792635554926,-1.903913491601932e-08,2.0419575187155186,1.9796778418747876
dot,0.21,0.6597344572538565,1.95,0.003745183048272909,0.6571643080284931,-1,-2.2108589862974843e-07,2.002656446702877,-3.745855043128498e-09,2.0398161350171873,1.9796779949163168
dot,0.21,0.6597344572538565,2.0,0.0031614551234525534,0.6435076790446608,-1,-1.2071918092007691e-07,1.9991931447951807,4.63490060807677e-09,2.037638965914156,1.9796781507031
dot,0.21,0.6597344572538565,2.05,0.0026535216444622868,0.6309971254586431,-1,-1.9212970425406203e-08,1.9964267251548742,5.4394044597184e-09,2.0354102237427103,1.9796783164867175
dot,0.21,0.6597344572538565,2.1,0.0022059410395496646,0.6196441419555996,-1,7.374212744049002e-08,1.994254805777259,-1.1309584189054432e-09,2.0331155204301,1.9796785003022022
dot,0.21,0.6597344572538565,2.15,0.001805608067205937,0.6094186956793477,-1,1.5347420670506527e-07,1.9925575564598392,-1.3992842974848109e-08,2.030742263477931,1.9796787095626474
dot,0.22,0.6911503837897545,1.7,0.007888290327888878,0.7250578584603024,1,-6.053199452466151e-07,2.0274878928448175,-2.0481164695514318e-07,2.0516130640822188,1.961535817094391
dot,0.22,0.6911503837897545,1.75,0.006716350655182736,0.7071387019090714,1,-6.941856777880969e-07,2.020970107361631,-1.9315799593707848e-07,2.0494121762934254,1.9615363652817397
dot,0.22,0.6911503837897545,1.8,0.005731039395064705,0.6897903401845632,1,-7.091055494057595e-07,2.014904110924144,-1.7167037135415985e-07,2.0472476579242893,1.9615368829355035
dot,0.22,0.6911503837897545,1.8499999999999999,0.004900555038721276,0.6731788228598238,1,-6.5162360262846e-07,2.009492072546435,-1.423135550886808e-07,2.045100436399314,1.9615373484094563
dot,0.22,0.6911503837897545,1.9,0.004197860113109931,0.6574512321086029,-1,-5.353886483225335e-07,2.0048543281448747,-1.0819355502663892e-07,2.0429526838160337,1.9615377468245105
dot,0.22,0.6911503837897545,1.95,0.003599998980527659,0.6427314463063579,-1,-3.812599299862249e-07,2.001024150227273,-7.31257171534714e-08,2.04078748251098,1.9615380710329953
dot,0.22,0.6911503837897545,2.0,0.003087486794342341,0.6291153420852603,-1,-2.11463432399791e-07,1.9979616835160938,-4.111655919905507e-08,2.0385887166304477,1.9615383218496776
