kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13,abs_glr_probe_0p13,nonlocal_local_ratio,score
dot,0.22,0.6911503837897545,1.8,0.005731039395064705,0.6897903401845632,1,-7.091055494057595e-07,2.014904110924144,-1.7167037135415985e-07,2.0472476579242893,1.9615368829355035,1.7167037135415985e-07,8.385422774312365e-08,0.005731086505368931
dot,0.19,0.5969026041820606,1.8499999999999999,0.005781535137230897,0.7160196430205537,1,-3.2338425130442607e-07,2.0166326949810465,1.0805762675093797e-08,2.0419286591007713,2.0074786370259656,1.0805762675093797e-08,5.2919393764973454e-09,0.005781538103268534
dot,0.18,0.5654866776461628,1.8499999999999999,0.006031986271608009,0.7296904093296976,1,-3.216074746180988e-07,2.018998974146562,6.870026270523232e-09,2.040811879194794,2.018119728381803,6.870026270523232e-09,3.3663202084230384e-09,0.006031988157430587
dot,0.21,0.6597344572538565,1.8,0.006149715304688054,0.7043206164021125,1,-3.75220562319755e-07,2.017519050670609,-6.423682312837233e-08,2.0462019663044853,1.9796775260368606,6.423682312837233e-08,3.1393197830019856e-08,0.006149732933553728
dot,0.22999999999999998,0.7225663103256523,1.75,0.006180544921515735,0.6922556385049914,1,-1.4824227018940565e-06,2.018150363256316,-3.063685968096165e-07,2.0504243550116974,1.939711463468919,3.063685968096165e-07,1.4941716628598507e-07,0.006180628984523252
dot,0.17,0.5340707511102649,1.8499999999999999,0.006265227723727473,0.7429080934108041,1,-2.812679234987334e-07,2.0213129842617987,1.5169294862670965e-09,2.039678160686413,2.0270862239281118,1.5169294862670965e-09,7.437102163983578e-10,0.006265228140145355
dot,0.16,0.5026548245743669,1.8499999999999999,0.006487319797655745,0.7555889248438775,1,-2.1638548975542585e-07,2.0235271867325575,-1.6552308351490199e-09,2.038535892462876,2.0346641136891717,1.6552308351490199e-09,8.119704152715395e-10,0.006487320252061975
dot,0.2,0.6283185307179586,1.8,0.006556342235140374,0.7185738129494723,1,-2.9591785350149206e-07,2.0200960274358435,-9.071618125687587e-09,2.045111088122608,1.9948103181104462,9.071618125687587e-09,4.435758125009847e-09,0.006556344724832812
dot,0.24,0.7539822368615503,1.7,0.006582793578789237,0.6945990633456206,1,-2.5337677241370207e-06,2.021611572325003,-2.467377359549567e-07,2.0535966504334735,1.9133658801362299,2.467377359549567e-07,1.2014907401746844e-07,0.006582861270676927
dot,0.22,0.6911503837897545,1.75,0.006716350655182736,0.7071387019090714,1,-6.941856777880969e-07,2.020970107361631,-1.9315799593707848e-07,2.0494121762934254,1.9615363652817397,1.9315799593707848e-07,9.42504383312608e-08,0.006716403657203637
dot,0.19,0.5969026041820606,1.8,0.00694965048197121,0.7324729847443063,1,-3.0195036539925245e-07,2.0226161395583007,9.782275365651186e-09,2.0439817644444354,2.0074787195837103,9.782275365651186e-09,4.785891702076931e-09,0.0069496531668346365
dot,0.22999999999999998,0.7225663103256523,1.7,0.007226961293042386,0.7100218989199193,1,-1.3728779388471365e-06,2.024636979047461,-2.7332145317845903e-07,2.0526391836862756,1.9397105449819483,2.7332145317845903e-07,1.33156112068176e-07,0.007227036281211284
dot,0.21,0.6597344572538565,1.75,0.007253671853624186,0.7217042362569148,1,-3.3945073766401476e-07,2.0236906154227903,-9.005198409294491e-08,2.04834262558674,1.9796773621519335,9.005198409294491e-08,4.3963340394359e-08,0.007253696564787229
dot,0.18,0.5654866776461628,1.8,0.007330529076254384,0.7459403898750401,1,-2.9921093601028584e-07,2.025053911541434,1.0972845226100177e-08,2.0428213696773794,2.01811980009497,1.0972845226100177e-08,5.37141689869492e-09,0.007330532088036535
dot,0.17,0.5340707511102649,1.8,0.0077020272059316235,0.7589003412459693,1,-2.6267776218728497e-07,2.0273725526649615,6.746606745485328e-09,2.0416378671563664,2.027086263019047,6.746606745485328e-09,3.3045070597569466e-09,0.007702029057808663
dot,0.2,0.6283185307179586,1.75,0.00778935860601954,0.7358881688176175,1,-2.492285911639544e-07,2.02629496367097,-2.5577538087783752e-08,2.0472216008140847,1.9948103567867226,2.5577538087783752e-08,1.2493780877269347e-08,0.007789365625093105
dot,0.22,0.6911503837897545,1.7,0.007888290327888878,0.7250578584603024,1,-6.053199452466151e-07,2.0274878928448175,-2.0481164695514318e-07,2.0516130640822188,1.961535817094391,2.0481164695514318e-07,9.982956851893751e-08,0.007888346522279044
dot,0.16,0.5026548245743669,1.8,0.008069077160988088,0.7712820409401243,1,-2.035147040013127e-07,2.0295207178642354,2.694472676570345e-09,2.040439722046151,2.0346641245296904,2.694472676570345e-09,1.320535298081891e-09,0.008069077900633024
dot,0.19,0.5969026041820606,1.75,0.008321901202302478,0.749625398297588,1,-2.5360918591491265e-07,2.0287652833203618,3.7549583979884055e-09,2.04605568979413,2.0074788174719402,3.7549583979884055e-09,1.8352180816575044e-09,0.008321902232802983
dot,0.21,0.6597344572538565,1.7,0.008562630989369522,0.7396515183911724,1,-2.5772709534875376e-07,2.030148956598412,-1.1517037138661873e-07,2.050523347756446,1.9796771994406293,1.1517037138661873e-07,5.616633017743052e-08,0.008562662590278877
dot,0.18,0.5654866776461628,1.75,0.008851638899052756,0.762851752446551,1,-2.558103361392941e-07,2.031077517079419,1.1683555871085597e-08,2.0448521667594033,2.0181198802004587,1.1683555871085597e-08,5.71364329461587e-09,0.00885164210562389
