model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,total,valley_odd,1.0,0.2,2.8257234772778372,2.8257234772778372,0.6432611274163719,2.1824623498614653,1.8257234772778368,0.0
baseline,K_B,valley_odd,2.0,0.2,2.40496937718014,2.40496937718014,0.48470228992320125,1.9202670872569387,1.40496937718014,0.0
baseline,K_T,valley_odd,2.0,0.2,1.8159872794835488,1.8159872794835488,0.41510020732543973,1.400887072158109,0.8159872794835488,0.0
baseline,total,valley_odd,2.0,0.2,1.730289390911135,1.730289390911135,0.4208990172262987,1.3093903736848362,0.7302893909111347,0.0
baseline,K_B,valley_odd,0.0,0.5,6.9169752552422255,6.9169752552422255,1.014295962229279,5.902679293012946,5.9169752552422255,0.0
baseline,K_T,valley_odd,0.0,0.5,3.9677163594799607,3.9677163594799607,1.0236418051359155,2.944074554344045,2.9677163594799607,0.0
baseline,total,valley_odd,0.0,0.5,3.545837982551625,3.545837982551625,1.013758492250426,2.532079490301199,2.545837982551625,0.0
baseline,K_B,valley_odd,0.5,0.5,5.733580204193782,5.733580204193782,0.8825383553015629,4.851041848892219,4.733580204193781,0.0
baseline,K_T,valley_odd,0.5,0.5,3.374173087583969,3.374173087583969,0.872115849455421,2.5020572381285477,2.374173087583969,0.0
baseline,total,valley_odd,0.5,0.5,3.036670386041301,3.036670386041301,0.8661911072102697,2.1704792788310314,2.0366703860413007,0.0
baseline,K_B,valley_odd,1.0,0.5,3.958487627621113,3.958487627621113,0.6849019449099882,3.2735856827111247,2.9584876276211127,0.0
baseline,K_T,valley_odd,1.0,0.5,2.4838581797399804,2.4838581797399804,0.6448269159346793,1.839031263805301,1.4838581797399804,0.0
baseline,total,valley_odd,1.0,0.5,2.2729189912758128,2.2729189912758128,0.6448400296500351,1.6280789616257776,1.2729189912758125,0.0
baseline,K_B,valley_odd,2.0,0.5,2.183395051048445,2.183395051048445,0.4872655345184137,1.6961295165300312,1.1833950510484452,0.0
baseline,K_T,valley_odd,2.0,0.5,1.5935432718959923,1.5935432718959923,0.41753798241393747,1.1760052894820547,0.5935432718959922,0.0
baseline,total,valley_odd,2.0,0.5,1.509167596510325,1.509167596510325,0.4234889520898005,1.0856786444205246,0.5091675965103252,0.0
compressed_v3,K_B,s_wave,0.0,0.05,2.049301407960192,2.049301407960192,1.0144032640991916,1.0348981438610005,1.049301407960192,0.0
compressed_v3,K_T,s_wave,0.0,0.05,6.246945519025969,6.246945519025969,1.0242392017386817,5.222706317287288,5.246945519025966,0.0
compressed_v3,total,s_wave,0.0,0.05,6.777138734371389,6.777138734371389,1.0241808516132946,5.7529578827580945,5.7771387343713885,0.0
compressed_v3,K_B,s_wave,0.5,0.05,1.8394411263681534,1.8394411263681534,0.8636573887432949,0.9757837376248585,0.8394411263681536,0.0
compressed_v3,K_T,s_wave,0.5,0.05,5.197556415220774,5.197556415220774,0.7627167728587343,4.434839642362039,4.197556415220776,0.0
compressed_v3,total,s_wave,0.5,0.05,5.621710987497111,5.621710987497111,0.8029411069981413,4.818769880498969,4.621710987497112,0.0
compressed_v3,K_B,s_wave,1.0,0.05,1.524650703980096,1.524650703980096,0.6375385757094494,0.8871121282706467,0.524650703980096,0.0
