model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,-76.66666666666667,1.0000187621256624,1.8762125662357152e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-75.83333333333333,1.0000208840070428,2.0884007042904273e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-75.0,1.0000234139781226,2.341397812256552e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-74.16666666666667,1.0000264787211417,2.6478721141747903e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-73.33333333333333,1.0000302653194848,3.0265319484615516e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-72.5,1.0000350639654654,3.506396546532546e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-71.66666666666667,1.000041354546845,4.13545468447566e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-70.83333333333333,1.000050002219685,5.000221968500547e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-70.0,1.0000627679287193,6.276792871952124e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-69.16666666666667,1.0000839342844512,8.393428445128646e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-68.33333333333333,1.0001269701824411,0.0001269701824410698,0.0
baseline,K_T,s_wave,0.0,0.05,-67.5,1.00023854180219,0.00023854180219018775,0.0
baseline,K_T,s_wave,0.0,0.05,-66.66666666666667,1.0004376677144329,0.0004376677144326868,0.0
baseline,K_T,s_wave,0.0,0.05,-65.83333333333333,1.000633073056313,0.0006330730563133082,0.0
baseline,K_T,s_wave,0.0,0.05,-65.0,1.000818230089458,0.0008182300894580839,0.0
baseline,K_T,s_wave,0.0,0.05,-64.16666666666667,1.001015446357649,0.0010154463576487781,0.0
baseline,K_T,s_wave,0.0,0.05,-63.33333333333333,1.0012524765439172,0.0012524765439171236,0.0
baseline,K_T,s_wave,0.0,0.05,-62.5,1.0015248062576856,0.0015248062576858445,0.0
baseline,K_T,s_wave,0.0,0.05,-61.66666666666666,1.0018164144220447,0.0018164144220447138,0.0
baseline,K_T,s_wave,0.0,0.05,-60.83333333333333,1.0019874839375087,0.0019874839375085885,0.0
baseline,K_T,s_wave,0.0,0.05,-60.0,1.002114336516061,0.0021143365160611743,0.0
baseline,K_T,s_wave,0.0,0.05,-59.16666666666666,1.002161553190982,0.0021615531909816217,0.0
baseline,K_T,s_wave,0.0,0.05,-58.33333333333333,1.0022193144771676,0.002219314477167265,0.0
baseline,K_T,s_wave,0.0,0.05,-57.5,1.0022596946465325,0.0022596946465328277,0.0
baseline,K_T,s_wave,0.0,0.05,-56.66666666666666,1.0023076356409462,0.0023076356409457814,0.0
baseline,K_T,s_wave,0.0,0.05,-55.83333333333333,1.0023240460610263,0.0023240460610260954,0.0
baseline,K_T,s_wave,0.0,0.05,-55.0,1.0023040747183123,0.0023040747183122687,0.0
baseline,K_T,s_wave,0.0,0.05,-54.16666666666666,1.0022312327668161,0.002231232766816319,0.0
baseline,K_T,s_wave,0.0,0.05,-53.33333333333333,1.0022039418009052,0.002203941800905034,0.0
baseline,K_T,s_wave,0.0,0.05,-52.5,1.0022512496159575,0.0022512496159575665,0.0
baseline,K_T,s_wave,0.0,0.05,-51.66666666666666,1.002344061411845,0.0023440614118450352,0.0
baseline,K_T,s_wave,0.0,0.05,-50.83333333333333,1.0025107912829503,0.0025107912829504314,0.0
baseline,K_T,s_wave,0.0,0.05,-50.0,1.0027546669347214,0.0027546669347209615,0.0
baseline,K_T,s_wave,0.0,0.05,-49.16666666666666,1.0030534269310774,0.003053426931077393,0.0
baseline,K_T,s_wave,0.0,0.05,-48.33333333333333,1.0033846616043678,0.0033846616043674005,0.0
baseline,K_T,s_wave,0.0,0.05,-47.5,1.0037584866786673,0.0037584866786672696,0.0
baseline,K_T,s_wave,0.0,0.05,-46.66666666666666,1.0040840355807408,0.004084035580740994,0.0
baseline,K_T,s_wave,0.0,0.05,-45.83333333333333,1.0043822884408402,0.004382288440840508,0.0
baseline,K_T,s_wave,0.0,0.05,-45.0,1.0047363240930167,0.004736324093016564,0.0
baseline,K_T,s_wave,0.0,0.05,-44.16666666666666,1.004996273024229,0.004996273024229242,0.0
baseline,K_T,s_wave,0.0,0.05,-43.33333333333333,1.0051790331682735,0.0051790331682739065,0.0
baseline,K_T,s_wave,0.0,0.05,-42.5,1.005272824330126,0.005272824330125752,0.0
baseline,K_T,s_wave,0.0,0.05,-41.66666666666666,1.0052651814537454,0.0052651814537453025,0.0
baseline,K_T,s_wave,0.0,0.05,-40.83333333333333,1.0052583474343595,0.005258347434360029,0.0
baseline,K_T,s_wave,0.0,0.05,-40.0,1.0051497067667403,0.005149706766740231,0.0
baseline,K_T,s_wave,0.0,0.05,-39.16666666666666,1.0050136643634335,0.005013664363433657,0.0
baseline,K_T,s_wave,0.0,0.05,-38.33333333333333,1.0049381618045161,0.0049381618045160275,0.0
baseline,K_T,s_wave,0.0,0.05,-37.5,1.0048503396071489,0.004850339607149325,0.0
baseline,K_T,s_wave,0.0,0.05,-36.66666666666666,1.004774260527546,0.004774260527545824,0.0
baseline,K_T,s_wave,0.0,0.05,-35.83333333333333,1.0047632495175824,0.00476324951758232,0.0
baseline,K_T,s_wave,0.0,0.05,-35.0,1.0047125514386723,0.004712551438672088,0.0
baseline,K_T,s_wave,0.0,0.05,-34.166666666666664,1.004648559007179,0.004648559007178768,0.0
baseline,K_T,s_wave,0.0,0.05,-33.33333333333333,1.0048477756611187,0.004847775661118507,0.0
baseline,K_T,s_wave,0.0,0.05,-32.5,1.005297128910337,0.005297128910337391,0.0
baseline,K_T,s_wave,0.0,0.05,-31.666666666666664,1.006134804402278,0.006134804402277917,0.0
baseline,K_T,s_wave,0.0,0.05,-30.83333333333333,1.0080060307374317,0.008006030737431703,0.0
baseline,K_T,s_wave,0.0,0.05,-30.0,1.010742789897771,0.01074278989777048,0.0
baseline,K_T,s_wave,0.0,0.05,-29.166666666666664,1.0134624285809701,0.013462428580970532,0.0
baseline,K_T,s_wave,0.0,0.05,-28.33333333333333,1.0159001183611285,0.015900118361128243,0.0
baseline,K_T,s_wave,0.0,0.05,-27.5,1.0170727203244212,0.01707272032442115,0.0
baseline,K_T,s_wave,0.0,0.05,-26.666666666666664,1.0191106683294473,0.019110668329447793,0.0
baseline,K_T,s_wave,0.0,0.05,-25.83333333333333,1.0195376371144116,0.019537637114411862,0.0
baseline,K_T,s_wave,0.0,0.05,-25.0,1.0206924619651139,0.020692461965113693,0.0
baseline,K_T,s_wave,0.0,0.05,-24.166666666666664,1.0182053030053053,0.018205303005305703,0.0
baseline,K_T,s_wave,0.0,0.05,-23.33333333333333,1.0161237230655193,0.016123723065519024,0.0
baseline,K_T,s_wave,0.0,0.05,-22.5,1.0154460450553486,0.015446045055348953,0.0
baseline,K_T,s_wave,0.0,0.05,-21.666666666666664,1.0158704359378616,0.01587043593786156,0.0
baseline,K_T,s_wave,0.0,0.05,-20.83333333333333,1.0168305908452973,0.01683059084529673,0.0
baseline,K_T,s_wave,0.0,0.05,-20.0,1.0182704536721077,0.018270453672107608,0.0
baseline,K_T,s_wave,0.0,0.05,-19.166666666666664,1.0202767869186273,0.020276786918627467,0.0
baseline,K_T,s_wave,0.0,0.05,-18.33333333333333,1.0233520138919212,0.02335201389192096,0.0
baseline,K_T,s_wave,0.0,0.05,-17.5,1.0280799300338477,0.028079930033847626,0.0
baseline,K_T,s_wave,0.0,0.05,-16.666666666666664,1.0314777271660303,0.03147772716603007,0.0
baseline,K_T,s_wave,0.0,0.05,-15.833333333333329,1.0337046558000185,0.03370465580001821,0.0
baseline,K_T,s_wave,0.0,0.05,-15.0,1.038118071681076,0.03811807168107593,0.0
baseline,K_T,s_wave,0.0,0.05,-14.166666666666655,1.0439513540769318,0.043951354076931376,0.0
baseline,K_T,s_wave,0.0,0.05,-13.333333333333329,1.0536194533731087,0.05361945337310898,0.0
baseline,K_T,s_wave,0.0,0.05,-12.5,1.0620608994339862,0.06206089943398631,0.0
baseline,K_T,s_wave,0.0,0.05,-11.666666666666655,1.063752755533937,0.06375275553393735,0.0
baseline,K_T,s_wave,0.0,0.05,-10.833333333333329,1.0738450047413386,0.07384500474133782,0.0
baseline,K_T,s_wave,0.0,0.05,-10.0,1.0805991160613326,0.0805991160613324,0.0
baseline,K_T,s_wave,0.0,0.05,-9.166666666666655,1.0693228699689832,0.06932286996898303,0.0
baseline,K_T,s_wave,0.0,0.05,-8.333333333333329,1.0662984996484646,0.06629849964846454,0.0
baseline,K_T,s_wave,0.0,0.05,-7.5,1.0851647991588858,0.08516479915888578,0.0
baseline,K_T,s_wave,0.0,0.05,-6.666666666666657,1.1184165481416932,0.11841654814169351,0.0
baseline,K_T,s_wave,0.0,0.05,-5.833333333333329,1.1654881079433672,0.16548810794336696,0.0
baseline,K_T,s_wave,0.0,0.05,-5.0,1.2380437084132103,0.23804370841321087,0.0
baseline,K_T,s_wave,0.0,0.05,-4.166666666666657,1.3548060969569433,0.35480609695694326,0.0
baseline,K_T,s_wave,0.0,0.05,-3.3333333333333286,1.5571052909683722,0.5571052909683727,0.0
baseline,K_T,s_wave,0.0,0.05,-2.5,1.9306458004224352,0.9306458004224356,0.0
baseline,K_T,s_wave,0.0,0.05,-1.6666666666666572,2.700337323581665,1.7003373235816646,0.0
baseline,K_T,s_wave,0.0,0.05,-0.8333333333333286,4.236356994845549,3.2363569948455493,0.0
baseline,K_T,s_wave,0.0,0.05,0.0,5.80776401997543,4.80776401997543,0.0
