method,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,object_family,aberration_id,better_than_fixed,condition
phase_only_stack,natural_object_eval_object_08,17.78390643054887,19.32250895540868,19.20077446286137,1.4168680323125002,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_09,19.67577512735865,22.764868507133414,20.68481541780541,1.0090402904467588,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_10,15.96062765825073,18.12893413208769,18.56409405987559,2.6034664016248605,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_11,20.56497074291316,24.539170693293386,21.174728772296053,0.6097580293828919,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_00,18.37913524723942,20.176638382123357,16.23961903064545,-2.139516216593972,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_01,19.4185212442048,21.4257681213447,16.47609060357788,-2.9424306406269203,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_02,17.144871038094426,18.709930391033677,15.686298540243634,-1.458572497850792,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_03,19.87239693750947,22.64366861453879,17.632907006776534,-2.239489930732937,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_04,20.36777785801965,22.31443543561192,18.54061509001913,-1.827162768000516,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_05,19.64942581955879,20.72372347180619,19.509010139766733,-0.1404156797920563,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_06,19.73105034676241,21.15100711184366,17.92621179172076,-1.8048385550416484,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_07,24.25134673091588,27.945127685126543,19.9649301112452,-4.286416619670678,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_08,18.59203268222841,19.76822196245081,17.52698518509115,-1.065047497137261,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_09,19.87559582846149,21.26810377919595,19.41775458630841,-0.45784124215308,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_10,16.54464520459449,17.088873552528383,17.933344264726575,1.3886990601320832,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_11,21.91276814000132,23.78688900955446,19.041610824598997,-2.871157315402325,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_00,18.441468774705854,20.628023737643243,16.309174731572377,-2.132294043133477,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_01,18.538235981075392,21.643612972347213,16.294225382479148,-2.244010598596244,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
