sample_id,psnr_fixed,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,method,object_family,aberration_id,psnr_guided,better_than_fixed,condition
Kodak-PCD0992:kodim04,25.14151513834653,24.489192449149893,-0.6523226891966374,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim05,26.3246870209608,24.396954075179966,-1.927732945780836,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim06,23.3517567038945,24.4815756818215,1.1298189779269985,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim07,26.112850882158178,26.020292132242307,-0.0925587499158702,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim08,22.00612924652728,22.68624408404227,0.6801148375149921,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim09,24.586917704530585,24.12542594037463,-0.461491764155955,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim10,25.75906790844724,25.32877599296132,-0.4302919154859133,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim11,26.919356053614028,25.960632569523256,-0.958723484090772,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim12,21.01876737875105,23.93694622236444,2.918178843613383,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim01,25.80807971811284,25.47785099777848,-0.3302287203343574,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim02,29.0037130297951,27.735136756319044,-1.2685762734760573,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim03,23.06180899454633,24.061086030716865,0.999277036170536,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim04,23.92689068536725,23.81779594915565,-0.1090947362116026,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim05,25.27491799783564,24.0969539923176,-1.1779640055180387,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim06,20.289932849145643,21.953400640195916,1.6634677910502695,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim07,25.297320107535946,25.1565133290444,-0.140806778491541,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
