aberration_id,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,psnr_gap_to_guided,dataset_name,dataset_version,training_regime,seed,method,object_family,better_than_fixed
2,UCID:7,22.4460158531799,24.211655680752276,22.013959087473907,-0.4320567657059939,2.1976965932783656,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
2,UCID:8,21.19628229698105,23.018098987399963,21.76062440681996,0.5643421098389148,1.257474580580002,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:9,21.58522814918132,24.09495181546064,22.005366368442303,0.4201382192609806,2.0895854470183366,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:1,21.01173588136006,24.37365955200996,22.310614699624026,1.2988788182639652,2.063044852385936,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:10,20.17205169044887,23.6686043573196,22.57437708680896,2.4023253963600872,1.0942272705106433,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:11,26.05337560540299,28.11154439831872,25.356132974769725,-0.6972426306332657,2.7554114235489955,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
3,UCID:12,21.854656187964903,24.12626322083704,24.310747378224224,2.456091190259322,-0.1844841573871853,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:2,17.853825735737562,21.24487527943336,20.832887544716524,2.979061808978962,0.4119877347168348,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:3,22.82151756758289,26.48335197777639,21.87817509661132,-0.9433424709715688,4.605176881165068,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
3,UCID:4,21.490786005216105,24.613001535605868,23.44751705410922,1.9567310488931149,1.165484481496648,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:5,22.584734397751348,25.6418795240238,23.395485845216072,0.8107514474647246,2.246393678807728,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:6,20.16038953690077,23.70709483933988,22.237054723409727,2.0766651865089614,1.4700401159301535,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:7,22.162695301245883,25.217793588098296,22.01287686737357,-0.149818433872312,3.204916720724725,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
3,UCID:8,20.93231378648364,24.539038791125783,21.6274525203956,0.6951387339119641,2.911586270730183,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
3,UCID:9,21.00641124222721,24.354908258709862,21.66875369009167,0.6623424478644608,2.6861545686181927,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:1,20.34577393987537,21.81080268937963,22.408479480839528,2.0627055409641564,-0.5976767914598966,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:10,19.44317586657194,20.87985839786441,21.911171879653068,2.4679960130811267,-1.0313134817886542,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:11,25.82595959363649,27.0235039722273,25.179529435209325,-0.6464301584271688,1.8439745370179743,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
4,UCID:12,21.150886200758308,22.608347500105413,23.52855178579512,2.3776655850368087,-0.920204285689703,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:2,17.20681404983472,18.809484895963777,20.193296448095417,2.986482398260698,-1.3838115521316396,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:3,22.677131017367085,24.0040985719412,22.402513661079357,-0.274617356287731,1.6015849108618418,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
4,UCID:4,21.06824991307934,22.90554623282923,24.707634896651115,3.639384983571773,-1.802088663821884,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:5,21.83677841479944,23.48886918848676,23.498368781934992,1.6615903671355523,-0.0094995934482327,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:6,19.40616531307116,20.752253808655063,21.817761407638105,2.411596094566949,-1.065507598983043,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:7,21.915506804266045,23.687752745723078,21.79948745581587,-0.1160193484501732,1.8882652899072028,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
4,UCID:8,20.41365321145236,21.88247007177778,21.77288332144325,1.359230109990886,0.109586750334536,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
4,UCID:9,20.838143016207805,22.663578067766377,21.75231562434601,0.9141726081382052,0.911262443420366,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
5,UCID:1,17.594844459935594,20.94451825238428,19.56432684847015,1.969482388534555,1.3801914039141323,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
5,UCID:10,17.613063307531977,20.299214823536325,19.994280498104903,2.381217190572926,0.3049343254314216,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
