candidate,eta,alpha,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,subgap_average,zero_bias_andreev,zero_bias_normal,mean_frustration,pos_peak_bias,neg_peak_bias,pos_peak_contrast,neg_peak_contrast,peak_split,peak_asymmetry
s_wave,0.0,0.0,1.5707963267948966,0.5,1.751306135428176,1.751306135428176,0.0,0.9020467436978237,0.8492593917303524,1.615441549384613,0.7718634034981923,0.01543726806910267,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8490441565720404,0.8490441565720404,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.5707963267948966,1.0,1.4238214570094567,1.4238214570094567,0.0,0.5857542253166859,0.8380672316927709,1.2897472288313347,0.4824146271863702,0.03859317017275668,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8378548327061814,0.8378548327061814,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.5707963267948966,2.0,1.110736778593733,1.110736778593733,0.0,0.2838617069388063,0.8268750716549267,0.978452908281116,0.19296585087454807,0.061749072276410695,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8266655088400594,0.8266655088400594,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.5707963267948966,3.0,1.0140552191235077,1.0140552191235077,0.0,0.1909108674812568,0.823144351642251,0.8823681347660799,0.09648292543727403,0.06946770631096202,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.822935734217958,0.822935734217958,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.9634954084936207,0.0,1.9653330516140417,1.9653330516140417,0.0,1.1095533387948395,0.8557797128192022,1.8297144371587926,0.9653330516140415,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8555655842373686,0.8555655842373686,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.9634954084936207,0.5,1.7517011124653605,1.7517011124653605,0.0,0.9034672578604485,0.8482338546049121,1.6172782433891972,0.7722664412912332,0.015445328824963042,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8480216139468061,0.8480216139468061,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.9634954084936207,1.0,1.4240532037404625,1.4240532037404625,0.0,0.58713813645722,0.8369150672832425,1.291423952733023,0.48266652580702074,0.03861332206240761,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8367056585107283,0.8367056585107283,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.9634954084936207,2.0,1.1108052950185554,1.1108052950185554,0.0,0.28520901505724966,0.8255962799613057,0.9799696620799035,0.1930666103228083,0.06178131529985218,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8253897030743833,0.8253897030743833,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.9634954084936207,3.0,1.0140693254462685,1.0140693254462685,0.0,0.19224597459233653,0.821823350853932,0.8838315651972338,0.09653330516140415,0.0695039797123337,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8216177179288734,0.8216177179288734,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.356194490192345,0.0,1.9664907996175507,1.9664907996175507,0.0,1.1130220515018538,0.8534687481156968,1.8342241847950729,0.9664907996175506,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8532615202814902,0.8532615202814902,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.356194490192345,0.5,1.752608786900122,1.752608786900122,0.0,0.9068773903884108,0.8457313965117111,1.6215412482692206,0.7731926396940403,0.015463852793018151,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8455260473100165,0.8455260473100165,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.356194490192345,1.0,1.424585767822094,1.424585767822094,0.0,0.5904603987166045,0.8341253691054894,1.2953168434786533,0.4832453998087753,0.038659631982545385,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8339228378525626,0.8339228378525626,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.356194490192345,2.0,1.1109627487470461,1.1109627487470461,0.0,0.288443407048056,0.8225193416989902,0.9834924386911343,0.19329815992351007,0.06185541117207262,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8223196283948315,0.8223196283948315,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.356194490192345,3.0,1.0141017423903766,1.0141017423903766,0.0,0.19545107649361657,0.81865066589676,0.8872309704303295,0.09664907996175504,0.06958733756858168,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8184518919088575,0.8184518919088575,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.748893571891069,0.0,1.9675724682516045,1.9675724682516045,0.0,1.1164632834920067,0.8511091847595977,1.8384938101496877,0.9675724682516045,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.850908420128347,0.850908420128347,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.748893571891069,0.5,1.7534568151092307,1.7534568151092307,0.0,0.9102605064239322,0.8431963086852985,1.6255782168760464,0.7740579746012837,0.01548115949116205,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.842997410586183,0.842997410586183,0.0031999999999999806,0.0
s_wave,0.0,0.0,2.748893571891069,1.0,1.4250833353937755,1.4250833353937755,0.0,0.5937563408201784,0.8313269945735972,1.2990048269637908,0.48378623412580224,0.03870289872790513,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8311308962726848,0.8311308962726848,0.0031999999999999806,0.0
