c1_pattern,c2_pattern,c7_first_pattern,c7_second_pattern,c7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
const,cyc,anti,const,False,11.76243203306341,12.305144109890087,16.27383616010479,9.2717196742934,16.83432240233433,20.37312990184151
const,anti,cyc,const,True,11.766573252916185,12.321249212394427,16.664770169370836,9.450710331366086,16.222363827197643,20.38030270503183
const,anti,anti,const,True,11.794118788546019,12.41757826988158,16.14925276239187,9.424707405007046,17.141416650072813,20.4280129722644
const,anti,cyc,const,False,11.824473102113698,12.321241708043416,16.712079424041416,9.103761114440436,16.16145591811428,20.480588185592495
const,cyc,anti,const,True,11.853202846733536,12.307116998596364,16.21166085045107,9.45322579989877,16.8962211106982,20.530349562962535
const,cyc,cyc,const,True,11.967446858898752,12.21049186812155,16.98618275192134,9.478403752597426,16.272800155548545,20.728225996493205
const,cyc,cyc,const,False,12.004131999317135,12.210614474835403,17.071078867121784,9.133282563073351,16.235267962192683,20.791766523580648
const,const,anti,const,False,12.260929494466588,16.99125506841984,16.546679655665574,10.588368824796031,17.173397891904493,21.23655283243592
const,cyc,const,anti,True,12.329298504056624,12.215739990493987,16.908984440712093,7.499428547685497,16.316580862165022,21.354971430709025
const,const,anti,const,True,12.335310158571097,16.99832023660575,16.472364224745807,10.653773063134748,17.282091055659958,21.36538392176564
const,cyc,const,anti,False,12.34094158321587,12.210239324207848,16.9989534288978,7.1717614204331435,16.18200452241645,21.375137835369387
const,cyc,anti,anti,False,12.404473510302395,24.427191763121634,16.826308666639402,7.219339107216391,17.126641876564754,21.48517836098601
const,const,cyc,const,True,12.420173568551487,16.899649164146005,17.070855565643896,10.687171893922242,16.605776848745354,21.512371659555228
const,cyc,anti,anti,True,12.454344664803461,24.433859593054805,16.82006540116469,7.435998041725318,17.174270692905246,21.571557734413975
const,const,cyc,const,False,12.483073694579916,16.894226848510463,17.163341405791783,10.459116105441037,16.53113201238513,21.62131787363895
const,cyc,const,cyc,False,12.533224088243337,12.305800649753913,16.949548949539604,11.256390079110924,16.708467537070412,21.708180903483576
const,anti,const,anti,True,12.535961421646356,12.32638340523544,16.665774989959925,7.459417321523711,17.041060056421706,21.712922104014858
const,anti,anti,anti,False,12.54434488622033,24.542621753075593,17.08037840379133,7.177265536913812,17.717689221723532,21.72744269060044
const,anti,const,anti,False,12.545779396809944,12.32084780111854,16.8168852982693,7.130426420534151,16.92489188136643,21.729927335825646
const,cyc,const,cyc,True,12.547231414438556,12.312462756214778,16.856296362370962,11.4463479157135,16.876047672759466,21.732442304131887
const,anti,const,cyc,False,12.592595672877332,12.416123899545042,16.262157791337007,11.244074470767787,17.00082696569984,21.811015504595535
const,anti,const,cyc,True,12.600686360350604,12.422808475294225,16.144939486375634,11.436565514334193,17.11011973900504,21.8250289863674
const,anti,anti,anti,True,12.604289504515782,24.54931127287744,17.001364292443718,7.395373727125593,17.68122240990441,21.831269815128486
const,anti,const,const,True,12.608148934553107,1.6585798383055277,16.62015585781366,10.143278794260514,16.91229563229024,21.837954544041388
const,anti,const,const,False,12.633024317076316,2.1398190333395632,16.4997151034744,9.877820966495985,17.003792661791493,21.881039970429295
const,anti,cyc,cyc,True,12.633197412916717,24.549402291724924,16.99439727615425,11.436057645178128,16.718189338384395,21.88133978121945
const,cyc,const,const,False,12.64771147494328,2.072922758948984,17.012556379591267,9.907761217745918,16.515559469782954,21.906478874073663
const,cyc,const,const,True,12.653506463955438,1.5873548019900667,17.12280976593974,10.171365489412354,16.410137891000836,21.91651608947203
const,anti,cyc,cyc,False,12.696035562110566,24.543246138339434,17.064630534353125,11.169959646196832,16.722547872544542,21.990178648276792
const,cyc,cyc,cyc,True,12.810937917727665,24.43395232210822,17.696497395849654,11.445634778471085,17.0975236126409,22.18919536611495
const,const,const,anti,True,12.853032447002342,16.899649164145977,17.070857564453824,9.47737559268044,16.623888990078044,22.26210522953939
const,const,const,cyc,False,12.861485436147738,16.991722686741653,16.549740519774115,11.537122579328905,17.15750253630338,22.276746236215047
const,const,const,anti,False,12.862649918852627,16.893745762597625,17.164883897432087,9.248765179775537,16.531057074061906,22.278763179424445
const,const,const,cyc,True,12.865164312804936,16.998320236605785,16.47236499783744,11.59046448303334,17.269073925194434,22.28311823750009
const,cyc,cyc,cyc,False,12.870091210239385,24.427816307903704,17.695141408864796,11.182019393389401,17.029761121977643,22.291651874180236
const,const,const,const,True,12.936887855148173,5.237157917503616,17.266874149310734,11.371420090943568,17.075978409336617,22.407347056937393
