k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight
0.024390243902439025,6.666666666666671,0.009207223938955131,-0.020993903930605354,-0.030201127869560487
0.024390243902439025,7.5,0.007683549932838321,-0.018198602974771515,-0.025882152907609837
0.024390243902439025,8.333333333333343,0.00652540726732167,-0.01532084060762691,-0.021846247874948578
0.024390243902439025,9.166666666666671,0.00562212215904884,-0.012443936062878379,-0.01806605822192722
0.024390243902439025,10.0,0.004902508991586434,-0.009692951672028695,-0.01459546066361513
0.024390243902439025,10.833333333333343,0.0043189231424870566,-0.00722314006389441,-0.011542063206381466
0.024390243902439025,11.666666666666671,0.003838414488111094,-0.0051700477535861055,-0.009008462241697199
0.024390243902439025,12.5,0.003437558916944659,-0.00358649114621239,-0.0070240500631570495
0.024390243902439025,13.333333333333343,0.0030993073346456167,-0.002430550202035803,-0.00552985753668142
0.024390243902439025,14.166666666666671,0.0028109946450162334,-0.0016109213873303273,-0.004421916032346561
0.024390243902439025,15.0,0.0025630425700541234,-0.0010346669983978514,-0.003597709568451975
0.024390243902439025,15.833333333333343,0.0023480917660313708,-0.0006281708095500678,-0.0029762625755814388
0.024390243902439025,16.66666666666667,0.0021604074658582444,-0.00033901068758672925,-0.0024994181534449735
0.024390243902439025,17.5,0.0019954639464465507,-0.00013136729521547467,-0.0021268312416620255
0.024390243902439025,18.333333333333343,0.00184964860770037,1.8993187904932935e-05,-0.0018306554197954372
0.024390243902439025,19.16666666666667,0.0017200477060830704,0.00012854870100272465,-0.0015914990050803458
0.024390243902439025,20.0,0.0016042888640325492,0.00020863531284297964,-0.0013956535511895696
0.04878048780487805,-80.0,0.0007924862872763518,0.0008847554252768255,9.226913800047365e-05
0.04878048780487805,-79.16666666666667,0.0008299914468489634,0.0009257672826349735,9.577583578601005e-05
0.04878048780487805,-78.33333333333333,0.0008704917570114213,0.0009698924662832182,9.940070927179692e-05
0.04878048780487805,-77.5,0.0009143396311524995,0.00101747272723261,0.00010313309608011049
0.04878048780487805,-76.66666666666667,0.0009619439692400791,0.001068900382277846,0.00010695641303776681
0.04878048780487805,-75.83333333333333,0.0010137818690843944,0.0011246279438869484,0.00011084607480255407
0.04878048780487805,-75.0,0.001070413365511137,0.0011851800331610922,0.00011476666764995516
0.04878048780487805,-74.16666666666667,0.0011325001481623724,0.001251168232832816,0.00011866808467044356
0.04878048780487805,-73.33333333333333,0.0012008295642155396,0.0013233097622766627,0.00012248019806112317
0.04878048780487805,-72.5,0.0012763457240636332,0.0014024511718567936,0.00012610544779316046
0.04878048780487805,-71.66666666666667,0.0013601902756679048,0.0014895987016678807,0.00012940842599997587
0.04878048780487805,-70.83333333333333,0.0014537565235721848,0.0015859575943394644,0.0001322010707672796
0.04878048780487805,-70.0,0.0015587622468373242,0.001692983593730123,0.00013422134689279868
0.04878048780487805,-69.16666666666667,0.0016773491567216167,0.001812451261020874,0.0001351021042992574
0.04878048780487805,-68.33333333333333,0.0018122210073506875,0.0019465458562796102,0.00013432484892892272
0.04878048780487805,-67.5,0.0019668389373259333,0.0020979887965659125,0.0001311498592399792
0.04878048780487805,-66.66666666666667,0.0021457034830979203,0.0022702118393481117,0.0001245083562501914
0.04878048780487805,-65.83333333333333,0.0023547712137187383,0.0024676034189893567,0.00011283220527061842
0.04878048780487805,-65.0,0.002602086528468771,0.0026958642493660066,9.377772089723575e-05
0.04878048780487805,-64.16666666666667,0.00289876873397218,0.002962532573521551,6.37638395493711e-05
0.04878048780487805,-63.33333333333333,0.0032606081758812964,0.0032777802538064517,1.7172077925155238e-05
0.04878048780487805,-62.5,0.003710753052246125,0.003655655000342172,-5.509805190395331e-05
0.04878048780487805,-61.666666666666664,0.004284452639217228,0.004116083843475859,-0.00016836879574136897
0.04878048780487805,-60.83333333333333,0.005037924932188371,0.004688228095239118,-0.000349696836949253
