config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,4,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.643868,0.0684878
1,4,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.372615,0.057908
1,4,train,ring,common_path,1,0.16,0.14,task_matched_decoy,12.018462,0.06282808
1,4,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.521736,0.08868014
1,4,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.915677,0.05110134
1,4,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,11.457295,0.07149414
1,4,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.728057,0.06717294
1,4,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.349168,0.05822147
1,4,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,11.881487,0.06484124
1,4,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.898651,0.0813083
1,4,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.962386,0.05055468
1,4,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.396246,0.09127996
1,4,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,12.007713,0.06298378
1,4,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.713532,0.05353611
1,4,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.520274,0.05597223
1,4,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.584434,0.08740909
1,4,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.344463,0.04629709
1,4,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.522377,0.04443879
1,4,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.324498,0.11682888
1,4,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,13.874706,0.04097599
1,4,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,14.167904,0.03830096
1,4,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.614011,0.10929466
1,4,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,14.101847,0.03888797
1,4,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,14.189429,0.0381116
1,4,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.407032,0.1146296
1,4,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,14.261824,0.03748155
1,4,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,14.47328,0.03570031
1,4,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.520943,0.11166207
1,5,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.261999,0.04718458
1,5,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,13.91359,0.04061075
1,5,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.128559,0.06125536
1,5,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.194684,0.04792163
1,5,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.491947,0.04475127
1,5,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.572368,0.04393021
1,5,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.726528,0.05337614
1,5,train,diag,common_path,1,0.16,0.14,task_matched_decoy,10.291865,0.09350041
1,5,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.775054,0.06644994
1,5,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.34221,0.05831483
1,5,train,ring,common_path,1,0.16,0.14,task_matched_decoy,11.990034,0.06324069
1,5,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.416858,0.09084776
1,5,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.926075,0.05097914
