config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
2,1,train,diag,noncommon_path,1,0.12,0.1,10.628535,0.08652597
2,1,train,box,noncommon_path,1,0.12,0.1,12.01406,0.0628918
2,1,train,bars,noncommon_path,1,0.12,0.1,12.856804,0.05179879
2,1,train,ring,noncommon_path,1,0.12,0.1,11.961017,0.06366464
2,1,train,chevron,noncommon_path,1,0.12,0.1,11.116096,0.07733754
2,1,train,cross,wrong_reference,1,0.12,0.1,12.961134,0.05056926
2,1,train,diag,wrong_reference,1,0.12,0.1,11.808023,0.0659474
2,1,train,box,wrong_reference,1,0.12,0.1,12.227603,0.05987419
2,1,train,bars,wrong_reference,1,0.12,0.1,13.10019,0.04897574
2,1,train,ring,wrong_reference,1,0.12,0.1,12.409514,0.05741807
2,1,train,chevron,wrong_reference,1,0.12,0.1,11.058392,0.07837197
2,1,ood,disk,ordinary,1,0.12,0.1,13.237702,0.0474493
2,1,ood,two_spots,ordinary,1,0.12,0.1,13.382465,0.04589375
2,1,ood,frame,ordinary,1,0.12,0.1,9.281279,0.11799731
2,1,ood,disk,common_path,1,0.12,0.1,13.658223,0.04307028
2,1,ood,two_spots,common_path,1,0.12,0.1,13.837454,0.04132897
2,1,ood,frame,common_path,1,0.12,0.1,9.351754,0.11609796
2,1,ood,disk,noncommon_path,1,0.12,0.1,14.23422,0.03772055
2,1,ood,two_spots,noncommon_path,1,0.12,0.1,13.773975,0.04193749
2,1,ood,frame,noncommon_path,1,0.12,0.1,9.465015,0.11310934
2,1,ood,disk,wrong_reference,1,0.12,0.1,14.051638,0.03934017
2,1,ood,two_spots,wrong_reference,1,0.12,0.1,14.01617,0.03966276
2,1,ood,frame,wrong_reference,1,0.12,0.1,9.529324,0.1114468
2,2,train,cross,ordinary,1,0.12,0.1,12.861691,0.05174054
2,2,train,diag,ordinary,1,0.12,0.1,13.265589,0.0471456
2,2,train,box,ordinary,1,0.12,0.1,12.226916,0.05988368
2,2,train,bars,ordinary,1,0.12,0.1,13.200276,0.04785996
2,2,train,ring,ordinary,1,0.12,0.1,13.578431,0.04386891
2,2,train,chevron,ordinary,1,0.12,0.1,13.527648,0.04438489
2,2,train,cross,common_path,1,0.12,0.1,13.084719,0.04915052
2,2,train,diag,common_path,1,0.12,0.1,10.228152,0.09488222
2,2,train,box,common_path,1,0.12,0.1,11.947521,0.0638628
2,2,train,bars,common_path,1,0.12,0.1,12.78749,0.05263214
2,2,train,ring,common_path,1,0.12,0.1,12.37514,0.05787433
2,2,train,chevron,common_path,1,0.12,0.1,11.177953,0.07624383
2,2,train,cross,noncommon_path,1,0.12,0.1,12.920441,0.05104532
2,2,train,diag,noncommon_path,1,0.12,0.1,11.249543,0.07499731
2,2,train,box,noncommon_path,1,0.12,0.1,11.846665,0.06536323
2,2,train,bars,noncommon_path,1,0.12,0.1,12.534391,0.05579059
2,2,train,ring,noncommon_path,1,0.12,0.1,12.138065,0.06112143
2,2,train,chevron,noncommon_path,1,0.12,0.1,11.176618,0.07626727
2,2,train,cross,wrong_reference,1,0.12,0.1,13.020996,0.04987701
2,2,train,diag,wrong_reference,1,0.12,0.1,11.935986,0.06403264
2,2,train,box,wrong_reference,1,0.12,0.1,12.113465,0.06146863
2,2,train,bars,wrong_reference,1,0.12,0.1,12.976095,0.05039535
2,2,train,ring,wrong_reference,1,0.12,0.1,12.177972,0.06056236
2,2,train,chevron,wrong_reference,1,0.12,0.1,11.23066,0.0753241
2,2,ood,disk,ordinary,1,0.12,0.1,13.58161,0.04383681
2,2,ood,two_spots,ordinary,1,0.12,0.1,13.261395,0.04719115
2,2,ood,frame,ordinary,1,0.12,0.1,9.375463,0.11546589
2,2,ood,disk,common_path,1,0.12,0.1,13.694382,0.04271317
2,2,ood,two_spots,common_path,1,0.12,0.1,14.051913,0.03933767
2,2,ood,frame,common_path,1,0.12,0.1,9.516065,0.11178757
2,2,ood,disk,noncommon_path,1,0.12,0.1,13.479078,0.04488406
2,2,ood,two_spots,noncommon_path,1,0.12,0.1,14.368146,0.03657509
2,2,ood,frame,noncommon_path,1,0.12,0.1,9.511179,0.11191339
2,2,ood,disk,wrong_reference,1,0.12,0.1,13.960018,0.04017891
2,2,ood,two_spots,wrong_reference,1,0.12,0.1,13.905259,0.04068872
2,2,ood,frame,wrong_reference,1,0.12,0.1,9.636241,0.10873664
2,3,train,cross,ordinary,1,0.12,0.1,13.131793,0.04862064
2,3,train,diag,ordinary,1,0.12,0.1,12.917597,0.05107875
2,3,train,box,ordinary,1,0.12,0.1,12.022032,0.06277646
2,3,train,bars,ordinary,1,0.12,0.1,13.218435,0.04766027
2,3,train,ring,ordinary,1,0.12,0.1,13.542914,0.04422915
2,3,train,chevron,ordinary,1,0.12,0.1,13.661618,0.04303663
2,3,train,cross,common_path,1,0.12,0.1,13.105054,0.04892091
2,3,train,diag,common_path,1,0.12,0.1,10.773829,0.08367911
2,3,train,box,common_path,1,0.12,0.1,11.913063,0.0643715
2,3,train,bars,common_path,1,0.12,0.1,12.715692,0.05350948
2,3,train,ring,common_path,1,0.12,0.1,12.389847,0.05767868
2,3,train,chevron,common_path,1,0.12,0.1,11.259401,0.07482728
2,3,train,cross,noncommon_path,1,0.12,0.1,13.023614,0.04984695
2,3,train,diag,noncommon_path,1,0.12,0.1,10.9105,0.08108678
2,3,train,box,noncommon_path,1,0.12,0.1,11.913422,0.06436619
2,3,train,bars,noncommon_path,1,0.12,0.1,12.815737,0.05229093
2,3,train,ring,noncommon_path,1,0.12,0.1,12.200596,0.06024768
2,3,train,chevron,noncommon_path,1,0.12,0.1,10.962015,0.08013061
2,3,train,cross,wrong_reference,1,0.12,0.1,13.12031,0.04874937
2,3,train,diag,wrong_reference,1,0.12,0.1,11.493988,0.07089265
2,3,train,box,wrong_reference,1,0.12,0.1,12.281621,0.05913409
2,3,train,bars,wrong_reference,1,0.12,0.1,13.172395,0.04816821
2,3,train,ring,wrong_reference,1,0.12,0.1,12.77247,0.05281448
2,3,train,chevron,wrong_reference,1,0.12,0.1,11.449065,0.07162976
2,3,ood,disk,ordinary,1,0.12,0.1,13.04482,0.04960415
2,3,ood,two_spots,ordinary,1,0.12,0.1,13.378136,0.04593951
2,3,ood,frame,ordinary,1,0.12,0.1,9.401464,0.11477667
2,3,ood,disk,common_path,1,0.12,0.1,14.318142,0.03699864
2,3,ood,two_spots,common_path,1,0.12,0.1,14.026502,0.03956852
2,3,ood,frame,common_path,1,0.12,0.1,9.511848,0.11189617
2,3,ood,disk,noncommon_path,1,0.12,0.1,13.826666,0.04143176
2,3,ood,two_spots,noncommon_path,1,0.12,0.1,14.039426,0.03945095
2,3,ood,frame,noncommon_path,1,0.12,0.1,9.342723,0.11633963
2,3,ood,disk,wrong_reference,1,0.12,0.1,14.433615,0.03602787
2,3,ood,two_spots,wrong_reference,1,0.12,0.1,13.814894,0.04154422
2,3,ood,frame,wrong_reference,1,0.12,0.1,9.542606,0.11110648
3,0,train,cross,ordinary,1,0.12,0.15,13.088634,0.04910623
3,0,train,diag,ordinary,1,0.12,0.15,12.901915,0.05126353
3,0,train,box,ordinary,1,0.12,0.15,12.299204,0.05889516
3,0,train,bars,ordinary,1,0.12,0.15,13.151748,0.04839775
3,0,train,ring,ordinary,1,0.12,0.15,13.69628,0.04269451
3,0,train,chevron,ordinary,1,0.12,0.15,13.499684,0.04467161
3,0,train,cross,common_path,1,0.12,0.15,12.979861,0.05035167
3,0,train,diag,common_path,1,0.12,0.15,10.617513,0.08674584
3,0,train,box,common_path,1,0.12,0.15,11.90557,0.06448266
3,0,train,bars,common_path,1,0.12,0.15,12.824588,0.05218447
3,0,train,ring,common_path,1,0.12,0.15,12.393809,0.05762608
3,0,train,chevron,common_path,1,0.12,0.15,11.612858,0.06897857
3,0,train,cross,noncommon_path,1,0.12,0.15,13.067692,0.0493436
3,0,train,diag,noncommon_path,1,0.12,0.15,11.197491,0.0759016
3,0,train,box,noncommon_path,1,0.12,0.15,11.915348,0.06433765
3,0,train,bars,noncommon_path,1,0.12,0.15,12.814224,0.05230914
