config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,4,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.115282,0.04880584
1,4,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.693415,0.08524296
1,4,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.875256,0.06493434
1,4,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.795496,0.0525352
1,4,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.311044,0.05873481
1,4,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.758635,0.08397239
1,4,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.83717,0.05203349
1,4,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.868584,0.06503417
1,4,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.083234,0.061898
1,4,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.945105,0.05075625
1,4,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.725597,0.05338758
1,4,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.524578,0.07039506
1,4,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.511595,0.04454926
1,4,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.492394,0.04474666
1,4,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.336167,0.11651539
1,4,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.76954,0.04198035
1,4,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.91227,0.04062309
1,4,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.442644,0.11369349
