candidate,barrier_Z,orientation_alpha,intervalley_eta,field_phi,inner_gap,outer_gap,inner_signal,outer_signal,zero_bias,inner_selectivity
valley_odd,0.2,0.0,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,403.36510603802384,198.75306943452037,360.77146507904934,2.029478624836601
valley_odd,0.2,0.0,0.45,0.0,0.016827349461848516,0.07182734946184852,515.9137207163333,250.9284215331677,461.74781832230263,2.05601947186417
valley_odd,0.2,0.0,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,452.0038530558962,221.17767795840086,404.4211800942345,2.0436232861659263
valley_odd,0.2,0.7853981634,0.0,0.0,0.016827349461848516,0.07182734946184852,533.7354277946305,258.2435161044215,477.82925277499976,2.066791204851831
valley_odd,0.2,0.7853981634,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,469.82556013419327,228.4927725296546,420.50261454693157,2.056194403581048
valley_odd,0.2,0.7853981634,0.2,0.0,0.016827349461848516,0.07182734946184852,572.6464254089284,276.18320292352587,512.749024787148,2.0734295907470237
valley_odd,0.2,0.7853981634,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,508.7365577484912,246.43245934875898,455.42238655907977,2.064405635089293
valley_odd,0.2,0.7853981634,0.45,0.0,0.016827349461848516,0.07182734946184852,621.2851724268007,298.60781144740633,556.3987398023331,2.080605893781943
valley_odd,0.2,0.7853981634,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,557.3753047663635,268.85706787263945,499.07210157426493,2.0731287043210567
valley_odd,0.8,0.0,0.0,0.0,0.016827349461848516,0.07182734946184852,327.73885002420485,205.27296134602625,288.8749962896682,1.5966001945660018
valley_odd,0.8,0.0,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,282.5857130014677,181.99764426447385,248.59261012558198,1.5526888501415002
valley_odd,0.8,0.0,0.2,0.0,0.016827349461848516,0.07182734946184852,354.8368171625389,218.67209828238114,313.1052646503661,1.6226890396612106
