object_id,fixed_psnr_lowres,robust_method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
ImageNet-1k:imagenet_proxy_006,19.412075569509152,23.20163801439807,3.7895624448889187,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,26.890020171332907,23.965109448069278,-2.924910723263629,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.268126109709225,21.14194200763108,2.8738158979218547,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.41476884025423,24.692102635961763,3.277333795707534,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.522383041448904,20.539478743119872,3.017095701670968,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.256566914227342,23.514841502471576,2.258274588244234,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,17.750234647757154,20.160774173527457,2.4105395257703037,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.299948974789118,21.11908827459244,1.8191392998033216,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,16.622471973112788,19.143436370481407,2.520964397368619,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.696032609119307,20.995345533753742,0.29931292463443526,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,19.76316827026758,23.437092676598613,3.6739244063310323,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
