perturbation_family,level,dataset_name,dataset_version,method,seed_count,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,ci95_half_width,ci_low,ci_high,mean_better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,model_variant,evidence_scope,better_than_fixed_fraction
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.125554357547521,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.3379629629629629,20.13322716263424,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.173488815128023,0.1963210756664845,-1.3047188527163702,-0.9120767013834012,0.1203703703703703,23.948784615474448,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.1812619635907672,0.2051172212070204,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.1696432818455528,0.1919694451018933,-1.624634570853244,-1.2406956806494571,0.1342592592592592,23.62451726677298,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.1009259091222678,0.1142084175679001,-2.4697211870959705,-2.24130435196017,0.0138888888888888,22.701669622996263,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.3407186494816797,1.3001841697558678,1.981621468719227,0.8148148148148148,22.50618470789093,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.2497676014281402,0.2826386481619926,2.0209640983901718,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.0254837994241032,0.0288376337766616,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,0.0,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.125554357547521,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.3379629629629629,20.13322716263424,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.173488815128023,0.1963210756664845,-1.3047188527163702,-0.9120767013834012,0.1203703703703703,23.948784615474448,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.1812619635907672,0.2051172212070204,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.1696432818455528,0.1919694451018933,-1.624634570853244,-1.2406956806494571,0.1342592592592592,23.62451726677298,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.1009259091222678,0.1142084175679001,-2.4697211870959705,-2.24130435196017,0.0138888888888888,22.701669622996263,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.3407186494816797,1.3001841697558678,1.981621468719227,0.8148148148148148,22.50618470789093,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.2497676014281402,0.2826386481619926,2.0209640983901718,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.0254837994241032,0.0288376337766616,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_misregistration,1.0,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.125554357547521,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.3379629629629629,20.13322716263424,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
clean_reference,0.0,Kodak-PCD0992,unrestricted public release,robust_phase_only_stack,3,72,-0.21820663514947483,0.08265754750161375,0.0935358203091975,-0.31174245545867235,-0.12467081484027732,,24.838975757374854,25.05718239252433,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.375
clean_reference,0.0,UCID,1338 public citation subset,robust_phase_only_stack,3,72,2.5992925535582234,0.07176834431029776,0.08121352689741454,2.518079026660809,2.680506080455638,,23.46457444221161,20.86528188865339,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.9861111111111112
phase_mask_lateral_shift,1.0,Kodak-PCD0992,unrestricted public release,robust_phase_only_stack,3,72,-0.3332593193276913,0.2813455475739742,0.31837245814918785,-0.6516317774768792,-0.014886861178503463,,24.72392307319664,25.05718239252433,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.32407407407407407
phase_mask_lateral_shift,1.0,UCID,1338 public citation subset,robust_phase_only_stack,3,72,2.3328996669307602,0.22908875448666427,0.2592383299795358,2.0736613369512247,2.592137996910296,,23.198181555584146,20.86528188865339,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.9629629629629629
phase_mask_lateral_shift,2.0,Kodak-PCD0992,unrestricted public release,robust_phase_only_stack,3,72,-16.56275642094957,1.4036812824994331,1.5884149019626743,-18.151171322912244,-14.974341518986895,,8.49442597157476,25.05718239252433,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.0
phase_mask_lateral_shift,2.0,UCID,1338 public citation subset,robust_phase_only_stack,3,72,-12.346381391554402,1.3946895745241843,1.5782398265235047,-13.924621218077906,-10.768141565030898,,8.518900497098985,20.86528188865339,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.0
phase_mask_quantization,3.0,Kodak-PCD0992,unrestricted public release,robust_phase_only_stack,3,72,-0.32736720589134105,0.1634676285789428,0.18498103555313106,-0.5123482414444721,-0.14238617033821,,24.72981518663299,25.05718239252433,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.32407407407407407
phase_mask_quantization,3.0,UCID,1338 public citation subset,robust_phase_only_stack,3,72,2.414001465499803,0.17307650310315845,0.19585450068773494,2.218146964812068,2.609855966187538,,23.27928335415319,20.86528188865339,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.9675925925925926
phase_mask_quantization,4.0,Kodak-PCD0992,unrestricted public release,robust_phase_only_stack,3,72,-0.25358544406446865,0.0905396128218648,0.10245521687665515,-0.3560406609411238,-0.1511302271878135,,24.80359694845986,25.05718239252433,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.35648148148148145
phase_mask_quantization,4.0,UCID,1338 public citation subset,robust_phase_only_stack,3,72,2.5971646428254265,0.061290529801108044,0.06935676360371124,2.527807879221715,2.666521406429138,,23.462446531478815,20.86528188865339,,robust_mask_training,phase_mask_engineering_public_natural_tolerance,0.9722222222222222
