perturbation_family,level,dataset_name,dataset_version,method,seed,sample_count,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
propagation_distance_error,-0.05,UCID,1338 public citation subset,spectral_frontend,1,72,1.0670926631629554,1.401203288455661,0.7777777777777778,21.766508665523194,20.699416002360238,23.168496256563735
propagation_distance_error,-0.05,UCID,1338 public citation subset,spectral_frontend,2,72,1.151890782194868,1.3423461888837633,0.8055555555555556,22.128462274387047,20.97657149219218,23.163975635990575
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-1.1311440878785202,0.9402173261189171,0.1111111111111111,24.037520662862512,25.16866475074103,26.980283997320132
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-0.9246577948321177,1.1680034802945456,0.16666666666666666,23.966147646262023,24.89080544109414,27.03340698845976
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-1.2693914484390187,1.0880208858236442,0.08333333333333333,23.842685537298802,25.11207698573782,26.961102505543174
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,0,72,1.8116192465791023,0.6585926067313406,1.0,26.980283997320132,25.16866475074103,26.980283997320132
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,1,72,2.1426015473656235,0.7178871055830549,1.0,27.03340698845976,24.89080544109414,27.03340698845976
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,2,72,1.849025519805355,0.7230723751493049,1.0,26.961102505543174,25.11207698573782,26.961102505543174
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,0,72,-1.5740640934716028,1.2496056374948268,0.125,23.594600657269424,25.16866475074103,26.980283997320132
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,1,72,-1.4793691853686897,1.3367307778568116,0.1527777777777778,23.411436255725448,24.89080544109414,27.03340698845976
propagation_distance_error,0.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,2,72,-1.2445620984137598,1.1630157286253098,0.125,23.86751488732406,25.11207698573782,26.961102505543174
propagation_distance_error,0.0,UCID,1338 public citation subset,phase_only_stack,0,72,1.382763127965692,1.2564585262231651,0.7916666666666666,22.36532601321999,20.982562885254296,23.06411630882179
propagation_distance_error,0.0,UCID,1338 public citation subset,phase_only_stack,1,72,1.9716650969286387,1.559795396528439,0.8888888888888888,22.628183056116583,20.656517959187948,23.23053303408501
propagation_distance_error,0.0,UCID,1338 public citation subset,phase_only_stack,2,72,1.5682802328183112,1.3960047342627502,0.7638888888888888,22.52504505433623,20.95676482151792,23.21200456270985
propagation_distance_error,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,0,72,2.081553423567494,0.7299977118373004,1.0,23.06411630882179,20.982562885254296,23.06411630882179
propagation_distance_error,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,1,72,2.574015074897062,0.7749689155275751,1.0,23.23053303408501,20.656517959187948,23.23053303408501
propagation_distance_error,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,2,72,2.2552397411919363,0.7380583258365093,1.0,23.21200456270985,20.95676482151792,23.21200456270985
propagation_distance_error,0.0,UCID,1338 public citation subset,spectral_frontend,0,72,1.1082593856031144,1.3853443220605808,0.7916666666666666,22.090822270857412,20.982562885254296,23.06411630882179
propagation_distance_error,0.0,UCID,1338 public citation subset,spectral_frontend,1,72,1.0726950102155937,1.4686301734005922,0.7777777777777778,21.72921296940354,20.656517959187948,23.23053303408501
propagation_distance_error,0.0,UCID,1338 public citation subset,spectral_frontend,2,72,1.1220944954177656,1.338284230203566,0.7638888888888888,22.078859316935684,20.95676482151792,23.21200456270985
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-1.1246166547877658,0.944957538051779,0.1111111111111111,24.027514227568904,25.15213088235667,27.018814758142707
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-0.9202372445901587,1.1788515244526592,0.16666666666666666,23.938374130269853,24.858611374860015,27.090175082721352
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-1.2561653214555197,1.1019886052786374,0.09722222222222222,23.8355826664331,25.091747987888624,26.993533978152843
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,0,72,1.8666838757860367,0.6862064088988911,1.0,27.018814758142707,25.15213088235667,27.018814758142707
