dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.005,0,4,288,-8.524077597789493,12.45597199025505,20.980049588044544,23.069088733005803,2.5431443145870123,11.067221912376505
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.005,1,4,288,-6.693202715976053,13.95709910461688,20.650301820592933,23.233736838183383,2.680151504098621,9.373354220074674
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.005,2,4,288,-8.76753289147495,12.185616587133419,20.953149478608367,23.21634676681883,2.5745820261974064,11.342114917672356
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.01,0,4,288,-6.854843064728481,14.121794436224686,20.976637500953167,23.074657826271135,2.5431443145870123,9.397987379315493
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.01,1,4,288,-6.89153996214611,13.753944786447232,20.645484748593343,23.240267817903682,2.680151504098621,9.571691466244731
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.01,2,4,288,-8.570375366903654,12.381006467450877,20.95138183435453,23.222877072055983,2.5745820261974064,11.14495739310106
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.02,0,4,288,-7.871760624049269,13.100971066607652,20.97273169065692,23.082303317209764,2.5431443145870123,10.414904938636282
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.02,1,4,288,-7.448132141680503,13.187837122664785,20.63596926434529,23.24861725244994,2.680151504098621,10.128283645779124
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.02,2,4,288,-8.051403907835837,12.892472618376623,20.94387652621246,23.22983126028515,2.5745820261974064,10.625985934033244
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.0,0,4,288,-10.019890894622172,10.962671990632124,20.982562885254296,23.06411630882179,2.5431443145870123,12.563035209209184
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.0,1,4,288,-9.175418642023262,11.481099317164684,20.656517959187948,23.23053303408501,2.680151504098621,11.855570146121883
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.0,2,4,288,-10.749792402916805,10.206972418601113,20.95676482151792,23.21200456270985,2.5745820261974064,13.324374429114211
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.005,0,4,288,-11.795869254832649,9.184180333211895,20.980049588044544,23.069088733005803,2.5431443145870123,14.339013569419661
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.005,1,4,288,-9.091117230947853,11.55918458964508,20.650301820592933,23.233736838183383,2.680151504098621,11.771268735046474
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.005,2,4,288,-10.961217660363769,9.9919318182446,20.953149478608367,23.21634676681883,2.5745820261974064,13.535799686561175
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.01,0,4,288,-9.361901812733272,11.614735688219895,20.976637500953167,23.074657826271135,2.5431443145870123,11.905046127320285
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.01,1,4,288,-9.077667981985506,11.567816766607836,20.645484748593343,23.240267817903682,2.680151504098621,11.757819486084127
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.01,2,4,288,-10.626499375015555,10.324882459338975,20.95138183435453,23.222877072055983,2.5745820261974064,13.201081401212962
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.02,0,4,288,-9.592963793072508,11.379767897584413,20.97273169065692,23.082303317209764,2.5431443145870123,12.13610810765952
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.02,1,4,288,-9.884202299515339,10.75176696482995,20.63596926434529,23.24861725244994,2.680151504098621,12.56435380361396
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.02,2,4,288,-10.872761362125061,10.071115164087399,20.94387652621246,23.22983126028515,2.5745820261974064,13.447343388322468
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.0,0,4,288,-12.262301768917162,8.720261116337134,20.982562885254296,23.06411630882179,2.5431443145870123,14.805446083504174
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.0,1,4,288,-10.55416652386503,10.102351435322916,20.656517959187948,23.23053303408501,2.680151504098621,13.234318027963651
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.0,2,4,288,-12.621464027814802,8.335300793703116,20.95676482151792,23.21200456270985,2.5745820261974064,15.196046054012209
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.005,0,4,288,-11.480418880271387,9.499630707773157,20.980049588044544,23.069088733005803,2.5431443145870123,14.023563194858399
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.005,1,4,288,-10.982167673158086,9.668134147434849,20.650301820592933,23.233736838183383,2.680151504098621,13.662319177256707
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.005,2,4,288,-11.537765996122513,9.415383482485856,20.953149478608367,23.21634676681883,2.5745820261974064,14.11234802231992
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.01,0,4,288,-12.150156834138821,8.826480666814346,20.976637500953167,23.074657826271135,2.5431443145870123,14.693301148725833
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.01,1,4,288,-11.333683589991256,9.311801158602085,20.645484748593343,23.240267817903682,2.680151504098621,14.013835094089877
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.01,2,4,288,-11.152110993121736,9.799270841232794,20.95138183435453,23.222877072055983,2.5745820261974064,13.726693019319143
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.02,0,4,288,-11.7262425701146,9.246489120542323,20.97273169065692,23.082303317209764,2.5431443145870123,14.269386884701612
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.02,1,4,288,-11.102198000792185,9.533771263553104,20.63596926434529,23.24861725244994,2.680151504098621,13.782349504890806
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.02,2,4,288,-12.436094148882745,8.507782377329715,20.94387652621246,23.22983126028515,2.5745820261974064,15.010676175080151
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.0,0,4,288,-4.164268810203521,16.818294075050776,20.982562885254296,23.06411630882179,2.5431443145870123,6.707413124790533
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.0,1,4,288,-5.945800275775607,14.710717683412339,20.656517959187948,23.23053303408501,2.680151504098621,8.625951779874228
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.0,2,4,288,-2.8825414710849255,18.07422335043299,20.95676482151792,23.21200456270985,2.5745820261974064,5.457123497282332
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.005,0,4,288,-3.6085792374741086,17.371470350570434,20.980049588044544,23.069088733005803,2.5431443145870123,6.151723552061121
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.005,1,4,288,-5.642266528243962,15.008035292348971,20.650301820592933,23.233736838183383,2.680151504098621,8.322418032342583
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.005,2,4,288,-2.5488801413592417,18.404269337249126,20.953149478608367,23.21634676681883,2.5745820261974064,5.123462167556648
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.01,0,4,288,-4.055472600954631,16.921164899998537,20.976637500953167,23.074657826271135,2.5431443145870123,6.598616915541643
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.01,1,4,288,-5.966729071278794,14.678755677314548,20.645484748593343,23.240267817903682,2.680151504098621,8.646880575377416
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.01,2,4,288,-2.478944083128004,18.472437751226526,20.95138183435453,23.222877072055983,2.5745820261974064,5.053526109325411
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.02,0,4,288,-4.657675066867451,16.31505662378947,20.97273169065692,23.082303317209764,2.5431443145870123,7.200819381454464
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.02,1,4,288,-6.047517818806062,14.588451445539228,20.63596926434529,23.24861725244994,2.680151504098621,8.727669322904683
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.02,2,4,288,-2.1985450404661906,18.74533148574627,20.94387652621246,23.22983126028515,2.5745820261974064,4.773127066663597
UCID,1338 public citation subset,0.05,mild,0.25,0.5,0.0,0,4,288,-8.806383406647662,12.176179478606635,20.982562885254296,23.06411630882179,2.5431443145870123,11.349527721234674
