dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.01,3,4,288,-12.70389038986477,0.39076691735150615,-13.094657307216275,-12.313123472513263,12.48568368915529,0.4778812222570875,12.007802466898202,12.963564911412377,12.347130599945435,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.02,3,4,288,-12.7811478823768,0.8149449999964694,-13.59609288237327,-11.96620288238033,12.562941181667318,0.9049955386265479,11.65794564304077,13.467936720293865,12.26742977960444,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.0,3,4,288,-14.04829207524161,0.5508508753096625,-14.599142950551272,-13.497441199931949,13.830085374532127,0.5260964017367913,13.303988972795334,14.356181776268919,11.00889031728272,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.005,3,4,288,-15.001819638022345,0.9138175139400384,-15.915637151962384,-14.088002124082307,14.783612937312865,0.8419177510135857,13.94169518629928,15.625530688326451,10.053130637858624,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.01,3,4,288,-14.951027598761309,0.8423448599925042,-15.793372458753813,-14.108682738768804,14.732820898051827,0.8377552918499178,13.895065606201909,15.570576189901745,10.099993391048896,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,moderate,0.5,1.0,0.02,3,4,288,-15.292068210869951,1.2365056009605606,-16.528573811830512,-14.05556260990939,15.07386151016047,1.1510873151739873,13.922774194986482,16.224948825334458,9.756509451111286,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.0,3,4,288,-16.091434507041473,0.26918598102422137,-16.360620488065695,-15.822248526017251,15.873227806331991,0.34802349117201736,15.525204315159973,16.221251297504008,8.965747885482855,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.005,3,4,288,-16.024509904199114,0.512561026767267,-16.53707093096638,-15.511948877431847,15.806303203489634,0.41904011807256686,15.387263085417066,16.2253433215622,9.030440371681856,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.01,3,4,288,-16.15331775107431,0.4684465518818917,-16.621764302956205,-15.68487119919242,15.935111050364831,0.3806561684762334,15.554454881888597,16.315767218841064,8.897703238735893,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,severe,1.0,2.0,0.02,3,4,288,-15.968481999825187,0.41879741587737584,-16.38727941570256,-15.54968458394781,15.750275299115705,0.3666467196714038,15.3836285794443,16.116922018787108,9.080095662156053,25.048577661981238,27.009045430169824,0.0,fail
