path_rank,short_range_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
6,5,5,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,False,10.20810863332481,0.021508004099896283,17.292819783770476,7.327531750560226,18.98553713824195,17.680962802101067,1.6927173544714726
17,6,57,exclusive_150,K_2b1+b2,M_b2,K_-b1-2b2,anti,cyc,cyc,anti,cyc,anti,cyc,cyc,False,True,10.20920926091473,0.02774385728755746,17.737399438595727,7.597574438031564,16.594377456037375,17.682869145007018,1.143021982558352
11,3,31,duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,False,False,10.2093091490938,7.105427357601002e-15,14.970612383949481,3.6790631387286004,15.638609016891122,17.683042156408245,0.6679966329416409
12,3,31,duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,False,False,10.2093091490938,7.105427357601002e-15,15.638609016891117,3.6790631387286004,14.97061238394949,17.68304215640824,0.6679966329416267
9,2,42,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,True,True,10.210010167816057,0.021357664791938902,15.047950868049135,7.1883952132493665,15.153858186409899,17.68425635645225,0.10590731836076372
6,6,7,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,anti,cyc,anti,anti,True,True,10.212962493265394,0.023143882657567616,15.05953740799054,5.496020630067161,15.002514672982054,17.689369934130983,0.05702273500848598
8,5,10,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,True,False,10.21381610125991,7.105427357601002e-15,17.29758151811416,7.297880432897282,18.994848666196997,17.69084842654723,1.6972671480828367
7,5,10,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,True,False,10.21381610125991,7.105427357601002e-15,18.994848666196994,7.297880432897282,17.29758151811417,17.690848426547227,1.6972671480828225
9,2,41,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,False,False,10.213837883657039,0.022497209286260755,15.032582078503092,6.753442583762364,15.197957842109483,17.690886154765767,0.1653757636063915
5,6,15,exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,False,True,10.2139926799868,0.018917258663687875,15.071474763172608,5.4432437891793395,14.986878048895901,17.69115426987374,0.08459671427670656
7,6,7,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,anti,cyc,cyc,anti,anti,cyc,anti,anti,True,True,10.214079152422661,7.105427357601002e-15,15.078830350943486,5.3651966294396605,15.105231924257515,17.691304044526106,0.026401573314029037
8,6,7,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,anti,cyc,anti,anti,True,True,10.214079152422661,7.105427357601002e-15,15.10523192425751,5.3651966294396605,15.078830350943493,17.691304044526106,0.026401573314016602
