path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,558,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,cyc,False,True,13.360637532930642,21.48845352442992,18.09163760774926,11.459603280033866,17.71711504656131,23.141303028547572,0.37452256118794836
3,934,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,cyc,anti,anti,False,True,13.362606288228505,26.933771171033214,17.626910010698744,8.773923507969366,18.09163760774864,23.14471301275114,0.4647275970498974
3,881,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,cyc,cyc,False,False,13.36331711438285,21.48845352442992,17.946131309222846,11.340169872129703,17.18866121464268,23.145944199765818,0.7574700945801673
3,857,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,anti,anti,cyc,False,False,13.363327921090017,26.93377117103317,17.946131499538733,6.8674630637600975,17.18866127748845,23.145962917531687,0.7574702220502836
3,612,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,cyc,anti,anti,True,True,13.367893928092967,26.933771171033207,17.46999910120321,9.105617853565825,17.93043319936957,23.153871473648515,0.4604340981663597
3,557,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,cyc,False,False,13.371509094000157,21.48845352442992,18.09163760774918,11.340169806557883,17.717115107429507,23.160133124677557,0.3745225003196744
3,205,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,anti,anti,const,False,False,13.371642924081259,23.466582657469637,18.09163760774776,7.63413266596183,17.18866265545242,23.160364925177607,0.9029749522953416
3,632,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,anti,cyc,cyc,True,True,13.372979660541422,26.93377117103322,18.075387706824923,10.486475195062729,17.10057439199497,23.162680220642937,0.9748133148299516
3,892,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,anti,const,True,True,13.3742363626103,19.36257774371385,17.93043180894268,10.249413865639855,18.075387319497196,23.164856892476216,0.14495551055451728
3,594,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,cyc,cyc,cyc,False,True,13.375260283908435,26.93377117103317,17.188662348066288,11.735280754227144,17.71711493093434,23.166630376187534,0.5284525828680522
3,886,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,cyc,anti,False,True,13.377396909137412,21.48845352442992,17.717115129912287,10.24867888508436,18.091637607749263,23.17033111964086,0.374522477836976
3,610,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,cyc,anti,anti,False,True,13.378770693686823,26.933771171033214,17.483945184250878,8.77392310302086,17.94613145943247,23.172710584279088,0.4621862751815904
3,828,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,cyc,anti,anti,True,True,13.379603228850351,26.933771171033193,17.612421271926475,7.422898282418889,18.075387304298292,23.17415257748141,0.462966032371817
3,491,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,cyc,cyc,anti,True,False,13.381533119338282,26.93377117103317,17.175840146397743,10.041455914652266,17.930433180325156,23.17749524585955,0.7545930339274136
3,860,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,anti,anti,cyc,True,True,13.382483543474548,26.933771171033214,17.93043165861619,7.268109187410617,16.87048891935487,23.1791414287523,1.05994273926132
3,126,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,const,cyc,cyc,False,True,13.3832022375586,23.466582657469637,18.09163760774904,10.97121391629282,17.188660998749814,23.18038624342098,0.902976608999225
3,593,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,cyc,cyc,cyc,False,False,13.383354483120414,26.933771171033207,17.188662433027503,11.72382447743664,17.717114832073083,23.180649940469266,0.5284523990455803
