model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,8.333333333333343,1.0676175170725721,0.06761751707257226,0.0
baseline,K_T,s_wave,0.0,0.05,9.166666666666671,1.0475534995565279,0.0475534995565275,0.0
baseline,K_T,s_wave,0.0,0.05,10.0,1.0288166285368578,0.02881662853685769,0.0
baseline,K_T,s_wave,0.0,0.05,10.833333333333345,1.0150339297773996,0.015033929777399825,0.0
baseline,K_T,s_wave,0.0,0.05,11.666666666666671,1.0150528151438591,0.015052815143859024,0.0
baseline,K_T,s_wave,0.0,0.05,12.5,1.0126065921621779,0.012606592162177842,0.0
baseline,K_T,s_wave,0.0,0.05,13.333333333333345,1.010241470755531,0.01024147075553102,0.0
baseline,K_T,s_wave,0.0,0.05,14.166666666666671,1.0082718414767475,0.008271841476747427,0.0
baseline,K_T,s_wave,0.0,0.05,15.0,1.0066915127377623,0.006691512737762229,0.0
baseline,K_T,s_wave,0.0,0.05,15.833333333333345,1.0054378784852787,0.005437878485278878,0.0
baseline,K_T,s_wave,0.0,0.05,16.66666666666667,1.004445261618229,0.004445261618229089,0.0
baseline,K_T,s_wave,0.0,0.05,17.5,1.0036574061786765,0.0036574061786765026,0.0
baseline,K_T,s_wave,0.0,0.05,18.333333333333343,1.0030292138359822,0.003029213835982307,0.0
baseline,K_T,s_wave,0.0,0.05,19.16666666666667,1.0025254959605712,0.002525495960571216,0.0
baseline,K_T,s_wave,0.0,0.05,20.0,1.0021190943746006,0.002119094374600382,0.0
baseline,total,s_wave,0.0,0.05,-80.0,1.0000951411737795,9.514117377977699e-05,0.0
baseline,total,s_wave,0.0,0.05,-79.16666666666667,1.0001046585602362,0.00010465856023627073,0.0
baseline,total,s_wave,0.0,0.05,-78.33333333333333,1.0001157777582426,0.00011577775824250654,0.0
baseline,total,s_wave,0.0,0.05,-77.5,1.0001288904915107,0.00012889049151070328,0.0
baseline,total,s_wave,0.0,0.05,-76.66666666666667,1.0001445144674612,0.00014451446746129512,0.0
baseline,total,s_wave,0.0,0.05,-75.83333333333333,1.0001633439114992,0.0001633439114990715,0.0
baseline,total,s_wave,0.0,0.05,-75.0,1.0001863244959606,0.00018632449596065273,0.0
baseline,total,s_wave,0.0,0.05,-74.16666666666667,1.0002147662835559,0.00021476628355584333,0.0
baseline,total,s_wave,0.0,0.05,-73.33333333333333,1.0002505165109157,0.00025051651091555883,0.0
baseline,total,s_wave,0.0,0.05,-72.5,1.0002962266323936,0.0002962266323938166,0.0
baseline,total,s_wave,0.0,0.05,-71.66666666666667,1.0003557648248003,0.00035576482480006305,0.0
baseline,total,s_wave,0.0,0.05,-70.83333333333333,1.0004348372728502,0.00043483727285002056,0.0
baseline,total,s_wave,0.0,0.05,-70.0,1.0005412230477329,0.0005412230477329523,0.0
baseline,total,s_wave,0.0,0.05,-69.16666666666667,1.0006859998339401,0.0006859998339399984,0.0
baseline,total,s_wave,0.0,0.05,-68.33333333333333,1.0008499150076144,0.0008499150076145438,0.0
baseline,total,s_wave,0.0,0.05,-67.5,1.0009793134914613,0.0009793134914614675,0.0
baseline,total,s_wave,0.0,0.05,-66.66666666666667,1.0011354287682372,0.0011354287682370822,0.0
baseline,total,s_wave,0.0,0.05,-65.83333333333333,1.00130882467619,0.0013088246761904345,0.0
baseline,total,s_wave,0.0,0.05,-65.0,1.0014533180634195,0.0014533180634196468,0.0
baseline,total,s_wave,0.0,0.05,-64.16666666666667,1.0015034101195839,0.0015034101195835372,0.0
baseline,total,s_wave,0.0,0.05,-63.33333333333333,1.0014925110281552,0.0014925110281552535,0.0
baseline,total,s_wave,0.0,0.05,-62.5,1.0014016295222123,0.001401629522212447,0.0
baseline,total,s_wave,0.0,0.05,-61.66666666666666,1.0020135007629587,0.002013500762958409,0.0
baseline,total,s_wave,0.0,0.05,-60.83333333333333,1.0024355700859153,0.0024355700859150413,0.0
baseline,total,s_wave,0.0,0.05,-60.0,1.0028387522675508,0.0028387522675510026,0.0
baseline,total,s_wave,0.0,0.05,-59.16666666666666,1.0036851740359094,0.003685174035909392,0.0
baseline,total,s_wave,0.0,0.05,-58.33333333333333,1.0043670087123997,0.004367008712399607,0.0
baseline,total,s_wave,0.0,0.05,-57.5,1.004469070836393,0.004469070836393608,0.0
