model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,-62.5,1.0014691056072835,0.0014691056072836386,0.0
baseline,K_T,s_wave,0.0,0.05,-61.66666666666666,1.0019729275377371,0.001972927537737255,0.0
baseline,K_T,s_wave,0.0,0.05,-60.83333333333333,1.0022701630552644,0.002270163055264407,0.0
baseline,K_T,s_wave,0.0,0.05,-60.0,1.0025459322790375,0.0025459322790374822,0.0
baseline,K_T,s_wave,0.0,0.05,-59.16666666666666,1.0033314843624823,0.0033314843624822755,0.0
baseline,K_T,s_wave,0.0,0.05,-58.33333333333333,1.0037065247781563,0.0037065247781561134,0.0
baseline,K_T,s_wave,0.0,0.05,-57.5,1.0035652972133902,0.0035652972133906136,0.0
baseline,K_T,s_wave,0.0,0.05,-56.66666666666666,1.0036448164535414,0.00364481645354081,0.0
baseline,K_T,s_wave,0.0,0.05,-55.83333333333333,1.003743355434876,0.0037433554348757963,0.0
baseline,K_T,s_wave,0.0,0.05,-55.0,1.0038013070726277,0.003801307072627685,0.0
baseline,K_T,s_wave,0.0,0.05,-54.16666666666666,1.003774931222012,0.0037749312220121106,0.0
baseline,K_T,s_wave,0.0,0.05,-53.33333333333333,1.0036246160623734,0.0036246160623733996,0.0
baseline,K_T,s_wave,0.0,0.05,-52.5,1.0035082111558664,0.0035082111558661006,0.0
baseline,K_T,s_wave,0.0,0.05,-51.66666666666666,1.0032042252472169,0.0032042252472166363,0.0
baseline,K_T,s_wave,0.0,0.05,-50.83333333333333,1.0027807665201256,0.0027807665201258916,0.0
baseline,K_T,s_wave,0.0,0.05,-50.0,1.002803023600683,0.002803023600682873,0.0
baseline,K_T,s_wave,0.0,0.05,-49.16666666666666,1.0035043513933577,0.003504351393357459,0.0
baseline,K_T,s_wave,0.0,0.05,-48.33333333333333,1.0032823884832027,0.003282388483202544,0.0
