model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,K_B,valley_odd,1.0,0.2,4.339613837765185,4.339613837765185,0.3120616662851931,4.027552171479992,3.3396138377651856,0.0
baseline,K_T,valley_odd,1.0,0.2,2.464731032012536,2.464731032012536,0.42212553711919487,2.0426054948933414,1.4647310320125362,0.0
baseline,total,valley_odd,1.0,0.2,1.9633199701486168,1.9633199701486168,0.36982421765338486,1.593495752495232,0.963319970148617,0.0
baseline,K_B,valley_odd,2.0,0.2,2.335845535106075,2.335845535106075,-0.11380065887067012,2.449646193976745,1.3358455351060745,0.0
baseline,K_T,valley_odd,2.0,0.2,1.5858924128050143,1.5858924128050143,0.0625740870364305,1.5233183257685838,0.5858924128050146,0.0
baseline,total,valley_odd,2.0,0.2,1.3853279880594471,1.3853279880594471,-0.01731045401964767,1.4026384420790947,0.3853279880594469,0.0
baseline,K_B,valley_odd,0.0,0.5,6.538853029702721,6.538853029702721,1.021653733177134,5.517199296525587,5.538853029702721,0.0
baseline,K_T,valley_odd,0.0,0.5,3.463661545772892,3.463661545772892,1.0212299712524042,2.4424315745204876,2.4636615457728923,0.0
baseline,total,valley_odd,0.0,0.5,2.3803331150394715,2.3803331150394715,1.0149441050895411,1.3653890099499304,1.3803331150394718,0.0
baseline,K_B,valley_odd,0.5,0.5,5.431082423762177,5.431082423762177,0.7385264594595268,4.692555964302651,4.431082423762177,0.0
baseline,K_T,valley_odd,0.5,0.5,2.970929236618314,2.970929236618314,0.7821484166906554,2.1887808199276586,1.970929236618314,0.0
baseline,total,valley_odd,0.5,0.5,2.1042664920315772,2.1042664920315772,0.7575255894935704,1.3467409025380068,1.1042664920315777,0.0
baseline,K_B,valley_odd,1.0,0.5,3.7694265148513604,3.7694265148513604,0.3138355488831157,3.455590965968245,2.7694265148513604,0.0
baseline,K_T,valley_odd,1.0,0.5,2.231830772886446,2.231830772886446,0.4235260848480317,1.8083046880384142,1.2318307728864462,0.0
baseline,total,valley_odd,1.0,0.5,1.690166557519736,1.690166557519736,0.3713978160996143,1.3187687414201217,0.6901665575197359,0.0
baseline,K_B,valley_odd,2.0,0.5,2.107770605940544,2.107770605940544,-0.11085536169329538,2.218625967633839,1.1077706059405443,0.0
baseline,K_T,valley_odd,2.0,0.5,1.4927323091545783,1.4927323091545783,0.06490375300540799,1.4278285561491704,0.4927323091545785,0.0
baseline,total,valley_odd,2.0,0.5,1.276066623007894,1.276066623007894,-0.01472995729434185,1.2907965803022359,0.2760666230078944,0.0
compressed_v3,K_B,s_wave,0.0,0.05,1.9812639780958603,5.557137412316865,1.016221688481569,4.540915723835296,0.9812639780958607,0.0
compressed_v3,K_T,s_wave,0.0,0.05,7.222287694354019,7.222287694354019,1.0432004838148017,6.179087210539217,6.22228769435402,0.0
compressed_v3,total,s_wave,0.0,0.05,7.709873731287537,7.709873731287537,1.028864838039538,6.681008893247999,6.709873731287539,0.0
compressed_v3,K_B,s_wave,0.5,0.05,1.785011182476688,4.364405151315415,0.7784179561931894,3.5859871951222253,0.7850111824766884,0.0
compressed_v3,K_T,s_wave,0.5,0.05,5.977830155483215,5.977830155483215,0.44371378995705973,5.534116365526155,4.977830155483215,0.0
compressed_v3,total,s_wave,0.5,0.05,6.36789898503003,6.36789898503003,0.6430659233516429,5.724833061678387,5.36789898503003,0.0
compressed_v3,K_B,s_wave,1.0,0.05,1.4906319890479303,2.5753067598132446,0.4217123577606202,2.1535944020526245,0.4906319890479304,0.0
compressed_v3,K_T,s_wave,1.0,0.05,4.11114384717701,4.11114384717701,-0.4555162508295535,4.5666600980065635,3.11114384717701,0.0
compressed_v3,total,s_wave,1.0,0.05,4.3549368656437695,4.3549368656437695,0.06436755131980042,4.290569314323969,3.3549368656437695,0.0
compressed_v3,K_B,s_wave,2.0,0.05,1.196252795619172,1.196252795619172,0.06500675932805099,1.131246036291121,0.1962527956191721,0.0
compressed_v3,K_T,s_wave,2.0,0.05,2.2444575388708046,2.2444575388708046,-1.3547462916161668,3.5992038304869713,1.2444575388708037,0.0
compressed_v3,total,s_wave,2.0,0.05,2.3419747462575087,2.3419747462575087,-0.5143308207120422,2.8563055669695507,1.3419747462575076,0.0
compressed_v3,K_B,s_wave,0.0,0.2,1.9651952448300989,5.499876285114446,1.0162072897806123,4.483668995333834,0.9651952448300986,0.0
compressed_v3,K_T,s_wave,0.0,0.2,7.120394336913724,7.120394336913724,1.0431494490072715,6.077244887906453,6.120394336913725,0.0
compressed_v3,total,s_wave,0.0,0.2,7.599995886342874,7.599995886342874,1.0288311519203899,6.571164734422483,6.599995886342872,0.0
compressed_v3,K_B,s_wave,0.5,0.2,1.772156195864079,4.3221308870351125,0.7784575785917902,3.5436733084433225,0.772156195864079,0.0
compressed_v3,K_T,s_wave,0.5,0.2,5.89631546953098,5.89631546953098,0.44380657530515216,5.4525088942258275,4.896315469530979,0.0
compressed_v3,total,s_wave,0.5,0.2,6.279996709074298,6.279996709074298,0.6431283335864253,5.636868375487873,5.279996709074298,0.0
compressed_v3,K_B,s_wave,1.0,0.2,1.4825976224150492,2.5555127899161123,0.42183301180855715,2.133679778107555,0.4825976224150493,0.0
compressed_v3,K_T,s_wave,1.0,0.2,4.060197168456862,4.060197168456862,-0.4552077352480273,4.51540490370489,3.0601971684568623,0.0
compressed_v3,total,s_wave,1.0,0.2,4.299997943171436,4.299997943171436,0.06457410608547835,4.235423837085958,3.299997943171436,0.0
compressed_v3,K_B,s_wave,2.0,0.2,1.1930390489660196,1.1930390489660196,0.06520844502532407,1.1278306039406956,0.19303904896601976,0.0
compressed_v3,K_T,s_wave,2.0,0.2,2.2240788673827443,2.2240788673827443,-1.3542220458012064,3.5783009131839507,1.2240788673827447,0.0
compressed_v3,total,s_wave,2.0,0.2,2.319999177268574,2.319999177268574,-0.5139801214154686,2.8339792986840426,1.3199991772685744,0.0
compressed_v3,K_B,s_wave,0.0,0.5,1.8841188442643704,5.204058331066921,1.0161273677915073,4.187930963275414,0.8841188442643706,0.0
compressed_v3,K_T,s_wave,0.0,0.5,6.606281212612971,6.606281212612971,1.0428665053313484,5.5634147072816225,5.606281212612972,0.0
compressed_v3,total,s_wave,0.0,0.5,7.045596231890072,7.045596231890072,1.0286444023544643,6.016951829535608,6.045596231890073,0.0
compressed_v3,K_B,s_wave,0.5,0.5,1.7072950754114964,4.103736891330893,0.7786784166343877,3.3250584746965055,0.7072950754114964,0.0
compressed_v3,K_T,s_wave,0.5,0.5,5.485024970090377,5.485024970090377,0.44432280037345534,5.040702169716922,4.485024970090376,0.0
compressed_v3,total,s_wave,0.5,0.5,5.836476985512058,5.836476985512058,0.6434756155326598,5.193001369979398,4.836476985512058,0.0
compressed_v3,K_B,s_wave,1.0,0.5,1.4420594221321854,2.4532547317268456,0.4225049898987083,2.0307497418281373,0.4420594221321853,0.0
compressed_v3,K_T,s_wave,1.0,0.5,3.803140606306485,3.803140606306485,-0.4534927570633844,4.256633363369869,2.803140606306486,0.0
compressed_v3,total,s_wave,1.0,0.5,4.022798115945036,4.022798115945036,0.06572243529995307,3.9570756806450826,3.0227981159450366,0.0
compressed_v3,K_B,s_wave,2.0,0.5,1.176823768852874,1.176823768852874,0.06633156316302884,1.1104922056898452,0.1768237688528741,0.0
compressed_v3,K_T,s_wave,2.0,0.5,2.121256242522594,2.121256242522594,-1.351308314500224,3.472564557022818,1.121256242522594,0.0
compressed_v3,total,s_wave,2.0,0.5,2.2091192463780143,2.2091192463780143,-0.5120307449327539,2.721149991310768,1.2091192463780145,0.0
compressed_v3,K_B,nodal_even,0.0,0.05,1.9494632982170925,3.089295195753305,1.0068863299714552,2.08240886578185,0.9494632982170926,0.0
compressed_v3,K_T,nodal_even,0.0,0.05,6.635732055213195,6.635732055213195,1.0088601723200108,5.626871882893184,5.635732055213196,0.0
compressed_v3,total,nodal_even,0.0,0.05,7.630409593930946,7.630409593930946,1.0148286456810762,6.61558094824987,6.6304095939309455,0.0
compressed_v3,K_B,nodal_even,0.5,0.05,1.7595706385736745,1.8983334074460834,0.7690827207780055,1.1292506866680778,0.7595706385736742,0.0
compressed_v3,K_T,nodal_even,0.5,0.05,5.508585644170555,5.508585644170555,0.4093741045119745,5.09921153965858,4.508585644170556,0.0
compressed_v3,total,nodal_even,0.5,0.05,6.304327675144756,6.304327675144756,0.6290299649127973,5.675297710231959,5.304327675144757,0.0
compressed_v3,K_B,nodal_even,1.0,0.05,1.4747316491085465,1.4747316491085465,0.41237730698783065,1.0623543421207158,0.4747316491085463,0.0
compressed_v3,K_T,nodal_even,1.0,0.05,3.8178660276065974,3.8178660276065974,-0.4898549972000805,4.307721024806678,2.817866027606598,0.0
compressed_v3,total,nodal_even,1.0,0.05,4.315204796965473,4.315204796965473,0.050331943760378785,4.264872853205094,3.3152047969654728,0.0
compressed_v3,K_B,nodal_even,2.0,0.05,1.1898926596434185,1.1898926596434185,0.05567189319765585,1.1342207664457626,0.18989265964341856,0.0
compressed_v3,K_T,nodal_even,2.0,0.05,2.127146411042639,2.127146411042639,-1.3890840989121358,3.5162305099547746,1.127146411042639,0.0
compressed_v3,total,nodal_even,2.0,0.05,2.326081918786189,2.326081918786189,-0.5283660773920398,2.854447996178229,1.3260819187861892,0.0
compressed_v3,K_B,nodal_even,0.0,0.2,1.8067749964855118,3.019363889463288,1.0068801764830095,2.012483712980279,0.8067749964855117,0.0
compressed_v3,K_T,nodal_even,0.0,0.2,4.861033015265218,4.861033015265218,1.0088510436152907,3.8521819716499275,3.861033015265219,0.0
