dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.01,3,4,288,-14.9795156475446,0.24559057565830059,-15.225106223202902,-14.733925071886299,14.538644669125404,0.07618811230906122,14.462456556816342,14.614832781434465,10.071505342265604,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.02,3,4,288,-15.559061625819075,0.2773832737366839,-15.836444899555758,-15.281678352082391,15.118190647399878,0.29385275720448073,14.824337890195396,15.41204340460436,9.489516036162163,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,3,4,288,-15.967494594514354,0.9650050260582588,-16.932499620572614,-15.002489568456095,15.52662361609516,0.8456292213462536,14.680994394748906,16.372252837441412,9.089687798009974,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,3,4,288,-16.26345457017961,0.40724753704909333,-16.670702107228706,-15.856207033130518,15.822583591760415,0.3367425247497428,15.485841067010671,16.159326116510158,8.79149570570136,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,3,4,288,-16.2250389207038,0.3304930397342051,-16.555531960438003,-15.894545880969593,15.784167942284606,0.1381139147089294,15.646054027575676,15.922281856993536,8.825982069106404,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,3,4,288,-16.158059375466255,0.4028232850494912,-16.560882660515745,-15.755236090416764,15.71718839704706,0.21664559777691123,15.50054279927015,15.93383399482397,8.890518286514984,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,3,4,288,-15.255986773035602,1.0077966261645028,-16.263783399200104,-14.2481901468711,14.815115794616405,1.0228279609184303,13.792287833697975,15.837943755534836,9.801195619488729,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,3,4,288,-15.167005868226866,0.5381733604996747,-15.705179228726541,-14.628832507727191,14.726134889807668,0.6723182123760958,14.053816677431572,15.398453102183764,9.887944407654105,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,3,4,288,-15.041253994204885,0.36649592432099903,-15.407749918525884,-14.674758069883886,14.600383015785688,0.44717516588225464,14.153207849903433,15.047558181667943,10.009766995605323,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,3,4,288,-15.21517192715992,0.8114166368958398,-16.02658856405576,-14.40375529026408,14.774300948740724,0.7881989386927621,13.986102010047961,15.562499887433486,9.833405734821318,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,3,4,288,-15.440930523883003,0.4213689053165537,-15.862299429199556,-15.01956161856645,15.000059545463806,0.6202102454146362,14.37984930004917,15.620269790878442,9.616251868641326,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,3,4,288,-15.256993873426588,0.20369802594581113,-15.4606918993724,-15.053295847480776,14.81612289500739,0.06914256287553568,14.746980332131855,14.885265457882927,9.797956402454384,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,3,4,288,-15.511687194569914,0.792999959988971,-16.304687154558884,-14.718687234580944,15.070816216150718,0.6480578278137293,14.422758388336987,15.718874043964448,9.539333795240292,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,3,4,288,-15.370447825092382,0.15240469049540536,-15.522852515587788,-15.218043134596977,14.929576846673188,0.07252408234659397,14.857052764326594,15.00210092901978,9.678129836888854,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,3,4,288,-15.966608837813531,0.409500103644534,-16.376108941458064,-15.557108734168997,15.525737859394338,0.4762412760953218,15.049496583299016,16.00197913548966,9.090573554710796,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,3,4,288,-15.755967698465163,0.5088231607454491,-16.264790859210613,-15.247144537719715,15.31509672004597,0.3105417472706731,15.004554972775297,15.625638467316643,9.298982577415805,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.01,3,4,288,-15.789938686743634,0.2855560135730515,-16.075494700316685,-15.504382673170582,15.349067708324439,0.19308460521006726,15.155983103114371,15.542152313534507,9.261082303066573,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.02,3,4,288,-15.959876187975313,0.34011299646614773,-16.29998918444146,-15.619763191509165,15.51900520955612,0.4145420137173818,15.104463195838738,15.933547223273502,9.088701474005925,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.0,3,4,288,-16.275546405477005,0.38426015032136795,-16.659806555798372,-15.891286255155638,15.834675427057809,0.2605838511342072,15.574091575923601,16.095259278192017,8.781635987047324,25.05718239252433,26.99159783044102,0.0,fail
