model,valley,barrier_Z,btk_eta_meV,alpha_eta_mix,observable,pairing_count,pearson_r,spearman_rho
baseline,K_T,0.5,0.05,0.5,zero_bias_conductance,4,-0.6647291590272661,-0.7378647873726218
baseline,K_T,0.5,0.05,0.5,peak_minus_background,4,-0.6603628555236297,-0.7378647873726218
baseline,K_T,0.5,0.05,0.5,zero_bias_andreev,4,-0.6647291590272645,-0.7378647873726218
baseline,K_T,0.5,0.05,0.75,zero_bias_conductance,4,-0.45043347732583505,-0.7378647873726218
baseline,K_T,0.5,0.05,0.75,peak_minus_background,4,-0.4438699353111767,-0.7378647873726218
baseline,K_T,0.5,0.05,0.75,zero_bias_andreev,4,-0.4504334773258331,-0.7378647873726218
baseline,K_T,0.5,0.05,1.0,zero_bias_conductance,4,-0.30680679009283507,-0.7378647873726218
baseline,K_T,0.5,0.05,1.0,peak_minus_background,4,-0.2991639154793353,-0.7378647873726218
baseline,K_T,0.5,0.05,1.0,zero_bias_andreev,4,-0.306806790092833,-0.7378647873726218
...TRUNCATED_FOR_BREVITY...
