dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,2,4,288,-14.44870785263687,10.6558606807547,25.10456853339157,26.971841072941316,-1.2693915232595672,13.179316329377302
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,0,4,288,-14.71118883082406,10.457475919916972,25.16866475074103,26.980283997320132,-1.13114415126351,13.580044679560551
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,1,4,288,-15.322276853177474,9.568528587916667,24.89080544109414,27.03340698845976,-0.9246579978410665,14.397618855336408
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,2,4,288,-14.75133110000961,10.36074588572821,25.11207698573782,26.961102505543174,-1.2693915232595672,13.481939576750042
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,0,4,288,-14.795173688256808,10.37329137677624,25.16846506503305,26.98510807508084,-1.13114415126351,13.664029536993297
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,1,4,288,-16.07774368526262,8.8086937800252,24.88643746528782,27.0400859033449,-0.9246579978410665,15.153085687421555
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,2,4,288,-14.649890444652222,10.460057852669822,25.109948297322042,26.962853326820326,-1.2693915232595672,13.380498921392654
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.01,0,4,288,-14.831860351859907,10.331273869530097,25.163134221390003,26.988302005397998,-1.13114415126351,13.700716200596396
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.01,1,4,288,-15.64673499213685,9.236318491851256,24.883053483988103,27.04264427004224,-0.9246579978410665,14.722076994295783
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.01,2,4,288,-15.30185511014575,9.80502015390676,25.10687526405251,26.96524936863457,-1.2693915232595672,14.032463586886182
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.02,0,4,288,-14.73529567317538,10.427295286123902,25.162590959299283,27.00065377726152,-1.13114415126351,13.60415152191187
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.02,1,4,288,-15.479406926244328,9.39916656700853,24.87857349325286,27.05464144030664,-0.9246579978410665,14.554748928403262
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.02,2,4,288,-15.461277100938739,9.643291432452832,25.10456853339157,26.971841072941316,-1.2693915232595672,14.191885577679171
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.0,0,4,288,-15.846660878860575,9.322003871880455,25.16866475074103,26.980283997320132,-1.13114415126351,14.715516727597066
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.0,1,4,288,-16.26242366166101,8.628381779433129,24.89080544109414,27.03340698845976,-0.9246579978410665,15.337765663819944
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.0,2,4,288,-15.634435639067334,9.477641346670485,25.11207698573782,26.961102505543174,-1.2693915232595672,14.365044115807766
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.005,0,4,288,-15.621710800345905,9.546754264687143,25.16846506503305,26.98510807508084,-1.13114415126351,14.490566649082396
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.005,1,4,288,-16.215077500947352,8.671359964340468,24.88643746528782,27.0400859033449,-0.9246579978410665,15.290419503106286
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.005,2,4,288,-15.888950722628206,9.220997574693834,25.109948297322042,26.962853326820326,-1.2693915232595672,14.619559199368638
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,0,4,288,-16.0920773819269,9.071056839463104,25.163134221390003,26.988302005397998,-1.13114415126351,14.96093323066339
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,1,4,288,-16.339478718288714,8.543574765699391,24.883053483988103,27.04264427004224,-0.9246579978410665,15.414820720447647
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,2,4,288,-15.307889074397476,9.798986189655032,25.10687526405251,26.96524936863457,-1.2693915232595672,14.038497551137908
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,0,4,288,-16.05911305417,9.103477905129287,25.162590959299283,27.00065377726152,-1.13114415126351,14.927968902906489
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,1,4,288,-16.15830472912825,8.72026876412461,24.87857349325286,27.05464144030664,-0.9246579978410665,15.233646731287184
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,2,4,288,-15.359063820029498,9.745504713362074,25.10456853339157,26.971841072941316,-1.2693915232595672,14.08967229676993
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,0,1,72,1.3827631855040592,22.365326070758357,20.982562885254296,23.06411630882179,1.3827631855040592,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,1,1,72,1.971665132427142,22.62818309161509,20.656517959187948,23.23053303408501,1.971665132427142,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,2,1,72,1.5682803010157975,22.52504512253371,20.95676482151792,23.21200456270985,1.5682803010157975,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,0,1,72,1.3885383641572324,22.368587952201775,20.980049588044544,23.069088733005803,1.3827631855040592,-0.00577517865317323
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,1,1,72,1.9730493723266929,22.62335119291963,20.650301820592933,23.233736838183383,1.971665132427142,-0.001384239899550943
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,2,1,72,1.5794102705665203,22.53255974917489,20.953149478608367,23.21634676681883,1.5682803010157975,-0.011129969550722763
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,0,1,72,1.385893281797971,22.362530782751136,20.976637500953167,23.074657826271135,1.3827631855040592,-0.0031300962939118104
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,1,1,72,1.9684532383284734,22.613937986921815,20.645484748593343,23.240267817903682,1.971665132427142,0.0032118940986685107
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,2,1,72,1.5818571492619453,22.533238983616474,20.95138183435453,23.222877072055983,1.5682803010157975,-0.013576848246147799
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,0,1,72,1.3747928546546544,22.347524545311575,20.97273169065692,23.082303317209764,1.3827631855040592,0.007970330849404794
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,1,1,72,1.9505978930990082,22.586567157444296,20.63596926434529,23.24861725244994,1.971665132427142,0.021067239328133702
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,2,1,72,1.5510045994480708,22.49488112566053,20.94387652621246,23.22983126028515,1.5682803010157975,0.01727570156772673
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,0,4,288,-7.230043818300375,13.752519066953923,20.982562885254296,23.06411630882179,1.3827631855040592,8.612807003804434
