ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
cyc,const,anti,cyc,False,True,8.946388890678682,5.416806779877172,16.422254019429374,8.099886462981177,15.090214221513811,15.495600102925245,1.332039797915563
const,const,anti,cyc,False,False,8.950187188230876,7.655661267455315,15.681961947038012,7.519598204872122,14.963301521153996,15.50217894726791,0.7186604258840159
const,const,cyc,anti,True,True,8.952491733460546,8.01288193756347,14.88164931756956,5.610339920845361,15.006452652003082,15.506170536694038,0.12480333443352265
const,const,anti,cyc,True,True,8.955404098658084,7.654450983849536,15.594592158617628,8.020243423518075,14.976273282480795,15.511214901186367,0.6183188761368328
const,const,anti,const,True,False,8.95849270922313,14.119911977220333,14.881955783714357,6.761213836745699,14.975081637330643,15.516564531609825,0.09312585361628578
anti,const,anti,const,True,False,8.958620941878046,13.579281674909133,15.042255710101136,5.582263337818929,15.05325508273925,15.516786637083325,0.010999372638114124
anti,cyc,const,cyc,False,True,8.962910800489007,5.755669365589073,15.721533749113211,5.322758104390909,15.703662719712625,15.524216890154797,0.01787102940058638
const,const,cyc,anti,False,False,8.9639413411522,8.023285051649061,14.88821592910502,5.622853219793762,14.98430447128053,15.526001838942712,0.09608854217550977
anti,const,anti,const,False,False,8.96596629679496,13.571848131886142,15.063484590401647,4.983062772690595,15.102409435409037,15.529509164999045,0.03892484500739002
anti,cyc,const,cyc,True,True,8.967193673385376,5.700904579056267,15.701141490486789,5.321902870693761,15.63309785166601,15.531635043613669,0.0680436388207788
cyc,anti,anti,anti,False,False,8.968500090514919,0.013027928996553584,14.967001313520266,6.191765554374739,15.030198856628413,15.533897824457915,0.06319754310814751
const,const,anti,const,False,True,8.98120884770394,14.039127101904256,14.890338071854298,6.395876225822178,14.962619532017426,15.555910037610353,0.07228146016312742
cyc,const,anti,const,False,False,8.98577727597644,13.649191221154243,15.065468575604571,6.7597476751898915,15.091849012435233,15.563822787489062,0.026380436830661935
const,const,anti,cyc,True,False,8.987923592013765,7.642837394420816,15.59285112446895,8.08228161329766,14.976192659071938,15.567540315914806,0.6166584653970126
cyc,anti,anti,anti,False,True,8.990117044431097,0.01610261108100275,14.966310563664738,6.431038200117699,15.039474380400918,15.57133948694561,0.07316381673618011
const,const,cyc,anti,False,True,8.994431641575277,8.029022333048239,14.888270599259158,6.051759338428318,14.99164659134189,15.578812588413522,0.10337599208273218
const,cyc,const,anti,True,False,8.997751702034861,13.536708881453462,14.903045673955678,3.6725072741328835,15.162283191967012,15.584563101813721,0.259237518011334
anti,cyc,const,cyc,True,False,8.999898128960428,5.706653501539046,15.688289391452015,5.513170403718964,15.636173664288833,15.588280822303537,0.0521157271631818
anti,cyc,const,cyc,False,False,9.000309610985527,5.765587295706567,15.708525607295735,5.513075024796522,15.70689476744753,15.588993530077408,0.0016308398482056674
const,const,anti,const,True,True,9.006596498864246,14.026959478919139,14.882037361587813,6.952171687132637,14.975373093861432,15.599882739304839,0.09333573227361924
const,cyc,const,cyc,False,True,9.00735289979592,13.785730620128046,15.537593704419097,6.967211273716496,15.103313127314271,15.601192864149393,0.4342805771048255
cyc,const,anti,cyc,False,False,9.007678279139322,5.401743783888326,16.418985236040907,8.123883550462057,15.090635020977466,15.6017564377039,1.3283502150634412
anti,anti,anti,anti,False,False,9.009235809747166,0.016351952620109245,14.966427107130192,4.5084594188215945,15.038238599398294,15.604454159851027,0.07181149226810213
cyc,const,anti,cyc,True,True,9.009241731110826,5.427720271568651,16.34914953081199,8.59262329650599,15.043834223466714,15.604464415953737,1.3053153073452748
anti,anti,anti,anti,False,True,9.010909870295269,0.018859142232290793,14.965729861726958,4.73977248762287,15.047507010544448,15.607353717775288,0.08177714881749054
const,cyc,const,anti,False,False,9.0113711144136,13.665993320942036,14.897310519064114,3.6223317446530525,15.266300510902516,15.60815261602293,0.36898999183840253
anti,const,anti,const,True,True,9.016094372609382,13.493764351291139,15.042822357553238,5.763039743826976,15.053184106181297,15.616333539195292,0.01036174862805872
anti,const,cyc,anti,True,False,9.016563489949407,5.501039943657853,15.02912363923047,3.1703093534811266,14.97848531120447,15.617146074262925,0.05063832802600032
