path_mode,k_b_label,m_label,k_t_label,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
exclusive_150,K_b1-b2,M_b1,K_b1+2b2,9.7038583410067,0.018476238953141433,15.690483272189773,7.204243975656823,15.492222601595849,16.807575676074645
duplicated_150,K_b1+2b2,M_b1,K_b1-b2,9.714215159973403,7.105427357601002e-15,15.513734042694217,7.2002094625400686,15.724691021354818,16.825514212729765
duplicated_150,K_b1-b2,M_b1,K_b1+2b2,9.714215159973403,7.105427357601002e-15,15.724691021354815,7.2002094625400686,15.513734042694221,16.825514212729765
exclusive_150,K_-b1-2b2,M_b1,K_-2b1-b2,9.738868101924686,0.0137221227123554,16.1183028195511,7.201896357053216,15.856165024739921,16.868214360745434
exclusive_150,K_-2b1-b2,M_b1,K_-b1-2b2,9.751128468920331,0.019176343654002892,15.873012500792468,7.191030536047246,16.176599502056998,16.88944993930133
duplicated_150,K_-2b1-b2,M_b1,K_-b1-2b2,9.754162723286646,7.105427357601002e-15,15.879394816573765,7.2002094625400686,16.100469408921484,16.894705422026874
duplicated_150,K_-b1-2b2,M_b1,K_-2b1-b2,9.754162723286646,7.105427357601002e-15,16.100469408921473,7.2002094625400686,15.879394816573773,16.894705422026874
exclusive_150,K_-b1+b2,M_b1+b2,K_-2b1-b2,9.756349028384145,0.0137221227123554,15.493723981124734,6.549841420781372,15.869678781796958,16.89849221353659
exclusive_150,K_2b1+b2,M_b1,K_-b1+b2,9.757114527234842,0.016537941410557977,14.974444027854577,7.196146068303899,15.508405027739679,16.899818096439134
exclusive_150,K_-b1+b2,M_b1,K_2b1+b2,9.765759616267498,0.01315161642504492,15.493723981124734,7.1816941405829375,15.006488672186354,16.91479182987965
duplicated_150,K_2b1+b2,M_b1,K_-b1+b2,9.769176975594121,7.105427357601002e-15,15.028551054220966,7.2002094625400686,15.49756642743747,16.920710869861082
duplicated_150,K_-b1+b2,M_b1,K_2b1+b2,9.769176975594123,7.105427357601002e-15,15.49756642743746,7.2002094625400686,15.028551054220973,16.920710869861082
duplicated_150,K_-b1+b2,M_b1+b2,K_-2b1-b2,9.77388561671256,7.105427357601002e-15,15.49756642743746,6.491488579094616,15.879394816573773,16.928866475512823
duplicated_150,K_-2b1-b2,M_b1+b2,K_-b1+b2,9.77388561671256,7.105427357601002e-15,15.879394816573765,6.491488579094616,15.49756642743747,16.928866475512823
exclusive_150,K_-2b1-b2,M_b1+b2,K_-b1+b2,9.777018379765973,0.016537941410557977,15.873012500792468,6.619559742433047,15.53747604707564,16.93429258028941
exclusive_150,K_b1+2b2,M_b2,K_-2b1-b2,9.777385289937486,0.0137221227123554,15.502970690681785,8.182321396123937,15.884380933392691,16.934928087348286
exclusive_150,K_-2b1-b2,M_b2,K_b1+2b2,9.785384728736528,0.018476238953141433,15.873012500792468,8.237155612555235,15.516695995881468,16.94878352178026
exclusive_150,K_b1+2b2,M_b1+b2,K_-b1+b2,9.78982335709261,0.016537941410557977,15.502970690681785,6.489360272716046,15.53747604707564,16.956471451608913
exclusive_150,K_-b1+b2,M_b1+b2,K_b1+2b2,9.793433797850621,0.018476238953141433,15.493723981124734,6.549841420781372,15.505750138480458,16.962724918439505
duplicated_150,K_b1+2b2,M_b2,K_-2b1-b2,9.794846288649298,7.105427357601002e-15,15.513734042694217,8.21556512224462,15.879394816573773,16.965171424268036
duplicated_150,K_-2b1-b2,M_b2,K_b1+2b2,9.794846288649298,7.105427357601002e-15,15.879394816573765,8.21556512224462,15.513734042694221,16.965171424268036
duplicated_150,K_-b1+b2,M_b1+b2,K_b1+2b2,9.802048028774438,7.105427357601002e-15,15.49756642743746,6.491488579094616,15.513734042694221,16.977645204067688
duplicated_150,K_b1+2b2,M_b1+b2,K_-b1+b2,9.802048028774438,7.105427357601002e-15,15.513734042694217,6.491488579094616,15.49756642743747,16.977645204067684
exclusive_150,K_b1+2b2,M_b2,K_2b1+b2,9.80668528443116,0.01315161642504492,15.502970690681785,8.182321396123937,14.991814191435115,16.985677166472815
exclusive_150,K_2b1+b2,M_b1,K_b1-b2,9.809857964846337,0.01574718326429192,14.974444027854577,7.196146068303899,15.71643467563211,16.99117241014808
exclusive_150,K_b1-b2,M_b1,K_2b1+b2,9.812500521953107,0.01315161642504492,15.690483272189773,7.204243975656823,15.006488672186354,16.99574945331891
exclusive_150,K_2b1+b2,M_b1+b2,K_-b1+b2,9.81544059600819,0.016537941410557977,14.974444027854577,6.492032789139959,15.53747604707564,17.000841810960324
exclusive_150,K_-b1+b2,M_b1+b2,K_2b1+b2,9.817073113969961,0.01315161642504492,15.493723981124734,6.549841420781372,15.023236524628903,17.003669415014386
exclusive_150,K_2b1+b2,M_b2,K_b1+2b2,9.817214807135299,0.018476238953141433,14.974444027854577,8.103447068271395,15.516695995881468,17.003914834775834
duplicated_150,K_2b1+b2,M_b1,K_b1-b2,9.822023246980642,7.105427357601002e-15,15.028551054220966,7.2002094625400686,15.724691021354818,17.01224329689311
duplicated_150,K_b1-b2,M_b1,K_2b1+b2,9.822023246980642,7.105427357601002e-15,15.724691021354815,7.2002094625400686,15.028551054220973,17.012243296893107
duplicated_150,K_2b1+b2,M_b2,K_b1+2b2,9.824848887053573,7.105427357601002e-15,15.028551054220966,8.21556512224462,15.513734042694221,17.017137449063327
duplicated_150,K_b1+2b2,M_b2,K_2b1+b2,9.824848887053573,7.105427357601002e-15,15.513734042694217,8.21556512224462,15.028551054220973,17.017137449063327
