K_B_choice,M_choice,K_T_choice,rmse_meV,delta_KB_1,delta_KB_2,delta_KB_3,delta_M_1,delta_M_2,delta_M_3,delta_KT_1,delta_KT_2,delta_KT_3
K6,M2,K4,13.467832504909252,-15.623901381208915,21.241618988112208,-5.41169486090822,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M2,K6,13.46845679473545,-17.157148126205364,21.24162217201002,-3.8784512998095906,-8.22286789553474,-1.0898021683991743,9.312670063933922,-15.533166942951764,21.126493480403603,-5.370314339815231
K2,M2,K4,13.471947531056223,-5.363042559760095,21.241606791679736,-15.672547635164278,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M2,K2,13.47674749517933,-17.157148126205364,21.24162217201002,-3.8784512998095906,-8.22286789553474,-1.0898021683991743,9.312670063933922,-5.272308121502944,21.12648128397113,-15.631167114071289
K1,M3,K4,13.483740800331706,-12.644509294594847,21.241620347544746,-8.391088306954828,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M3,K1,13.48557594498665,-17.157148126205364,21.24162217201002,-3.8784512998095906,-9.577479592857198,-0.9075027285230561,10.484982321380137,-12.553774856337697,21.12649483983614,-8.349707785861838
K2,M3,K6,13.517608446285179,-5.363042559760095,21.241606791679736,-15.672547635164278,-9.577479592857198,-0.9075027285230561,10.484982321380137,-15.533166942951764,21.126493480403603,-5.370314339815231
K3,M1,K5,13.520471734383463,-4.48172270140311,21.241622773280497,-16.55387732588231,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.82333134315731,21.12648670442568,-3.0801493128714483
K6,M3,K2,13.521770402761822,-15.623901381208915,21.241618988112208,-5.41169486090822,-9.577479592857198,-0.9075027285230561,10.484982321380137,-5.272308121502944,21.12648128397113,-15.631167114071289
K5,M1,K3,13.525918650177164,-17.91406578141446,21.241612212134285,-3.1215298339644377,-7.348533953892682,-1.0910685311936206,8.439602485086183,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M2,K4,13.5530510279016,-4.48172270140311,21.241622773280497,-16.55387732588231,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.066413687948213,21.126496664301413,-3.837070778716601
K6,M2,K5,13.554888672097594,-15.623901381208915,21.241618988112208,-5.41169486090822,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M2,K6,13.555815143213517,-17.91406578141446,21.241612212134285,-3.1215298339644377,-8.22286789553474,-1.0898021683991743,9.312670063933922,-15.533166942951764,21.126493480403603,-5.370314339815231
K4,M2,K3,13.558178725153352,-17.157148126205364,21.24162217201002,-3.8784512998095906,-8.22286789553474,-1.0898021683991743,9.312670063933922,-4.390988263145959,21.126497265571892,-16.512496804789322
K2,M2,K5,13.558977277516226,-5.363042559760095,21.241606791679736,-15.672547635164278,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M2,K2,13.564052448075529,-17.91406578141446,21.241612212134285,-3.1215298339644377,-8.22286789553474,-1.0898021683991743,9.312670063933922,-5.272308121502944,21.12648128397113,-15.631167114071289
K1,M3,K5,13.570694916001885,-12.644509294594847,21.241620347544746,-8.391088306954828,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M3,K1,13.572824110454093,-17.91406578141446,21.241612212134285,-3.1215298339644377,-9.577479592857198,-0.9075027285230561,10.484982321380137,-12.553774856337697,21.12649483983614,-8.349707785861838
K4,M1,K5,13.583166874871074,-17.157148126205364,21.24162217201002,-3.8784512998095906,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M1,K4,13.583472442024782,-17.91406578141446,21.241612212134285,-3.1215298339644377,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.066413687948213,21.126496664301413,-3.837070778716601
K3,M3,K6,13.598439616090266,-4.48172270140311,21.241622773280497,-16.55387732588231,-9.577479592857198,-0.9075027285230561,10.484982321380137,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M3,K3,13.602932114782615,-15.623901381208915,21.241618988112208,-5.41169486090822,-9.577479592857198,-0.9075027285230561,10.484982321380137,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M3,K2,13.606651116627486,-4.48172270140311,21.241622773280497,-16.55387732588231,-9.577479592857198,-0.9075027285230561,10.484982321380137,-5.272308121502944,21.12648128397113,-15.631167114071289
K2,M3,K3,13.607006284213506,-5.363042559760095,21.241606791679736,-15.672547635164278,-9.577479592857198,-0.9075027285230561,10.484982321380137,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M2,K5,13.639563288374525,-4.48172270140311,21.241622773280497,-16.55387732588231,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M2,K3,13.644962664240689,-17.91406578141446,21.241612212134285,-3.1215298339644377,-8.22286789553474,-1.0898021683991743,9.312670063933922,-4.390988263145959,21.126497265571892,-16.512496804789322
K6,M3,K4,13.660161432846262,-15.623901381208915,21.241618988112208,-5.41169486090822,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M3,K6,13.660776933351404,-17.157148126205364,21.24162217201002,-3.8784512998095906,-9.577479592857198,-0.9075027285230561,10.484982321380137,-15.533166942951764,21.126493480403603,-5.370314339815231
K2,M3,K4,13.664218538601542,-5.363042559760095,21.241606791679736,-15.672547635164278,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M3,K2,13.668950985351898,-17.157148126205364,21.24162217201002,-3.8784512998095906,-9.577479592857198,-0.9075027285230561,10.484982321380137,-5.272308121502944,21.12648128397113,-15.631167114071289
K4,M2,K5,13.701713510649196,-17.157148126205364,21.24162217201002,-3.8784512998095906,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M2,K4,13.702016434107739,-17.91406578141446,21.241612212134285,-3.1215298339644377,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.066413687948213,21.126496664301413,-3.837070778716601
K3,M3,K4,13.744187504397445,-4.48172270140311,21.241622773280497,-16.55387732588231,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.066413687948213,21.126496664301413,-3.837070778716601
K6,M3,K5,13.745999596394944,-15.623901381208915,21.241618988112208,-5.41169486090822,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M3,K6,13.746913187625328,-17.91406578141446,21.241612212134285,-3.1215298339644377,-9.577479592857198,-0.9075027285230561,10.484982321380137,-15.533166942951764,21.126493480403603,-5.370314339815231
K4,M3,K3,13.749243918642627,-17.157148126205364,21.24162217201002,-3.8784512998095906,-9.577479592857198,-0.9075027285230561,10.484982321380137,-4.390988263145959,21.126497265571892,-16.512496804789322
K2,M3,K5,13.750031374630808,-5.363042559760095,21.241606791679736,-15.672547635164278,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M3,K2,13.755036052489066,-17.91406578141446,21.241612212134285,-3.1215298339644377,-9.577479592857198,-0.9075027285230561,10.484982321380137,-5.272308121502944,21.12648128397113,-15.631167114071289
K3,M3,K5,13.829504137484625,-4.48172270140311,21.241622773280497,-16.55387732588231,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M3,K3,13.83482938455161,-17.91406578141446,21.241612212134285,-3.1215298339644377,-9.577479592857198,-0.9075027285230561,10.484982321380137,-4.390988263145959,21.126497265571892,-16.512496804789322
K4,M3,K5,13.890804552618144,-17.157148126205364,21.24162217201002,-3.8784512998095906,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M3,K4,13.891103352566665,-17.91406578141446,21.241612212134285,-3.1215298339644377,-9.577479592857198,-0.9075027285230561,10.484982321380137,-17.066413687948213,21.126496664301413,-3.837070778716601
