point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,compressed_v3_ab_common_meV,compressed_v3_ab_orbital_selective_meV,compressed_v3_c_meV,compressed_d_a_meV,compressed_d_b_meV,compressed_d_c_meV
357,14.655042343885262,-12.246939768455068,-1.56370991813983,1.2040512877150968,13.450991056170164,-1.56370991813983,4,1.464821375527116e-14,0.33741869840861116,10.081974676858211,-0.5356412878003584,10.419393375266822,-9.7445559784496,-0.5356412878003584
358,14.695507645096429,-12.65459518081918,-1.206111974867104,1.020456232138625,13.675051412957805,-1.206111974867104,3,1.5072887603364242e-14,0.17598843074897005,11.00997017515037,-0.22436404038461838,11.185958605899339,-10.8339817444014,-0.22436404038461838
359,14.735138708317807,-13.06367222204791,-0.847751719632322,0.8357332431349498,13.89940546518286,-0.847751719632322,3,1.004859173557616e-14,0.01676630203821508,12.011113196282961,0.08356737279815817,12.027879498321177,-11.994346894244746,0.08356737279815817
360,14.774620483053909,-13.473781222165575,-0.4896647200369828,0.6504196304441665,14.124200852609745,-0.4896647200369828,3,1.475552811121985e-14,-0.14031090728931847,13.076195964136174,0.3883033619581348,12.935885056846855,-13.216506871425493,0.3883033619581348
361,14.81468015937754,-13.884599615827076,-0.1328566678620106,0.4650402717752318,14.349639887602308,-0.1328566678620106,3,1.5072887603364242e-14,-0.2953396966970895,14.193575576750003,0.690053675952849,13.898235880052914,-14.488915273447093,0.690053675952849
362,14.856075721260511,-14.295872903599928,0.2217088316993835,0.2801014088302915,14.57597431243022,0.2217088316993835,3,1.004859173557616e-14,-0.4484442728867975,15.34924685791074,0.9890763745109924,14.900802585023943,-15.797691130797539,0.9890763745109924
363,14.89958374409813,-14.70741550447383,0.5731230992451435,0.0960841198121498,14.80349962428598,0.5731230992451435,4,9.565974336450906e-15,-0.5997707338496645,16.527006512224172,1.285666326947592,15.927235778374508,-17.126777246073836,1.285666326947592
364,14.945986617008556,-15.119111640506468,0.9205458100178012,-0.0865625117489559,15.032549128757513,0.9205458100178012,3,6.4047456679787536e-15,-0.7494811043965717,17.708711193295347,1.580143422464435,16.959230088898774,-18.45819229769192,1.580143422464435
365,14.996059390855969,-15.530916417518858,1.2632189763289663,-0.2674285133314447,15.263487904187414,1.2632189763289663,4,3.1974423109204515e-14,-0.8977473173564866,18.874627626837754,1.8728406770613866,17.976880309481267,-19.77237494419424,1.8728406770613866
366,15.05055647091174,-15.94285729539861,1.600481459223663,-0.4461504122434352,15.496706883155175,1.600481459223663,4,2.3832327871173825e-14,-1.0447452328925688,20.003868127029687,2.1640924197595344,18.959122894137117,-21.048613359922257,2.1640924197595344
367,15.11019838685145,-16.355036180844888,1.9317840106042952,-0.6224188969967193,15.732617283848167,1.9317840106042952,4,6.4047456679787536e-15,-1.1906487855631311,21.074899984037845,2.4542227363737292,19.884251198474715,-22.265548769600976,2.4542227363737292
368,15.17565888039903,-16.76763242866631,2.256704892758393,-0.7959867741336399,15.97164565453267,2.256704892758393,3,1.475552811121985e-14,-1.3356243449299758,22.066112591387693,2.7435343425888576,20.730488246457718,-23.40173693631767,2.7435343425888576
