point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
69,-4.671594113073073,-25.90043284967939,-45.94224288725702,0.9408332848955939,-28.536318035190416,-47.01029760203992,-1.343153705082204,-31.601059215138648,-43.615587269169794
70,-4.367288990059417,-25.8475057664498,-46.21151510400173,1.0341695704146208,-28.33941081841738,-47.19721278819865,-1.3486006727738777,-31.38866645736846,-43.793841557296766
71,-4.063484698447771,-25.79788670058681,-46.47702505153291,1.1195858228839215,-28.13912757913948,-47.38103311826731,-1.368265668160388,-31.185467819836184,-43.942644858212375
72,-3.760321537925722,-25.75173961844861,-46.73850869926255,1.1972907797998937,-27.935517520088585,-47.56197675740923,-1.4022455048054692,-30.994718977599813,-44.05791741467774
73,-3.457938944689603,-25.70921775672986,-46.9957132047673,1.2675037627366856,-27.728636587417398,-47.74026301013364,-1.4501297617405184,-30.818741467795245,-44.13720925163631
74,-3.156475268278868,-25.6704639502565,-47.2483967823058,1.3304539386153584,-27.518547970531337,-47.916111035408846,-1.5109032741034323,-30.658735435546095,-44.1800065988755
75,-2.856067552229545,-25.63561092867321,-47.49632859909737,1.3863795476460417,-27.305322521654535,-48.08973861316492,-1.5828769058506371,-30.514631339607657,-44.187963001003
76,-2.556851318960716,-25.60478158457167,-47.73928869642123,1.4355270990655997,-27.08903909242822,-48.26136096605209,-1.6636541291660072,-30.38499560151955,-44.16503168911754
77,-2.258960359276206,-25.57808921551916,-47.97706793271624,1.4781505359498504,-26.869784784953346,-48.43118964035558,-1.750139343649245,-30.267011907305683,-44.117471095460004
78,-1.962526526831602,-25.55563774233443,-48.20946794600395,1.5145103705498841,-26.64765511496892,-48.59943144985233,-1.83859191839423,-30.15656643701596,-44.053691261073084
79,-1.66767953788604,-25.53752190583454,-48.43630113311207,1.5448727917928493,-26.422754085283042,-48.76628748615099,-1.924727636770909,-30.048468424256292,-43.98390856338429
80,-1.374546776628541,-25.52382744414682,-48.6573906433337,1.5695087467955302,-26.19519416812585,-48.93195219870658,-2.003866547767962,-29.93683161600975,-43.91958518336166
81,-1.083253106339191,-25.51463125255074,-48.87257038431645,1.5886929984700262,-25.965096195750508,-49.09661254726659,-2.071123153179105,-29.815620799868924,-43.87265464835764
82,-0.7939206866189217,-25.51000152768911,-49.08168503812585,1.6027031615515945,-25.732589159355182,-49.260447229001926,-2.1216313878833297,-29.679327014344924,-43.85457917443802
83,-0.5066687968955925,-25.50999789786786,-49.28459008557431,1.6118187196546587,-25.49780991721198,-49.423625982031055,-2.150793063869193,-29.523681589880333,-43.87534205250024
84,-0.221613666390418,-25.51467154105131,-49.48115183704157,1.61632002626013,-25.260902813758705,-49.586308966467485,-2.1545345858477725,-29.346273453691452,-43.942528049734776
85,0.06113168929341484,-25.52406529205513,-49.67124746813847,1.6164872928603469,-25.02201921230843,-49.748646223533605,-2.1295532749415265,-29.14692542699682,-44.06065699781191
86,0.3414576248175685,-25.53821374034383,-49.85476505868151,1.6125995678318252,-24.781316944957485,-49.91077721269879,-2.0735322832587544,-28.927732210814675,-44.230891021209246
87,0.6192580148664852,-25.55714331975209,-50.03160363354879,1.6049337099737404,-24.538959684198716,-50.07283042623115,-1.9853027522713373,-28.692753860921457,-44.451144859081715
88,0.8944303969082288,-25.58087239137102,-50.20167320408271,1.593763361035546,-24.295116241667294,-50.23492308001135,-1.8649344127787748,-28.447453384939426,-44.71653102417698
89,1.166876106862753,-25.60941132076996,-50.3648948087875,1.5793579219606853,-24.049959800345462,-50.3971608789541,-1.7137416710354252,-28.1980227463358,-45.02000962499741
90,1.436500407594815,-25.64276255066269,-50.52120055214154,1.5619815379871556,-23.803667087419683,-50.55963785492216,-1.5342010097439407,-27.95074085456862,-45.35310412051982
91,1.703212610157086,-25.68092067007249,-50.67053364041007,1.54189209816741,-23.55641749580658,-50.722436274610686,-1.329785945143108,-27.711463927994348,-45.70657654881434
92,1.966926187717595,-25.72387248100345,-50.81284841339416,1.519340255289075,-23.308392163133924,-50.8856266145208,-1.104735803942583,-27.485291149290706,-46.07100270863395
93,2.227558882110408,-25.77159706358603,-50.94811037109985,1.4945684725892672,-23.059773017668803,-51.04926759984164,-0.8637820927471414,-27.2764000861679,-46.43722823645905
94,2.48503280295257,-25.8240658406314,-51.07629619434429,1.4678101040454319,-22.810741801315903,-51.21340630381135,-0.6118597219022632,-27.088017170025598,-46.796711797256926
95,2.739274519272601,-25.88124264250381,-51.19739375834543,1.439288515385809,-22.561479080357888,-51.378078303934515,-0.3538294176524242,-26.922478071099135,-47.1417726571144
