k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight,baseline_iterations,corrected_iterations,baseline_final_hopping_norm,corrected_final_hopping_norm
0.0,-33.33333333333333,0.11082876886384686,0.10715100504001608,-0.003677763823830782,110.0,106.0,9.914397200717377e-11,7.94430324467791e-11
0.0,-32.5,0.09978195947083064,0.0999191072659846,0.0001371477951539607,114.0,108.0,8.528126155334562e-11,8.154037371683483e-11
0.0,-31.666666666666664,0.09218478201962921,0.09440911178055478,0.0022243297609255697,115.0,108.0,9.198893503442437e-11,8.823839859701443e-11
0.0,-30.83333333333333,0.08700206179669559,0.09055123289238567,0.0035491710956900846,115.0,107.0,8.140709050243481e-11,8.325785196554526e-11
0.0,-30.0,0.0838051320413228,0.08837473204849285,0.004569600007170049,112.0,104.0,9.472607081607744e-11,8.975248239994285e-11
0.0,-29.166666666666664,0.08257792221022196,0.08814840069868923,0.00557047848846727,108.0,100.0,8.836687491526898e-11,8.378885732739459e-11
0.0,-28.33333333333333,0.08387385245202156,0.09072372207193102,0.0068498696199094655,102.0,94.0,7.973826502754612e-11,8.143335078549148e-11
0.0,-27.5,0.0897567330883887,0.09866049522332383,0.008903762134935128,93.0,85.0,8.943984561151234e-11,9.69518683068161e-11
0.0,-26.666666666666664,0.10612439403272478,0.11999289332984119,0.013868499297116407,83.0,74.0,8.119867500099787e-11,9.462087778979584e-11
0.0,-25.83333333333333,0.1301922318150727,0.16480255799292964,0.03461032617785695,73.0,71.0,6.763879523822174e-11,9.811893934336954e-11
0.0,-25.0,0.1373626406546092,0.22338893328405476,0.08602629262944556,77.0,87.0,8.770618442376148e-11,8.62466274112959e-11
0.0,-24.166666666666664,0.12778630787298287,0.2669286880217595,0.13914238014877664,81.0,97.0,8.788065069878216e-11,8.243399865460557e-11
0.0,-23.33333333333333,0.12381844882727533,0.20162199232873387,0.07780354350145854,82.0,103.0,8.755056466950907e-11,9.456258420201206e-11
0.0,-22.5,0.1264947456752904,0.13621124667754397,0.009716501002253575,79.0,107.0,9.888924656719309e-11,8.302245363682904e-11
0.0,-21.666666666666664,0.13458153064130499,0.10750818732588799,-0.027073343315416998,73.0,107.0,9.749966035054199e-11,9.661974702018066e-11
0.0,-20.83333333333333,0.1478951971439005,0.09388406520836227,-0.054011131935538234,65.0,105.0,4.3851645950648346e-11,9.391368968344029e-11
0.0,-20.0,0.16355345648867808,0.08856708241230361,-0.07498637407637447,77.0,100.0,7.492803272326149e-11,8.962267807712736e-11
0.0,-19.166666666666664,0.16591608935151617,0.0845345291856735,-0.08138156016584266,94.0,91.0,8.581800007126e-11,9.81789401836891e-11
0.0,-18.33333333333333,0.14368383893196351,0.07889703538458928,-0.06478680354737423,111.0,106.0,8.377567587952974e-11,8.054550961852471e-11
0.0,-17.5,0.11255894520067558,0.07143797622022732,-0.04112096898044826,123.0,118.0,9.099281216710295e-11,9.933688992300646e-11
0.0,-16.666666666666664,0.08444269970181348,0.06506838700296773,-0.01937431269884575,132.0,128.0,9.474763623050972e-11,8.363141611451525e-11
0.0,-15.833333333333329,0.07232610151268788,0.06335612459370692,-0.008969976918980965,139.0,134.0,9.142159947863488e-11,9.134296670593316e-11
0.0,-15.0,0.06830824853184589,0.06347420223129918,-0.004834046300546707,144.0,138.0,9.18061302026004e-11,9.859849373365641e-11
0.0,-14.166666666666657,0.06694914423884524,0.06391842253962171,-0.0030307216992235264,148.0,141.0,8.494224972165137e-11,9.645120166634226e-11
0.0,-13.333333333333329,0.06653910885462984,0.06425449304761284,-0.0022846158070169986,150.0,143.0,9.050503548905762e-11,9.217353825286497e-11
0.0,-12.5,0.06646774668615146,0.06436033703593969,-0.002107409650211778,151.0,144.0,9.514403774251617e-11,9.088514272100888e-11
0.0,-11.666666666666657,0.06649440233735097,0.0642257670830623,-0.0022686352542886784,152.0,144.0,8.435329031553365e-11,9.650232196634979e-11
0.0,-10.833333333333329,0.06652914955675722,0.06389172133796218,-0.002637428218795035,151.0,144.0,9.1266180107708e-11,9.466238313462364e-11
0.0,-10.0,0.06655558538129727,0.06342815999561176,-0.0031274253856855144,150.0,144.0,8.515903456098038e-11,8.775940138385825e-11
0.0,-9.166666666666657,0.0666016910251661,0.0629255478982871,-0.003676143126879,147.0,143.0,9.889035022345676e-11,9.404853152516613e-11
0.0,-8.333333333333329,0.06673077698193063,0.06249298881785344,-0.004237788164077189,144.0,142.0,9.991154559619178e-11,9.639133221984575e-11
0.0,-7.5,0.06704359661214464,0.06226143661571507,-0.004782159996429565,141.0,141.0,8.708135652029656e-11,9.319449090069368e-11
0.0,-6.666666666666657,0.06768983927731947,0.06239250307599241,-0.005297336201327066,136.0,140.0,9.555920797146819e-11,8.279436627684584e-11
0.0,-5.833333333333329,0.06889146129745599,0.06309486061566458,-0.005796600681791414,131.0,137.0,8.914848488953876e-11,9.648432723374723e-11
0.0,-5.0,0.07098529567944462,0.06465240288120852,-0.006332892798236095,125.0,134.0,8.47737189479837e-11,9.645077853076879e-11
0.0,-4.166666666666657,0.07450167801442423,0.06747262081258841,-0.007029057201835817,118.0,130.0,8.072690836974239e-11,9.637171341637201e-11
0.0,-3.3333333333333286,0.08031695661530099,0.07217274803161933,-0.008144208583681659,109.0,125.0,9.495347448331918e-11,9.175266349198643e-11
0.0,-2.5,0.08997078890193051,0.07974051933376691,-0.0102302695681636,100.0,118.0,8.16794737114508e-11,9.740974889313066e-11
0.0,-1.6666666666666572,0.10637602486693444,0.09183993267188023,-0.01453609219505421,89.0,110.0,7.629476926338e-11,8.558467413147521e-11
0.0,-0.8333333333333286,0.1353649264987501,0.11126991814591582,-0.024095008352834277,75.0,99.0,9.362379983454739e-11,8.76975106971413e-11
0.0,0.0,0.18485681418287217,0.14032719765467594,-0.04452961652819623,59.0,85.0,8.989446478333257e-11,8.73366761077344e-11
0.0,0.8333333333333428,0.21225587297780102,0.15907478771266853,-0.05318108526513249,41.0,76.0,8.019734084582363e-11,7.303238609014491e-11
0.0,1.6666666666666714,0.1610719688031305,0.13918033765880786,-0.021891631144322632,32.0,92.0,4.488349391595944e-11,8.400231040519768e-11
